 	cet	enfant	a	marché	sur	l'	épine	dans	la	forêt	</S>
m	0.845813	0.14907	0.00122044	0.000994848	0.00165979	0.000628671	0.000212918	0.000111787	0.000164658	5.6186e-05	6.7599e-05
w	0.0242563	0.966985	0.00583453	0.00131222	0.00108794	0.00027682	4.01953e-05	2.55761e-05	8.46536e-05	4.57118e-06	9.21977e-05
á	0.0257862	0.971561	0.00034398	0.00169513	0.000493835	0.000100037	3.29535e-06	1.7932e-06	6.20288e-06	6.52286e-06	1.69687e-06
n	0.0445622	0.953014	0.00054146	0.000596997	0.000454066	0.000197308	2.52455e-05	6.12956e-05	6.99338e-05	1.56344e-05	0.000462023
a	0.0631052	0.739012	0.0461391	0.0298106	0.0297331	0.0306506	0.000538151	0.00296056	0.00599341	0.000710277	0.0513474
w	0.83972	0.112845	0.0282934	0.0077248	0.00223899	0.00120665	0.000878036	0.00222882	0.00173858	0.000731526	0.00239451
ó	0.291817	0.0568405	0.298147	0.0508151	0.0316691	0.0777021	0.0578297	0.0312315	0.0315315	0.0183205	0.0540954
á	0.0677944	0.0132171	0.744707	0.065275	0.0231544	0.0199691	0.0189861	0.0108282	0.00958086	0.00295154	0.0235358
m	0.00393844	0.00127152	0.48935	0.401616	0.0321405	0.0122039	0.0112406	0.0171129	0.012959	0.00392798	0.0142396
i	0.00782772	0.00940444	0.401767	0.31027	0.181613	0.0520947	0.0158844	0.0102151	0.00504101	0.000701237	0.00518152
d	0.00241761	0.0014396	0.0907013	0.851807	0.0347148	0.00641984	0.00394656	0.00333537	0.00128663	0.000576579	0.00335453
z	0.00531927	0.000336859	0.0181164	0.919496	0.0477928	0.00246396	0.00138491	0.00230751	0.000426975	0.000114357	0.00224138
a	0.018691	0.00471411	0.0583664	0.84618	0.0625124	0.0054576	0.00112555	0.00159049	0.000263859	7.36875e-05	0.00102505
r	0.0142612	0.0164417	0.0761235	0.51431	0.158105	0.0473327	0.0101524	0.0870864	0.00984398	0.00341444	0.0629285
á	0.029769	0.00442119	0.0428695	0.275536	0.185878	0.258175	0.0354538	0.0787506	0.0181826	0.00591161	0.0650529
i	0.0109576	0.00952709	0.031602	0.100123	0.301287	0.38926	0.069443	0.0562944	0.0193428	0.00759772	0.00456545
l	0.00155742	0.00166119	0.0101965	0.115998	0.200492	0.240786	0.272504	0.0610453	0.0207197	0.0607381	0.0143016
ω	0.000426363	2.02387e-05	0.00750235	0.0817142	0.0610674	0.157227	0.415735	0.1255	0.0452264	0.0885053	0.017075
ώ	0.000183953	0.000110676	0.00361978	0.0108227	0.0219921	0.0919931	0.634292	0.0782178	0.0233456	0.119121	0.0163022
s	0.00140134	0.000102672	0.00917997	0.0109399	0.0679523	0.262024	0.0443862	0.321727	0.221211	0.0361644	0.0249111
á	0.0169708	0.000264766	0.0153289	0.038578	0.0569837	0.112132	0.0325329	0.106319	0.181188	0.167093	0.272608
k	0.0183048	0.000579036	0.0015191	0.00534428	0.00973074	0.0264916	0.0120459	0.0234496	0.091665	0.794546	0.0163237
ώ	0.000285588	9.57999e-05	0.000305497	0.00110638	0.00163895	0.00582188	0.0428504	0.0230394	0.0275501	0.879416	0.0178901
</S>	0.000115298	3.00789e-05	8.43609e-05	0.000440475	0.00109328	0.00658571	0.0984248	0.017951	0.0121608	0.838371	0.0247435
