 	je	ne	me	sens	pas	bien	</S>
n	0.895794	0.0113105	0.0151001	0.0397944	0.0291435	0.00825951	0.000597584
g	0.982249	0.00063152	0.0164911	0.0003411	0.00014933	0.000106133	3.2144e-05
á	0.897426	0.00813814	0.0902756	0.00271204	0.000280663	0.00100991	0.000157423
n	0.0982982	0.136602	0.416302	0.175521	0.0431758	0.0600897	0.0700119
d	0.320617	0.0574546	0.255567	0.0161421	0.00839601	0.0224084	0.319415
z	0.190241	0.216048	0.307975	0.0320235	0.00460308	0.00798494	0.241125
ó	0.0840597	0.0656618	0.0916886	0.539162	0.0156788	0.0347228	0.169027
r	0.185451	0.0324338	0.329022	0.200158	0.0327311	0.13064	0.089564
o	0.0195035	0.0578929	0.031388	0.79611	0.0188926	0.00946945	0.0667432
b	0.0230654	0.232653	0.229407	0.268478	0.180568	0.0180988	0.0477295
ó	0.017867	0.0702628	0.0220771	0.126724	0.163049	0.334375	0.265645
y	0.0452546	0.16341	0.156445	0.0512514	0.31157	0.134791	0.137279
é	0.00522659	0.277358	0.0580607	0.214054	0.179413	0.1119	0.153988
e	0.0129171	0.191707	0.052467	0.0585119	0.305554	0.153936	0.224908
y	0.000282514	0.0933588	0.0335969	0.039825	0.124996	0.0419868	0.665954
u	0.00171475	0.340497	0.0856879	0.16749	0.117278	0.0435909	0.243742
b	0.00232369	0.0316735	0.0302462	0.176419	0.425442	0.0601182	0.273776
h	0.00241495	0.0160559	0.0404436	0.107266	0.365517	0.311831	0.156471
a	0.000717887	0.00595946	0.0404897	0.0653063	0.215421	0.463553	0.208553
a	0.000339809	0.00309049	0.040474	0.00732558	0.171967	0.308759	0.468044
</S>	0.00138471	0.0340529	0.0272709	0.0129933	0.14057	0.359783	0.423945
