 	les	lampes	sont	sur	la	table	prends-les	et	apporte-les	moi	</S>
m	0.598918	0.337259	0.0399061	0.00403539	0.0092277	0.00152805	0.00365736	0.00369537	0.00165117	7.2641e-05	4.94741e-05
í	0.0236065	0.910345	0.0399235	0.00425319	0.00285241	0.00440853	0.000139487	0.00154155	0.00552272	0.00246803	0.00493911
n	0.0578051	0.907933	0.0155751	0.00336178	0.00326554	0.00347995	0.000469757	0.00145002	0.000678944	0.00409108	0.00189008
d	0.00947033	0.977036	0.00155379	0.000358442	0.000617842	0.000795327	5.6309e-05	0.000157743	0.00017826	0.00506513	0.00471138
a	0.0790299	0.847064	0.00878487	0.00505185	0.00621152	0.00349029	0.000128015	0.000607318	0.00196986	0.0297133	0.0179493
í	0.142934	0.12055	0.191833	0.122879	0.139944	0.034961	0.000690832	0.00891118	0.0434712	0.0513487	0.142478
d	0.0631994	0.0179089	0.601185	0.115514	0.0333931	0.018749	0.00618205	0.0113869	0.0111206	0.00244016	0.11892
í	0.10436	0.275927	0.360744	0.0786873	0.0191939	0.0226264	0.000269294	0.00218374	0.00887843	0.00942643	0.117703
s	0.0672789	0.00880033	0.347833	0.32985	0.087338	0.0456478	0.00648123	0.014571	0.0120337	0.00483586	0.0753301
a	0.011761	0.007713	0.243357	0.426499	0.13127	0.150616	0.000625501	0.00363136	0.00486211	0.00284768	0.0168169
a	0.0172776	0.00279555	0.197485	0.336408	0.217495	0.146877	0.00874307	0.0122216	0.00568812	0.00939603	0.0456129
m	0.00410021	0.00334654	0.0877304	0.353626	0.36323	0.0919686	0.0303655	0.0205686	0.0124148	0.0112849	0.0213643
ó	0.0069354	0.00771794	0.0651745	0.130744	0.290187	0.408058	0.00713802	0.0110796	0.00945807	0.0355559	0.0279518
m	0.0109662	0.00440585	0.037284	0.149328	0.394255	0.180226	0.15391	0.0190118	0.00599065	0.0244862	0.0201366
é	0.00174814	0.00160397	0.0222375	0.0948493	0.291008	0.456893	0.0110243	0.012122	0.0120391	0.0506456	0.0458287
s	0.00151242	0.00510945	0.0433288	0.189822	0.442141	0.127714	0.105025	0.0239671	0.0072901	0.0196491	0.0344416
á	0.00282993	0.000656999	0.0140047	0.133703	0.458965	0.230079	0.0291809	0.0367553	0.0244319	0.00989702	0.059496
k	0.00166821	0.000245333	0.00711674	0.0230773	0.101496	0.385507	0.27735	0.0710686	0.0299725	0.0168487	0.0856497
o	0.000362681	3.83665e-05	0.00146976	0.00604128	0.0215038	0.00728231	0.925489	0.0270102	0.00043487	0.000837026	0.00953018
b	0.0014184	0.00074317	0.00564887	0.0452529	0.103043	0.0612655	0.697121	0.0487105	0.00486825	0.00130311	0.0306251
h	0.0085116	0.000295575	0.00614362	0.0293142	0.0914439	0.00835608	0.548975	0.200857	0.00672023	0.00234982	0.0970336
á	0.0199361	0.00203582	0.0161452	0.0481196	0.281012	0.0436263	0.236267	0.132086	0.0417489	0.0194275	0.159595
m	0.00332529	0.000465277	0.00545878	0.00932859	0.0312184	0.096405	0.102048	0.32792	0.200616	0.0315992	0.191615
í	0.00345106	0.00448346	0.0103416	0.0113353	0.0381172	0.0540526	0.00547725	0.106845	0.231866	0.240504	0.293527
a	0.00158279	0.000738412	0.00990392	0.0104805	0.0340376	0.023885	0.0957479	0.28026	0.13933	0.347871	0.0561626
ó	0.000360899	5.83158e-05	0.00196011	0.00430242	0.00595602	0.014202	0.0478615	0.392476	0.193976	0.105501	0.233346
y	0.00112016	0.000336308	0.01678	0.0274878	0.0166142	0.0253069	0.0291761	0.265496	0.489377	0.0603955	0.0679101
a	0.000638077	0.000323768	0.00318502	0.00941716	0.00990629	0.0254531	0.00304012	0.0403417	0.710263	0.0648904	0.132542
a	0.000321893	0.000323167	0.00122561	0.00428601	0.0151959	0.0213207	0.00212894	0.0410618	0.416021	0.177496	0.320619
n	0.000407275	2.16534e-05	0.00183585	0.00449466	0.00644942	0.0138939	0.00758488	0.219006	0.317082	0.175457	0.253768
g	0.00282312	0.00251197	0.00134345	0.00196367	0.00547441	0.00728685	0.00031252	0.0185941	0.222807	0.678617	0.0582662
á	0.000264775	0.00119628	0.00069618	0.000777966	0.00174928	0.00527013	0.000476928	0.00811418	0.133874	0.815072	0.0325084
l	0.000736067	3.6388e-05	0.000724595	0.00264859	0.00815134	0.00506328	0.00686387	0.158126	0.16413	0.369618	0.283902
a	0.00141307	0.000108712	0.00383299	0.00860512	0.00802789	0.0134521	0.00196841	0.078179	0.184454	0.330281	0.369677
m	0.000748469	0.000128612	0.00180451	0.00335309	0.00757898	0.00472656	0.00247927	0.0587171	0.124094	0.486099	0.31027
í	0.000375962	0.00134622	0.00291896	0.00434192	0.00979215	0.0083663	0.000349868	0.021863	0.233883	0.597352	0.119411
a	8.84307e-05	6.98145e-05	0.00200308	0.00449442	0.007752	0.00425005	0.00994261	0.15029	0.122248	0.252269	0.446592
</S>	0.000717028	4.97665e-05	0.00173227	0.00360558	0.00346786	0.00370699	0.00522553	0.0860504	0.0860875	0.111183	0.698174
