 	qui	passera	toute	la	journée	à	s'	amuser	</S>
o	0.881956	0.031604	0.0173347	0.0201906	0.0231364	0.0195343	0.0051427	0.000136702	0.000964761
m	0.0272137	0.957313	0.0050044	0.00464668	0.00324767	0.000662491	0.000349622	0.000688906	0.000873826
a	0.0433674	0.942758	0.00152368	0.00264574	0.0042227	0.00126491	0.000880795	0.0018361	0.00150065
a	0.0417367	0.932556	0.00157459	0.00204111	0.00528893	0.00366079	0.000872606	0.000396374	0.0118728
n	0.441141	0.108226	0.211303	0.0973004	0.0166569	0.024749	0.0188968	0.00260713	0.0791208
i	0.631532	0.0267526	0.0272901	0.0602547	0.00987361	0.0357254	0.0372615	0.0349008	0.136409
o	0.0605728	0.0712963	0.275466	0.386537	0.0674851	0.033244	0.0308192	0.00776169	0.0668179
y	0.00571419	0.0472391	0.318526	0.515844	0.0856339	0.010998	0.00311933	0.0025074	0.0104184
í	0.116502	0.0111639	0.195588	0.488031	0.0825123	0.0115524	0.0180927	0.0162804	0.0602776
í	0.0136453	0.00503504	0.241316	0.272933	0.0260246	0.0131438	0.023372	0.00733484	0.397195
r	0.006761	0.00111675	0.329687	0.428726	0.0593813	0.0525645	0.0476417	0.0098247	0.0642971
á	0.04692	0.00150442	0.0581308	0.383992	0.128019	0.148225	0.126517	0.038963	0.0677292
o	0.00377764	0.000319262	0.0592644	0.255248	0.311547	0.179604	0.0973297	0.0436922	0.0492176
t	0.000609432	0.00897398	0.00619076	0.0373691	0.754007	0.0844086	0.0147757	0.0880205	0.0056451
s	0.000516555	0.00159779	0.0200739	0.0899789	0.77404	0.0528374	0.0097697	0.00973393	0.041452
i	0.000180257	0.000574529	0.0351487	0.129532	0.699223	0.0970952	0.0171408	0.00524026	0.015866
i	0.00263868	0.000265281	0.0605283	0.172927	0.165994	0.155889	0.0484782	0.0207	0.37258
n	0.00115916	0.000138324	0.0423058	0.0865605	0.0640307	0.325959	0.3405	0.0274371	0.111909
a	0.00375798	0.000228286	0.00558356	0.0581624	0.0375113	0.336064	0.292756	0.145336	0.120599
m	0.000400216	6.83334e-05	0.017436	0.0415238	0.0314563	0.278217	0.368392	0.032893	0.229613
í	0.00664098	0.000970032	0.00494316	0.0114579	0.060594	0.224711	0.415313	0.0428682	0.232502
s	0.00114754	0.000658429	0.00731274	0.0130166	0.0453506	0.247951	0.206567	0.280391	0.197605
a	0.000390715	0.000242031	0.000407994	0.00283673	0.00935159	0.0375174	0.116894	0.704289	0.128071
n	0.000579128	3.25929e-05	0.00202107	0.00828217	0.00695691	0.0430727	0.119267	0.04832	0.771469
a	0.00041125	9.42224e-05	0.00476971	0.0195267	0.00608753	0.0483639	0.213471	0.334127	0.373149
a	0.000426295	0.000101118	0.00712657	0.011841	0.00686869	0.0720361	0.104297	0.0209907	0.776313
n	0.00940068	0.0048116	0.0797028	0.102739	0.0227061	0.0713371	0.148815	0.184924	0.375563
d	0.000523736	0.000166538	0.00178845	0.00502243	0.000454203	0.00678413	0.0377223	0.757154	0.190384
a	0.000408207	0.000260983	0.000651963	0.00308355	0.00380453	0.0184726	0.0381065	0.565835	0.369377
</S>	8.12147e-06	3.21391e-05	0.000797264	0.00479286	0.00623753	0.0285886	0.0417065	0.0349696	0.882867
