 	les	animaux	barrent	la	route	</S>
a	0.83641	0.158784	0.00369749	0.000947056	0.00012536	3.59973e-05
n	0.390573	0.503619	0.0944913	0.00707478	0.00300107	0.00124065
y	0.0997739	0.802698	0.0753126	0.0125399	0.000703204	0.00897292
a	0.172833	0.779039	0.0373321	0.0064431	0.00038767	0.00396529
m	0.0628738	0.351444	0.522625	0.0237533	0.00742745	0.0318761
a	0.221484	0.34433	0.32017	0.0533992	0.00333504	0.0572821
b	0.092891	0.0574338	0.435421	0.300755	0.0312707	0.0822289
á	0.437597	0.103891	0.141403	0.285316	0.00125018	0.0305425
a	0.590075	0.148838	0.0763997	0.15493	0.010107	0.0196502
k	0.00389682	0.00908922	0.420362	0.357729	0.189167	0.0197553
a	0.00362627	0.00472099	0.719872	0.107952	0.10483	0.0589985
n	0.00394018	0.00378776	0.56535	0.137123	0.230588	0.0592116
g	0.0205052	0.0125535	0.296001	0.243856	0.0563298	0.370755
á	0.0658278	0.0383384	0.213007	0.143425	0.0738037	0.465597
k	0.0116064	0.00466679	0.00833908	0.255864	0.503949	0.215574
ó	0.00321878	0.00129315	0.00324667	0.0202633	0.955294	0.016684
ó	0.000279238	0.000300506	0.018057	0.0255337	0.917256	0.0385733
</S>	0.0130352	0.00985853	0.0315009	0.105456	0.0919999	0.74815
