 	tu	peux	partir	devant	je	t'	atteindrai	en	route	</S>
b	0.710277	0.209319	0.00414623	0.0685937	0.00277506	0.00214448	0.000254798	0.00211245	0.00034049	3.71321e-05
á	0.670562	0.199914	0.00331365	0.0763881	0.00993853	0.024106	0.000514457	0.0145981	0.000411822	0.000253595
á	0.570116	0.199153	0.00519583	0.0271087	0.0639532	0.0631345	0.0145253	0.0271845	0.00217911	0.0274499
n	0.6241	0.19569	0.0126178	0.0127341	0.0226027	0.0214651	0.020632	0.0290245	0.0064392	0.0546948
d	0.725829	0.00683458	0.00176394	0.0111703	0.130854	0.101645	0.00473503	0.0056719	0.000448618	0.0110482
á	0.253412	0.0673387	0.0144771	0.0263621	0.341177	0.246988	0.0257169	0.00879351	0.00120198	0.0145335
l	0.149593	0.266616	0.0947438	0.0580424	0.0227939	0.0358496	0.037289	0.0946051	0.0217844	0.218683
á	0.256452	0.136596	0.0916753	0.0171542	0.0280584	0.0502336	0.0990787	0.0713771	0.0082895	0.241085
n	0.626769	0.0996347	0.116346	0.0457324	0.0304967	0.0175696	0.0139362	0.0179643	0.0061047	0.0254469
ώ	0.726988	0.00933652	0.0151596	0.0341236	0.106908	0.0945294	0.00395908	0.00424677	0.000394923	0.0043539
b	0.0167863	0.0900697	0.247265	0.302266	0.0742027	0.0760505	0.0658773	0.0538871	0.011142	0.062454
o	0.0683982	0.3709	0.232606	0.148397	0.0322994	0.0257984	0.0273339	0.0279346	0.0194901	0.0468419
s	0.0153066	0.0649713	0.346244	0.321248	0.022172	0.0190045	0.0430035	0.0414281	0.0289258	0.097696
ó	0.0210711	0.0605139	0.222518	0.564724	0.0296385	0.0276681	0.0221287	0.0219095	0.00412851	0.0256991
n	0.0099939	0.0294173	0.252539	0.587519	0.033914	0.0265739	0.0228194	0.0118131	0.00658944	0.018821
g	0.0129359	0.0140131	0.225399	0.297351	0.141324	0.136451	0.0414905	0.0171625	0.00240303	0.11147
á	0.00477494	0.00429305	0.240878	0.369532	0.121648	0.208459	0.0340425	0.00537985	0.00198263	0.00900992
l	0.00164769	0.0116232	0.11113	0.405845	0.115034	0.125119	0.0944786	0.0737699	0.0127634	0.0485884
í	0.0140686	0.0121253	0.0413631	0.153159	0.217348	0.190706	0.0949951	0.0496637	0.0100347	0.216536
i	0.00400721	0.00519146	0.0751879	0.254053	0.210195	0.173939	0.171606	0.0369092	0.0347333	0.0341783
p	0.000936892	0.0239328	0.219575	0.0929851	0.0339571	0.0590065	0.437098	0.0151907	0.0500386	0.0672792
f	6.2821e-05	0.0281527	0.289123	0.151142	0.00460617	0.0104696	0.343401	0.00932027	0.0997128	0.0640104
á	0.000100558	0.0544523	0.329281	0.0811115	0.00238	0.00981182	0.350417	0.0145113	0.0209395	0.136995
n	0.000294481	0.00518426	0.022729	0.106715	0.112392	0.105236	0.351489	0.068467	0.0515613	0.175932
ω	0.0012773	0.00399287	0.0107108	0.118157	0.266168	0.45693	0.0561975	0.0217088	0.00797297	0.056885
m	0.000298408	0.00161367	0.0108954	0.103487	0.0968963	0.326446	0.183207	0.183644	0.0593029	0.0342097
ó	0.000282739	0.00106993	0.00626386	0.0410237	0.0160298	0.0272747	0.0886533	0.30696	0.0190034	0.493439
k	0.000740124	0.00213884	0.0082205	0.0991314	0.103115	0.0757448	0.199293	0.0578686	0.423243	0.0305053
ó	3.66565e-05	0.00512408	0.0161834	0.047198	0.000967602	0.00573196	0.142661	0.0269682	0.68908	0.0660492
ó	4.48558e-05	0.00164161	0.00918848	0.0606351	0.00299393	0.00753817	0.141783	0.0263539	0.692538	0.0572826
</S>	0.000211738	0.00100372	0.00106766	0.00327613	0.0202347	0.0484381	0.101263	0.508209	0.138542	0.177755
