 	il	s'	accoude	à	la	table	</S>
w	0.944722	0.029431	0.00676345	0.0101237	0.0088822	4.45723e-05	3.30699e-05
a	0.848546	0.024613	0.0140859	0.053676	0.0572838	0.00122726	0.000567737
á	0.721532	0.217401	0.0114478	0.0244707	0.0179862	0.0010145	0.00614786
m	0.267369	0.586614	0.0265919	0.0242222	0.00938926	0.00514203	0.0806717
i	0.0308712	0.812293	0.0343047	0.0213939	0.00458651	0.0222871	0.0742635
k	0.0111182	0.955936	0.0131855	0.00180603	0.000447313	0.00235656	0.0151504
a	0.0157703	0.909337	0.0561854	0.00209194	0.000372688	0.000422877	0.0158193
n	0.0118453	0.864105	0.107977	0.00784329	0.00138059	0.000293981	0.00655524
á	0.1475	0.74012	0.0533136	0.0207491	0.00848065	0.000434595	0.0294025
a	0.136601	0.260041	0.41811	0.103842	0.0366903	0.0286113	0.016105
t	0.00903831	0.216036	0.703837	0.0524366	0.00980859	0.0019365	0.00690702
s	0.00183963	0.0242403	0.910417	0.0370528	0.00241868	0.00197019	0.0220608
w	0.00127604	0.0226858	0.899603	0.0518628	0.00483973	0.000376174	0.0193559
á	0.00733769	0.0628725	0.591459	0.0956524	0.0493505	0.00156643	0.191761
a	0.0298116	0.0378958	0.13624	0.069154	0.0491662	0.0198271	0.657905
b	0.0246343	0.111963	0.362459	0.262449	0.0539353	0.00538757	0.179171
ώ	0.00952385	0.0381871	0.557145	0.241873	0.0262657	0.00709086	0.119914
n	0.00133498	0.0193994	0.498946	0.334101	0.0313434	0.00616638	0.108709
g	0.00234171	0.0178111	0.687164	0.205526	0.0361765	0.000558107	0.0504222
ω	0.0111492	0.0138656	0.624337	0.278142	0.0508516	0.000463668	0.0211916
m	0.00127453	0.00418244	0.0830862	0.577429	0.269646	0.0036509	0.0607306
ó	0.00659846	0.00612328	0.0225108	0.140117	0.356757	0.144207	0.323686
m	0.00375962	0.00845889	0.0821481	0.232988	0.197317	0.414894	0.0604341
é	5.71208e-05	0.000427223	0.000635364	0.00330397	0.00762262	0.97862	0.00933376
s	0.000421066	0.0027611	0.0206636	0.201458	0.206682	0.517644	0.0503709
á	0.0001541	0.00124612	0.00511972	0.0211752	0.0216801	0.888782	0.0618426
</S>	0.000246344	0.000837773	0.00519796	0.0501342	0.258724	0.135007	0.549854
