 	il	s'	approche	du	lit	</S>
w	0.724057	0.254885	0.0107353	0.00851715	0.00153815	0.000267601
a	0.672745	0.214867	0.00952616	0.0547924	0.0475257	0.000544215
a	0.316459	0.498573	0.0471696	0.0520476	0.0171154	0.0686354
b	0.125589	0.455942	0.150833	0.0488368	0.0731905	0.145609
h	0.0891139	0.357803	0.339654	0.0517747	0.0757715	0.0858821
ε	0.0465663	0.1498	0.592752	0.0800211	0.0483292	0.0825318
n	0.0287409	0.207144	0.532884	0.0837312	0.0156878	0.131812
í	0.152243	0.347289	0.424028	0.055155	0.00529603	0.0159893
í	0.101556	0.187677	0.276411	0.364743	0.0583036	0.0113089
l	0.0251286	0.0862909	0.146118	0.55501	0.152438	0.0350151
a	0.024216	0.0388202	0.163491	0.273165	0.179425	0.320882
o	0.0382052	0.0363055	0.0882024	0.46474	0.285135	0.087412
b	0.00467776	0.0230138	0.0748546	0.120267	0.670604	0.106583
é	0.00781321	0.0755295	0.142907	0.114767	0.603717	0.0552667
é	0.000356199	0.00440101	0.127479	0.0644644	0.080903	0.722396
</S>	0.00113828	0.00675108	0.0282006	0.147964	0.047355	0.768591
