 	la	maladie	de	mon	épouse	a	totalement	dépassé	mes	moyens	</S>
i	0.287085	0.588126	0.0947258	0.0125828	0.00218525	0.00434278	0.00500369	0.00186874	0.00395121	2.4927e-05	0.000103525
k	0.0180598	0.9728	0.00382144	0.000526463	0.000175853	0.00122554	0.0021583	0.000652441	9.88636e-05	2.97108e-05	0.000452087
ω	0.00519387	0.980206	0.00602887	0.000664525	5.06172e-05	0.00143108	0.00308059	0.0019756	0.000224551	0.000250814	0.000893407
n	0.00643333	0.973596	0.0104915	0.00182551	0.000112243	0.000556039	0.000720797	0.00115079	0.00301036	0.00179197	0.000311329
í	0.18729	0.742398	0.0313507	0.00645673	0.000196632	0.00278592	0.00698388	0.0146239	0.00132229	0.000598344	0.00599326
l	0.489877	0.139872	0.253485	0.0307266	0.00936045	0.0222093	0.0220951	0.00605843	0.00318552	0.000710227	0.0224203
á	0.200688	0.0314277	0.0835333	0.094407	0.0346667	0.140535	0.0274339	0.0227231	0.0407856	0.0146422	0.309157
m	0.304304	0.00791776	0.0956596	0.312628	0.201148	0.0366791	0.0112375	0.0109555	0.00528508	0.00729368	0.00689132
w	0.0299114	0.00059049	0.0292269	0.0768188	0.850977	0.00871047	0.000307521	0.000445894	0.00059951	0.00169839	0.000713947
á	0.0108174	0.000853023	0.0258552	0.0201817	0.917478	0.00721733	0.00280845	0.00587857	0.000504376	0.0072863	0.00111943
s	0.302649	0.019703	0.0980155	0.269098	0.281995	0.0101537	0.00442769	0.000990946	0.00277637	0.0081011	0.00208984
í	0.0699882	0.0122751	0.181975	0.288262	0.207361	0.0269801	0.00349687	0.043581	0.0287383	0.0812325	0.0561104
í	0.0221295	0.00732741	0.222489	0.203207	0.0973285	0.272587	0.0649532	0.0397539	0.0290346	0.00663886	0.0345504
b	0.00825907	0.000902906	0.0245938	0.0270546	0.012672	0.461697	0.391074	0.0557899	0.00151523	0.00105665	0.0153849
h	0.00572541	0.00338127	0.0163136	0.0147608	0.00368626	0.202274	0.663797	0.0635633	0.00514507	0.00500419	0.0163499
i	0.00687126	0.000973235	0.0240453	0.00841802	0.00447412	0.0827629	0.764551	0.0668692	0.00210677	0.00181808	0.0371098
d	0.015054	0.000531971	0.02236	0.0353053	0.00539153	0.0583335	0.394566	0.261523	0.0105847	0.00309151	0.193258
z	0.00418285	0.000101996	0.0095135	0.057868	0.00254012	0.00988881	0.0563287	0.81149	0.0153337	0.0106365	0.0221156
ú	0.00250019	9.0045e-05	0.0148239	0.12227	0.0202721	0.0234153	0.0499186	0.694609	0.0358926	0.0188449	0.0173635
n	0.0138525	0.00346717	0.0355558	0.0667776	0.00913083	0.0418302	0.0271889	0.683335	0.0749303	0.0132265	0.0307053
g	0.00948539	0.00577439	0.0408579	0.0870139	0.00101761	0.044108	0.0517903	0.648973	0.0855194	0.00385983	0.0216005
u	0.00377317	0.00376615	0.0315453	0.110086	0.000429235	0.0125759	0.0174672	0.558506	0.227462	0.00795801	0.0264306
l	0.00422541	0.000977478	0.0109146	0.0371603	0.000544104	0.0279507	0.019995	0.18495	0.505234	0.0448824	0.163166
u	0.00606331	0.00130947	0.0158294	0.0440863	0.000298483	0.0543889	0.0227264	0.16584	0.286044	0.0715738	0.33184
l	0.00411117	0.000735701	0.0161961	0.0663136	0.00209967	0.0229404	0.00480784	0.146371	0.329519	0.108864	0.298041
a	0.00820971	0.00154189	0.0187722	0.0570865	0.000819097	0.0431086	0.00997392	0.155691	0.218181	0.11851	0.368106
n	0.00130159	0.000886291	0.00860468	0.0256702	0.000678135	0.00842151	0.00187762	0.0452039	0.318673	0.284413	0.304271
g	0.00361578	0.000983391	0.00434131	0.0245842	0.000834611	0.00125441	0.000669789	0.184752	0.2119	0.514777	0.052288
á	0.000356475	0.00076715	0.00381842	0.0104217	0.00133005	0.00334401	0.000373957	0.157392	0.310201	0.371249	0.140746
</S>	0.00202236	0.00107597	0.00582744	0.00940742	0.00049255	0.00710269	0.00332992	0.0243067	0.281635	0.166362	0.498438
