 	cette	jeune	fille	est	indolente	en	effet	elle	n'	est	pas	entreprenante	</S>
m	0.502526	0.433513	0.00648465	0.00341013	0.00723911	0.0135091	0.0119257	0.00883647	0.00294753	0.00396627	0.00394873	0.000507154	0.00118673
w	0.0626155	0.856962	0.07804	0.000903647	0.000422459	0.000152964	0.000463736	5.87259e-05	3.67472e-05	3.7023e-05	2.69416e-05	3.06006e-05	0.000250183
á	0.0188937	0.976529	0.00309695	0.000257203	0.00107925	5.15578e-05	4.9904e-05	2.03159e-05	6.70819e-06	4.87094e-06	1.91615e-06	3.55248e-06	4.97231e-06
n	0.0309404	0.951941	0.013117	0.000324117	0.000137634	0.000484601	0.0027684	0.000129593	2.53152e-05	2.71267e-05	2.51296e-05	3.29532e-06	7.65293e-05
a	0.0794594	0.0966272	0.392581	0.115859	0.0631594	0.0456376	0.0869417	0.06544	0.0126399	0.0100797	0.00492505	0.00200032	0.0246499
o	0.891723	0.0197145	0.00882002	0.0134347	0.0130868	0.0142396	0.0060925	0.00526163	0.00379745	0.00635735	0.0107371	0.00147127	0.00526403
y	0.321816	0.0233174	0.150592	0.271618	0.150205	0.0055533	0.0226491	0.014781	0.010349	0.00602661	0.00425809	0.0107974	0.00803702
ú	0.798895	0.0381838	0.0913463	0.0382117	0.0148221	0.000919905	0.00035738	0.000491879	0.00171311	0.00146482	0.00111155	0.00802609	0.00445652
r	0.938336	0.00202298	0.00343058	0.00864308	0.0125086	0.00199874	0.000495595	0.00154339	0.00336999	0.00464125	0.0042817	0.00521673	0.0135118
u	0.791455	0.0127244	0.0142477	0.0285833	0.111311	0.0119896	0.00210745	0.00637017	0.00365934	0.00537157	0.00448995	0.00174813	0.00594247
w	0.0783982	0.00280226	0.201898	0.494779	0.0913658	0.0420245	0.0229062	0.0111747	0.00977112	0.0123336	0.012222	0.00545886	0.0148667
ó	0.115791	0.0013642	0.0223373	0.209045	0.130006	0.0557748	0.0252604	0.142451	0.0468975	0.0614157	0.0514689	0.00354523	0.134642
a	0.0253341	0.000751065	0.0345834	0.27825	0.215836	0.0864888	0.0352146	0.0632308	0.0415776	0.0420808	0.0461263	0.0066711	0.123856
d	0.00864306	2.55541e-05	0.0551258	0.443264	0.151896	0.0185526	0.0552864	0.0219465	0.0351265	0.0469669	0.0534789	0.0122779	0.0974103
í	0.0355537	0.000550764	0.0643878	0.344061	0.270445	0.0212816	0.0061285	0.0299446	0.0670075	0.0340288	0.0116792	0.0184899	0.0964419
d	0.0325332	0.000706272	0.100581	0.209624	0.286892	0.106396	0.0442105	0.0331783	0.0515058	0.0338629	0.0224039	0.0308854	0.04722
z	0.062019	0.0014973	0.234959	0.182639	0.47505	0.0253936	0.00104879	0.00168656	0.00370202	0.0019562	0.000514342	0.00194128	0.00759319
u	0.0636749	0.00068664	0.0649016	0.0482642	0.768425	0.0478147	0.000954219	0.0013825	0.00181991	0.000946421	0.000154615	0.000365122	0.00061002
u	0.0207022	0.000245666	0.00373051	0.0206455	0.859209	0.0424828	0.00280377	0.00290783	0.00627546	0.00396147	0.00136554	0.0161159	0.0195544
w	0.00140404	3.7761e-05	0.00487125	0.0837523	0.275057	0.307194	0.20227	0.0578086	0.0261102	0.0136419	0.00879825	0.00440705	0.0146475
a	0.00377843	0.000117712	0.00325255	0.0953276	0.290842	0.174665	0.0612189	0.197005	0.0658567	0.0510924	0.0270367	0.00074593	0.0290611
a	0.00124699	4.28299e-05	0.00795285	0.0933578	0.108315	0.220582	0.18514	0.179288	0.0776431	0.0385105	0.0223336	0.0179307	0.0476568
d	0.00275161	1.4232e-05	0.00632492	0.0609743	0.0155091	0.015527	0.178867	0.128242	0.208316	0.171627	0.129189	0.0172546	0.0654031
í	0.00916225	6.01472e-05	0.00527615	0.0329546	0.0169317	0.0232094	0.0341065	0.0853952	0.308142	0.19284	0.0612777	0.059367	0.171277
í	0.00245919	2.37353e-05	0.00558496	0.0211589	0.0126411	0.0231539	0.0839568	0.0906407	0.24847	0.232142	0.144627	0.0717136	0.0634274
o	0.00341471	0.000121559	0.00197523	0.0130667	0.00415982	0.00700181	0.0357273	0.0524719	0.162731	0.253946	0.311536	0.105695	0.0481525
s	0.000530631	0.00014263	0.00157961	0.00429741	0.00756732	0.00280732	0.0103109	0.0174014	0.0955942	0.0700327	0.0612713	0.665945	0.0625192
á	0.00131136	5.40051e-05	0.00507053	0.0163885	0.0128503	0.00224303	0.000523391	0.00531073	0.0495842	0.0680072	0.0635291	0.73639	0.0387376
l	0.001609	0.000193022	0.000559212	0.00772538	0.0162511	0.00162339	0.00305811	0.019203	0.063352	0.0680245	0.0482434	0.601468	0.16869
a	0.000408141	1.83978e-05	8.0823e-05	0.00233499	0.0068933	0.0071921	0.00540437	0.0650272	0.122001	0.199189	0.1673	0.29206	0.13209
k	0.000458892	2.62944e-05	0.000118928	0.00277462	0.00425633	0.00599944	0.00516781	0.0333265	0.071912	0.130463	0.13786	0.36908	0.238556
a	0.000368859	6.25523e-05	8.94243e-05	0.000705759	0.00220533	0.000614399	0.000585266	0.00413947	0.0408042	0.13521	0.250866	0.212108	0.352241
á	0.000330754	0.000230454	0.000189676	0.000829856	0.00510705	0.00112484	0.00389292	0.0144905	0.0377139	0.0592077	0.0600121	0.334622	0.482249
</S>	0.000223228	3.8737e-06	0.000201001	0.00364936	0.0045232	0.00643194	0.00583895	0.0171275	0.031869	0.0791103	0.136739	0.385047	0.329235
