 	le	repas	qu'	il	a	préparé	pour	nous	offrir	a	été	excessif	</S>
b	0.539829	0.354787	0.0652704	0.0193029	0.00890345	0.00189817	0.00301118	0.0037969	0.00210943	0.000842342	0.000219269	1.81451e-05	1.18267e-05
e	0.132002	0.630267	0.0563725	0.0217147	0.0229478	0.00275773	0.0117859	0.111197	0.00630806	0.0028078	0.00178533	6.76328e-06	4.71905e-05
a	0.0103756	0.71591	0.110541	0.0640672	0.0123069	0.00280299	0.0215724	0.0399974	0.0177342	0.00223875	0.00075869	0.000859709	0.000834937
b	0.197135	0.207004	0.234828	0.129244	0.0643797	0.0145521	0.0109405	0.00372642	0.00124056	0.00785097	0.00411329	0.00503265	0.119952
á	0.0197324	0.0934893	0.19373	0.361452	0.154572	0.0113199	0.0481104	0.0552731	0.0361322	0.0167434	0.00635236	0.000125184	0.00296752
á	0.0129071	0.0703124	0.279441	0.313231	0.0791587	0.0237202	0.0251275	0.0327012	0.0191001	0.0152745	0.010853	0.0121886	0.105984
b	0.00406688	0.0035129	0.0351496	0.230103	0.412009	0.26262	0.0112208	0.00591221	0.00407781	0.0105292	0.00507913	0.00635571	0.00936403
ω	0.012119	0.0273691	0.0317482	0.29034	0.311722	0.125875	0.0589196	0.0824085	0.0413081	0.0108092	0.00301554	0.00028755	0.00407798
n	0.0272681	0.0349345	0.0448238	0.163929	0.222643	0.302719	0.0526483	0.036127	0.0218428	0.0251815	0.0143801	0.0221023	0.0314014
g	0.0506359	0.0479542	0.0832504	0.258737	0.298321	0.0883984	0.0607604	0.051992	0.0182745	0.0174561	0.00566851	0.00361459	0.0149367
ώ	0.086486	0.0864063	0.199187	0.179628	0.163632	0.0443579	0.0450879	0.115768	0.0265656	0.0226864	0.00955623	0.00217326	0.0184658
w	0.012382	0.0161713	0.127604	0.201057	0.17364	0.0847409	0.125512	0.168338	0.0538334	0.0153705	0.00660062	0.00280684	0.011943
a	0.00727335	0.0252067	0.083492	0.195748	0.072207	0.0436984	0.0762537	0.0567841	0.366687	0.0303652	0.012993	0.00229709	0.0269948
m	0.00221672	0.00253245	0.0458784	0.113461	0.0982482	0.186547	0.173567	0.164291	0.127476	0.0282651	0.0173291	0.0124997	0.0276884
í	0.0333255	0.0168591	0.0104114	0.0182211	0.0362588	0.0228387	0.411995	0.110317	0.109634	0.125157	0.0624908	0.00151189	0.0409797
b	0.00556602	0.00305884	0.0116594	0.0170635	0.0310234	0.0700155	0.255244	0.228854	0.269147	0.0427118	0.0475003	0.0112037	0.00695152
o	0.00203735	0.00586393	0.00396796	0.0138578	0.0229145	0.0201202	0.155709	0.380172	0.330398	0.0394123	0.014473	0.00604722	0.00502614
n	0.00126362	0.000594786	0.0025447	0.0119432	0.0180024	0.0785731	0.0977634	0.0621351	0.621559	0.0403774	0.0320967	0.0226622	0.0104844
d	0.00700376	0.00252654	0.00826472	0.00662635	0.0288714	0.0313406	0.153098	0.116653	0.419511	0.130442	0.0488271	0.00737689	0.0394591
a	0.00775883	0.00353111	0.0127917	0.00793615	0.0234597	0.0393226	0.122599	0.118522	0.341095	0.147637	0.0851779	0.0104276	0.0797424
l	0.00197186	0.0009694	0.00683834	0.0089787	0.0250056	0.024132	0.0660247	0.140042	0.147358	0.327438	0.219297	0.00892658	0.0230173
á	0.00795648	0.000704395	0.00662353	0.00781253	0.0221621	0.0181851	0.0695014	0.0541462	0.0327585	0.179174	0.222809	0.0732664	0.3049
b	0.00503676	0.00317109	0.0139859	0.015676	0.0211887	0.0119767	0.154745	0.16345	0.0274536	0.139667	0.28922	0.0836021	0.0708265
í	0.0023923	0.0217337	0.012533	0.0496137	0.0500472	0.007902	0.15703	0.470386	0.0398568	0.0886965	0.0568954	0.0376983	0.00521508
s	0.00383665	0.00437726	0.00679007	0.0126971	0.010235	0.00738969	0.126057	0.473325	0.0844045	0.0619185	0.0515386	0.124016	0.0334137
í	0.00152368	0.00038458	0.00132744	0.00208793	0.00327648	0.00727215	0.0593362	0.0800824	0.0666628	0.188135	0.203768	0.0378378	0.348306
á	0.000788185	0.000213955	0.00818976	0.00733506	0.00592625	0.00279987	0.0239097	0.0223179	0.0113724	0.131081	0.199832	0.233024	0.35321
w	0.00255734	0.000777706	0.0109104	0.0224879	0.0455507	0.0680548	0.0435807	0.0206032	0.00646378	0.0967818	0.138029	0.289229	0.254973
u	0.00149995	0.00185994	0.00653396	0.0153709	0.016591	0.0221039	0.0753854	0.0855951	0.0851168	0.114134	0.154846	0.252581	0.168382
l	0.00018567	3.20059e-05	0.000252945	0.000422707	0.00148876	0.0013469	0.0131288	0.00289502	0.00755144	0.110504	0.221906	0.213683	0.426602
á	0.00215288	0.000367905	0.00212123	0.00278339	0.00490671	0.00353432	0.0290818	0.0181738	0.0159768	0.0956059	0.181958	0.213565	0.429772
</S>	0.014464	0.00317269	0.0236838	0.0297099	0.0261055	0.0116411	0.0866657	0.0859634	0.017957	0.0370957	0.0582209	0.262393	0.342927
