 	je	viendrai	chez	toi	cet	après	midi	</S>
n	0.98663	0.00611608	0.00400284	0.0012183	0.000562255	0.00120729	0.00024692	1.64172e-05
g	0.973962	0.00177633	0.00916488	0.0143287	0.000157437	0.000514355	6.76504e-05	2.81971e-05
á	0.925742	0.0167109	0.0122548	0.0419972	0.0010117	0.00175019	0.000400047	0.00013285
l	0.34367	0.163736	0.157081	0.054827	0.0560531	0.0433109	0.0689797	0.112342
í	0.608522	0.109448	0.0253845	0.0593132	0.0352638	0.0483205	0.0465368	0.0672107
i	0.0728488	0.0670407	0.140142	0.0778178	0.0997671	0.11363	0.284807	0.143946
y	0.00328757	0.94078	0.0336792	0.00232994	0.00528531	0.0010418	0.000861505	0.0127353
a	0.000680915	0.982688	0.0105838	0.00106631	0.000876962	0.00026644	9.59676e-05	0.00374179
á	0.446436	0.266309	0.0681109	0.0178445	0.0202132	0.00434722	0.00669796	0.170041
m	0.0588403	0.529001	0.253282	0.0844417	0.0214767	0.00777334	0.0168304	0.0283551
b	0.00312265	0.0655822	0.739615	0.147358	0.0224927	0.00167058	0.00558826	0.0145699
v	0.000378178	0.00438774	0.869927	0.0942359	0.0152973	0.00434414	0.00394885	0.00748071
á	0.00119025	0.0110861	0.826335	0.125959	0.0101945	0.00481778	0.0046461	0.0157714
a	0.00160445	0.0157561	0.636102	0.104769	0.107299	0.00454673	0.00289282	0.127031
n	0.00386708	0.00727106	0.263056	0.397538	0.230204	0.0496177	0.01892	0.0295254
ω	0.0158059	0.00564647	0.196651	0.47616	0.0828917	0.0749568	0.0203284	0.127559
l	0.00198826	0.0103521	0.0722761	0.18716	0.359879	0.307544	0.0275594	0.0332411
e	0.00179786	0.00949838	0.0506542	0.0499534	0.326913	0.283556	0.144655	0.132971
k	0.00032468	0.00537484	0.0468651	0.0706866	0.356618	0.315887	0.0970792	0.107164
a	0.000348255	0.00560877	0.0311364	0.0269365	0.515088	0.277034	0.0601677	0.0836799
l	0.000126156	0.00823806	0.0201355	0.0170424	0.33525	0.233935	0.0441097	0.341163
á	0.000132716	0.00240598	0.02268	0.031224	0.196274	0.288388	0.126132	0.332764
a	0.00108129	0.00347241	0.0211709	0.0372848	0.0961297	0.177122	0.40743	0.256309
</S>	0.00105484	0.00841003	0.0275497	0.0265945	0.116556	0.0870896	0.471425	0.26132
