 	il	y	a	plusieurs	manières	de	pêcher	du	poisson	</S>
i	0.0843916	0.133982	0.0639023	0.0569019	0.125608	0.338216	0.118836	0.0506742	0.00316414	0.0243245
l	0.00688903	0.0867885	0.0346996	0.0472937	0.192462	0.223493	0.181689	0.0584642	0.149092	0.0191287
ώ	0.00441127	0.0432684	0.0161268	0.0226554	0.151008	0.119218	0.0910119	0.0505841	0.0227362	0.478979
b	0.00833892	0.0539237	0.0307181	0.040188	0.0808782	0.152033	0.116804	0.121204	0.204993	0.190919
h	0.026507	0.0575188	0.0307466	0.0331033	0.162411	0.273841	0.21955	0.0879915	0.0448432	0.0634872
í	0.096936	0.0629564	0.015655	0.0188477	0.210722	0.286001	0.223568	0.0247235	0.00507547	0.0555149
l	0.0726599	0.0588016	0.189257	0.0820092	0.122764	0.247053	0.106888	0.0794882	0.00733794	0.0337419
í	0.0670859	0.0599431	0.159943	0.135598	0.167374	0.0982306	0.0545521	0.0518519	0.0251151	0.180307
b	0.0883058	0.0371168	0.0723186	0.0818514	0.15914	0.232306	0.127652	0.0952525	0.0390712	0.0669857
á	0.062177	0.0201796	0.0348271	0.101894	0.0671348	0.0988883	0.350412	0.115408	0.123312	0.0257671
a	0.0749667	0.0265155	0.0521066	0.0867371	0.119522	0.201932	0.313224	0.075848	0.0311004	0.0180475
s	0.00362997	0.00462872	0.0258339	0.0536465	0.0469709	0.141577	0.257432	0.256164	0.0759022	0.134214
w	0.00204656	0.00491902	0.0110126	0.0595103	0.0404049	0.0504809	0.111593	0.218293	0.333047	0.168692
é	0.00415677	0.00490896	0.0203075	0.167139	0.16997	0.0696847	0.0627809	0.222928	0.227984	0.0501405
í	0.0013726	0.00266991	0.0244481	0.0769353	0.057649	0.0960856	0.140487	0.251856	0.18469	0.163807
d	0.00788649	0.00820163	0.0744816	0.195659	0.0388263	0.0867989	0.0916856	0.283407	0.0419724	0.171082
í	0.00217327	0.00241721	0.0224137	0.0967753	0.00693135	0.00797716	0.0178476	0.0992276	0.0866569	0.65758
i	0.00330054	0.00429929	0.047392	0.245878	0.0578174	0.0586769	0.0475411	0.164846	0.0709564	0.299292
y	0.00537231	0.0103965	0.039026	0.070038	0.0216772	0.0245797	0.0568394	0.145619	0.152476	0.473976
í	0.000996906	0.00495078	0.0104537	0.0469247	0.0228609	0.00841438	0.0129584	0.195308	0.374429	0.322703
í	0.000543932	0.000656175	0.00347383	0.0146868	0.0083497	0.00968939	0.0163562	0.062134	0.105569	0.778541
</S>	0.00394394	0.00506437	0.0331401	0.0627039	0.0326824	0.0313989	0.0302695	0.142613	0.0802712	0.577913
