 	donne-le	moi	tout	de	suite	autrement	tu	seras	puni	</S>
p	0.518103	0.244127	0.145276	0.034436	0.018094	0.00729945	0.0216818	0.0104995	0.000357956	0.000126003
έ	0.590802	0.116192	0.186129	0.0390982	0.0291896	0.00681252	0.0219106	0.00690733	0.00116953	0.00178909
n	0.194456	0.241269	0.194066	0.083883	0.0632167	0.0561806	0.0993317	0.0267155	0.00798273	0.0328986
g	0.235203	0.484455	0.116336	0.0405582	0.0097038	0.0148922	0.071691	0.0109412	0.000281529	0.0159381
á	0.0272003	0.93839	0.0055573	0.00279587	0.00197629	0.00146087	0.0168149	0.00111987	5.12946e-05	0.004633
m	0.204842	0.0938303	0.250997	0.287642	0.0254341	0.0261495	0.00677942	0.00867279	0.00131372	0.0943387
ú	0.374224	0.0971493	0.218099	0.241422	0.0336806	0.0129139	0.00105902	0.00189884	0.000381513	0.0191715
a	0.11716	0.089946	0.293268	0.44192	0.0339968	0.00474433	0.0015805	0.00411474	0.0012451	0.0120245
l	0.0241062	0.08162	0.309919	0.386518	0.0762006	0.0233934	0.0215323	0.0320048	0.00706088	0.0376449
a	0.0159278	0.0349326	0.272556	0.271875	0.0720982	0.057461	0.0602433	0.0411085	0.00139902	0.172399
o	0.0652829	0.319483	0.138767	0.236435	0.133951	0.0300197	0.0214241	0.00942424	0.000519141	0.0446951
k	0.00570873	0.0324423	0.134461	0.301449	0.409943	0.057055	0.0124737	0.0159054	0.00831709	0.022245
ó	0.00345253	0.000699816	0.0692411	0.0954992	0.763472	0.0339652	0.00285517	0.00390624	0.015909	0.0109998
r	0.00191574	0.000922698	0.129199	0.115482	0.674497	0.0380634	0.00579429	0.00983108	0.00821105	0.0160847
ó	0.0358783	0.0010237	0.11999	0.159015	0.515407	0.0455967	0.00312185	0.00274883	0.00648111	0.110738
w	0.0301585	0.0565514	0.0976079	0.194403	0.29609	0.207969	0.0711462	0.0289647	0.00909536	0.00801385
á	0.0210244	0.0474407	0.107282	0.220025	0.231764	0.158778	0.0683324	0.0404712	0.0446463	0.0602362
á	0.0137274	0.0509661	0.0199856	0.0600389	0.112826	0.336633	0.275164	0.0750301	0.033157	0.0224714
k	0.00397536	0.0127576	0.0169791	0.0530718	0.0242471	0.319253	0.322598	0.200913	0.019121	0.0270831
a	0.00233725	0.00121566	0.00860098	0.0231337	0.158853	0.231131	0.0771152	0.071411	0.407882	0.0183201
á	0.000806672	0.00155934	0.00719374	0.0241839	0.0691076	0.191522	0.230821	0.146788	0.261151	0.0668669
l	0.00210493	0.00330701	0.00827476	0.0198375	0.00663558	0.0800868	0.36007	0.333487	0.0304886	0.155708
í	0.00250958	0.00260988	0.0142489	0.0261352	0.0123319	0.0566208	0.204525	0.155324	0.018786	0.506909
i	0.00695574	0.0283937	0.0071031	0.0296458	0.0166374	0.095126	0.316267	0.23528	0.0404759	0.224115
k	0.00375587	0.00292251	0.00912589	0.0220804	0.0194029	0.0353951	0.0290132	0.0906568	0.700268	0.0873792
w	8.56478e-05	7.00212e-06	0.00304856	0.0035122	0.027149	0.0192267	0.00670985	0.0326135	0.866967	0.0406804
ε	0.00186017	0.00021114	0.00156057	0.0034897	0.00941677	0.0228167	0.0122096	0.0139447	0.903305	0.0311856
r	0.00019164	0.000118098	0.00115263	0.00678579	0.0246103	0.0527908	0.0556495	0.0983096	0.491316	0.269075
έ	0.062714	0.0121568	0.0350718	0.0689146	0.0956756	0.172396	0.228372	0.0865872	0.165889	0.0722227
n	0.00234947	0.00181535	0.00380377	0.00875504	0.0127155	0.041553	0.0931808	0.110185	0.0755377	0.650104
ώ	0.0088402	0.0681112	0.00684197	0.0179219	0.00621879	0.0192997	0.69352	0.0901344	0.0176947	0.0714171
m	0.0015573	0.00463797	0.00350334	0.00664732	0.00469033	0.0258241	0.344922	0.0826696	0.00349026	0.522058
b	0.0323856	0.00622317	0.0106652	0.0484028	0.0129033	0.0224613	0.00483131	0.0512967	0.0245382	0.786292
a	0.00485204	0.00133314	0.00361621	0.0500215	0.0339263	0.0299461	0.0227847	0.137178	0.278377	0.437965
e	0.00454799	0.000651854	0.00234382	0.00610778	0.0231636	0.0311611	0.0225131	0.0598828	0.47867	0.370958
</S>	0.00253892	0.000589484	0.00706311	0.0127454	0.0181506	0.0284667	0.0212974	0.0819161	0.0706225	0.75661
