 	j'	aime	manger	le	poisson	frais	que	l'	on	fait	pourrir	</S>
n	0.941847	0.0444675	0.00469242	0.00557697	0.000246432	1.92251e-05	0.00027425	0.000501932	0.0011317	0.000801232	0.000417525	2.38095e-05
g	0.99528	0.00257043	0.000302775	0.000871938	1.85036e-05	2.105e-06	3.65449e-05	0.000108046	0.000261485	0.000291865	0.000245802	1.0443e-05
á	0.994992	0.00278651	0.000374571	0.000748287	4.68784e-05	2.46815e-05	7.03347e-05	0.000217568	0.000101026	0.000197441	0.0004313	9.42687e-06
i	0.553598	0.121785	0.0432392	0.0718852	0.004298	0.0139382	0.0105544	0.0219099	0.0273133	0.0261377	0.0158818	0.0894587
d	0.0127609	0.763027	0.0705299	0.00863575	0.00436304	0.0829825	0.0068839	0.0103044	0.00566387	0.0043241	0.0171151	0.013409
í	0.217289	0.591422	0.122405	0.0142949	0.00888885	0.00754184	0.00236522	0.00779915	0.00430799	0.00243318	0.00520046	0.0160515
l	0.0306046	0.39163	0.367223	0.10888	0.0332211	0.00427594	0.00969228	0.00855432	0.0159778	0.0122807	0.00227111	0.0153893
a	0.0296222	0.474371	0.359836	0.0384467	0.0184932	0.00445802	0.00611349	0.00944792	0.0107569	0.00819565	0.00316975	0.0370892
p	0.00468956	0.698312	0.23123	0.0268406	0.0123792	0.00175291	0.00200742	0.00276223	0.00297106	0.00385258	0.00541888	0.00778379
ó	0.00125151	0.914881	0.0459406	0.00747253	0.00140381	0.0103467	0.00145562	0.00194607	0.00209031	0.000461676	0.00352788	0.00922265
s	0.000481317	0.828926	0.0943314	0.0451878	0.0143551	0.00647315	0.00349258	0.00160817	0.00148032	0.000874109	0.00049927	0.00229048
á	0.000164734	0.772268	0.134406	0.0347062	0.01328	0.00908215	0.00558984	0.00297173	0.0047685	0.00230806	0.00183158	0.0186235
o	0.0220203	0.0301291	0.207988	0.416047	0.173381	0.0183848	0.0268933	0.0224235	0.0277298	0.0276893	0.0106137	0.0167001
d	0.00362326	0.0850641	0.576006	0.0988956	0.0926172	0.101086	0.00876579	0.00946279	0.00460466	0.00289927	0.0102292	0.00674656
z	0.00189078	0.0290827	0.634016	0.0742614	0.139052	0.0203363	0.0132108	0.00954455	0.00368318	0.0046269	0.0144754	0.0558196
á	0.00383119	0.0482563	0.618225	0.0459224	0.237347	0.0222457	0.00662483	0.0040367	0.000889929	0.00144285	0.00154559	0.00963262
á	0.000330034	0.00377081	0.0989788	0.131956	0.376249	0.0642808	0.0907855	0.0333682	0.0295151	0.0207714	0.00634729	0.143647
o	0.00958127	0.00649687	0.045352	0.0871419	0.2943	0.0778074	0.166233	0.121966	0.0728194	0.0585162	0.0170696	0.0427161
t	0.000521289	0.0214776	0.0327685	0.0239771	0.054977	0.517416	0.117692	0.099203	0.0292167	0.0268701	0.0632737	0.0126077
u	7.62371e-05	0.0257511	0.0119937	0.0342486	0.039877	0.458662	0.140643	0.127138	0.0447508	0.0263535	0.0265596	0.0639464
a	0.000291703	0.00640126	0.010164	0.0822903	0.0652698	0.31876	0.195806	0.0924497	0.0326989	0.0125353	0.00758643	0.175747
</S>	0.000178559	0.000584179	0.0023998	0.0225534	0.0204871	0.0352603	0.23009	0.251057	0.242926	0.134861	0.0189465	0.0406561
