 	nous	irons	nous	laver	à	la	rivière	</S>
b	0.91901	0.0237501	0.0111361	0.0324451	0.0088686	0.00270346	0.00193097	0.00015545
í	0.946219	0.000754614	0.0496522	0.00128342	0.00124484	0.000703325	7.83579e-05	6.40394e-05
s	0.905973	0.000585535	0.093123	0.00011083	9.61766e-05	6.74822e-05	1.05097e-05	3.37295e-05
í	0.844631	0.00751779	0.143892	0.00098526	0.00137161	0.000409758	2.7552e-05	0.00116547
l	0.134111	0.307958	0.0659964	0.0674385	0.0498967	0.031402	0.0166717	0.326526
έ	0.0126486	0.0829462	0.0647756	0.178052	0.156816	0.0827481	0.0168096	0.405203
ε	0.00402254	0.779271	0.00814738	0.0832694	0.0337349	0.0332377	0.0060665	0.0522501
d	0.00186368	0.728367	0.0138427	0.169064	0.0224663	0.00992653	0.00369395	0.0507755
z	0.00389755	0.593219	0.0541851	0.301455	0.0214999	0.00813455	0.00135795	0.0162511
w	0.0119397	0.768921	0.0192853	0.151641	0.0264985	0.00858148	0.000595673	0.0125378
á	0.00174098	0.497683	0.0177753	0.197798	0.156346	0.0687093	0.00736915	0.0525794
o	0.0039971	0.118185	0.191631	0.412895	0.179703	0.0606467	0.0118805	0.0210613
p	0.000725013	0.0217953	0.0171052	0.761078	0.154333	0.0173813	0.0237423	0.00384022
f	8.06273e-05	0.00500117	0.00147085	0.54685	0.235965	0.0422198	0.123562	0.04485
ú	1.88085e-05	0.00592336	0.00145833	0.30061	0.295267	0.111637	0.167708	0.117377
b	0.0135751	0.0107836	0.165663	0.243788	0.351839	0.14201	0.0351933	0.0371471
h	0.0168763	0.0132683	0.0420029	0.192677	0.332511	0.201028	0.0262069	0.17543
á	0.00458746	0.00933991	0.0691832	0.143859	0.309345	0.215961	0.0552775	0.192447
m	0.000515523	0.00372197	0.0234851	0.0358799	0.269766	0.44217	0.107938	0.116524
ó	0.147974	0.00234413	0.162194	0.0248059	0.182865	0.161192	0.187493	0.131133
k	0.00452898	0.00162587	0.007894	0.0223257	0.108644	0.176575	0.599462	0.078944
y	0.000317062	7.90199e-05	0.000940412	0.0158102	0.024619	0.0283983	0.894583	0.0352531
ε	0.000303298	0.000104358	0.00189717	0.00519226	0.01506	0.0299673	0.871568	0.0759078
s	1.62991e-05	0.000104525	0.000437825	0.00519583	0.0222116	0.0863196	0.72543	0.160285
í	0.00017552	0.000212749	0.00113384	0.00682232	0.0467681	0.069312	0.257116	0.618459
</S>	0.000510379	0.00321817	0.00480019	0.00432069	0.025491	0.124365	0.130694	0.7066
