 	je	cuis	de	la	viande	à	l'	étouffée	</S>
n	0.875647	0.0702444	0.0214527	0.00360177	0.00900201	0.00825552	0.0112583	0.000363086	0.000175571
g	0.96054	0.00844304	0.00161495	0.000623217	0.0238707	0.00168716	0.00315924	3.00739e-05	3.19764e-05
á	0.918701	0.0627128	0.000362382	0.00149662	0.014293	0.00111216	0.00093593	0.000335597	5.05063e-05
l	0.237204	0.521344	0.0982715	0.0261188	0.0167563	0.00748836	0.0215786	0.00997495	0.0612636
í	0.520134	0.128055	0.055061	0.0528641	0.0238402	0.0204423	0.0189318	0.0315164	0.149155
i	0.0361481	0.107528	0.351932	0.311809	0.0421528	0.0498375	0.0280607	0.00699348	0.0655394
s	0.00341397	0.161597	0.299651	0.445209	0.0104731	0.0154961	0.00445066	0.00803516	0.0516737
ε	0.00168925	0.422529	0.0730979	0.486094	0.00584637	0.00364855	0.000481991	0.000845648	0.00576718
n	0.000295116	0.0533303	0.132945	0.63784	0.050117	0.0584882	0.00982869	0.000248878	0.0569071
g	0.00407912	0.0339838	0.285756	0.355068	0.158284	0.11799	0.0234937	0.000741951	0.0206037
έ	0.0496	0.0685515	0.118707	0.137687	0.471062	0.0865045	0.050148	0.0011082	0.0166316
n	0.000408904	0.000852613	0.0706641	0.0903035	0.562203	0.179525	0.0914691	0.00325605	0.00131811
y	0.00850699	0.0063818	0.013323	0.0346295	0.851894	0.05547	0.0193267	0.000859851	0.00960826
a	0.0041554	0.00207219	0.00773193	0.047284	0.843115	0.0735546	0.0125197	0.00149287	0.00807467
m	0.000198683	0.015226	0.0500659	0.356065	0.345336	0.143248	0.0662745	0.0102741	0.0133118
a	0.00440982	0.000911087	0.033107	0.0557063	0.371031	0.303763	0.130185	0.00908261	0.0918044
</S>	0.00119657	0.000542019	0.0606328	0.0354698	0.106912	0.271615	0.363677	0.0461734	0.113782
