 	le	tsamu-tsamu	se	boit	quand	il	est	tiède	</S>
t	0.71426	0.214727	0.0499445	0.000461894	0.00563072	0.00296116	0.0106978	0.000782091	0.00053479
s	0.152699	0.825996	0.0100622	0.00170767	0.00236006	0.00296322	0.00217085	0.0017537	0.000286294
a	0.299558	0.663915	0.00404857	0.0100603	0.00262084	0.00247346	0.00469188	0.00923759	0.00339474
m	0.364418	0.513388	0.0194392	0.00589189	0.0114038	0.00858715	0.00810338	0.0109194	0.0578491
u	0.587822	0.27503	0.0660248	0.0275843	0.00666424	0.00244046	0.00217689	0.00098889	0.0312677
t	0.23611	0.317756	0.379518	0.0152566	0.0107181	0.00308817	0.00413643	0.000779115	0.0326379
s	0.325689	0.307579	0.147088	0.0278696	0.0210963	0.033966	0.0366772	0.0794735	0.0205605
a	0.111539	0.613801	0.0787226	0.0942225	0.0129743	0.0173184	0.0178647	0.0191151	0.0344417
m	0.0820941	0.422887	0.299516	0.0744672	0.0188342	0.010304	0.0130219	0.00690828	0.0719671
u	0.2841	0.190665	0.4752	0.0231741	0.00962646	0.00499158	0.00468426	0.000886792	0.00667298
b	0.0941306	0.0674233	0.681617	0.116895	0.0157965	0.0057042	0.00343688	0.00109068	0.0139061
á	0.162132	0.0753054	0.295872	0.12241	0.159106	0.05709	0.0483453	0.0164567	0.0632818
a	0.0263095	0.0418835	0.302363	0.321096	0.12012	0.0559385	0.0451602	0.0200295	0.0671
n	0.00893317	0.0045061	0.179214	0.537515	0.153722	0.0155981	0.0243525	0.00720523	0.0689531
y	0.0107146	0.0134887	0.0975056	0.657898	0.0825753	0.029009	0.0220712	0.0017102	0.0850277
w	0.00613907	0.0257501	0.0469462	0.83082	0.0409173	0.0254277	0.00606117	0.000863129	0.0170757
á	0.00254615	0.00693374	0.0243945	0.851773	0.0337662	0.0312972	0.00901153	0.00301757	0.0372599
á	0.0123977	0.0104381	0.0667278	0.250054	0.238	0.0843571	0.0767837	0.0316009	0.22964
l	0.0107832	0.00681485	0.0571621	0.0799915	0.339807	0.227912	0.127181	0.0487609	0.101587
o	0.00252914	0.00151566	0.0225185	0.0846163	0.163908	0.190386	0.148332	0.112102	0.274093
y	0.00579965	0.00178619	0.0209679	0.0136286	0.0366585	0.0547781	0.0649841	0.773652	0.0277446
ó	0.00804749	0.00363317	0.0162732	0.20721	0.137623	0.163396	0.109528	0.296048	0.0582406
y	0.000618006	0.000479116	0.00726692	0.0290345	0.0436563	0.0424352	0.0436485	0.716638	0.116223
o	0.00154081	0.00121551	0.00885001	0.0642562	0.130855	0.206864	0.125021	0.386554	0.0748428
</S>	0.00127974	0.000296633	0.00289226	0.00919038	0.0661286	0.0645805	0.0903171	0.340016	0.425299
