 	ma	mère	m'	a	défendu	d'	utiliser	les	feuilles	aboyo	comme	emballage	</S>
n	0.634924	0.25763	0.0434023	0.0241071	0.00619411	0.0167922	0.0100808	0.00206374	0.00106726	0.00124584	0.000425314	0.00192426	0.000143132
g	0.576068	0.380787	0.0415771	0.00117497	2.45313e-05	0.000227265	0.000103741	1.39956e-05	4.72786e-06	2.9496e-06	1.0634e-05	2.63799e-06	2.97709e-06
ó	0.137846	0.831662	0.0264205	0.00276749	0.000513014	0.000280453	0.000412468	3.50398e-05	2.21624e-05	7.99093e-06	1.59798e-05	9.18432e-06	7.70664e-06
o	0.0213571	0.971473	0.0030025	0.00041368	0.00205943	8.62024e-05	0.00138929	3.15862e-05	2.19294e-05	7.04352e-06	1.13148e-05	3.71792e-05	0.000109412
á	0.475207	0.0448711	0.257185	0.162967	0.0087484	0.0170857	0.00279782	0.00781183	0.00308792	0.00411367	0.00983662	0.000230583	0.00605732
s	0.0059661	0.00233238	0.0269467	0.211523	0.664383	0.0382888	0.0129216	0.00631267	0.00719155	0.00131594	0.00156073	0.00370534	0.0175522
i	0.00691627	0.000348948	0.00286844	0.0327688	0.946243	0.00157507	0.00352566	0.000428977	0.000446024	6.33821e-05	4.93744e-05	6.4453e-05	0.00470159
m	0.0459878	0.0011955	0.0130658	0.0533545	0.846644	0.0104312	0.00821684	0.00218294	0.0020439	0.00206588	0.00087999	0.000289958	0.0136419
b	0.143774	0.00483751	0.215187	0.159313	0.443627	0.0125173	0.0112095	0.00192253	0.00140191	0.000939373	0.000447575	0.000189642	0.00463451
i	0.0280143	0.00320466	0.0368635	0.383448	0.183741	0.140762	0.102641	0.0267736	0.0165471	0.00490409	0.00266833	0.000647555	0.0697848
n	0.0153747	0.00200443	0.526229	0.281558	0.0102699	0.133101	0.00733082	0.0138702	0.00198112	0.00189344	0.00296475	0.000251731	0.00317063
g	0.435431	0.000315786	0.273581	0.144091	0.0126993	0.0588046	0.017813	0.0156331	0.00374005	0.00285802	0.00565688	0.000573684	0.0288023
á	0.0555247	0.0548054	0.553362	0.17007	0.0198261	0.0301496	0.10109	0.00622849	0.00194009	0.000529399	0.00101725	0.000125139	0.00533193
o	0.00888208	7.8886e-05	0.0672159	0.310168	0.00688494	0.278152	0.107327	0.133241	0.0431256	0.00867209	0.0111568	0.00254739	0.0225476
k	0.000299848	3.91443e-05	0.00256154	0.0446384	0.179891	0.119946	0.524147	0.0467448	0.0430842	0.00519749	0.00212639	0.0248391	0.00648493
a	4.83036e-06	6.03808e-07	0.000127463	0.00373701	0.024303	0.0283965	0.753464	0.020216	0.0684349	0.00278066	0.000547615	0.0944954	0.00349183
n	0.000154001	1.02902e-05	0.000393842	0.00831373	0.0352736	0.0809634	0.607339	0.103285	0.108918	0.0051335	0.00111778	0.0336505	0.0154482
g	0.000351701	2.27761e-06	0.000598818	0.0121167	0.00559035	0.0991476	0.701447	0.0826835	0.0581004	0.00495576	0.00175849	0.0046647	0.0285828
á	0.000616499	1.6689e-05	0.0145683	0.0320514	0.00239869	0.105351	0.553999	0.1643	0.0425246	0.00603274	0.00327056	0.000975884	0.0738943
b	0.00234152	1.32142e-05	0.00998502	0.0172605	0.000396515	0.0758941	0.0182355	0.186442	0.179129	0.272715	0.157676	0.0165226	0.0633901
e	0.00202565	2.46531e-05	0.00291566	0.00852509	0.00115092	0.0179012	0.0111007	0.0444612	0.224317	0.391313	0.0986039	0.128951	0.0687098
a	0.00020255	6.56224e-06	0.000917426	0.00193832	0.000340627	0.0185121	0.0216662	0.100081	0.309353	0.208842	0.0338093	0.197505	0.106826
m	0.000179298	5.04501e-07	0.000363538	0.00429069	0.000488023	0.0165437	0.0032984	0.0502987	0.133116	0.195656	0.339091	0.0795128	0.177161
á	0.000187008	4.37185e-06	0.00108318	0.00309191	0.000314838	0.00526664	0.00147314	0.00959285	0.0207817	0.257188	0.380094	0.0539819	0.26694
b	0.000313701	3.00378e-05	0.00659286	0.00910651	0.00459636	0.0177847	0.00907556	0.0130573	0.066176	0.164261	0.234449	0.414086	0.0604719
o	0.000819128	3.56779e-05	0.00437736	0.00705213	0.000857268	0.00711783	0.00191261	0.00834517	0.0184743	0.0600269	0.0760703	0.803348	0.0115639
y	1.42758e-05	7.08073e-07	7.29263e-05	0.00029528	0.000118351	0.00151247	0.000546639	0.00410026	0.0410289	0.0290006	0.00663867	0.838066	0.0786048
ó	0.000296782	1.05599e-05	8.09472e-05	0.00110042	0.00111608	0.0063931	0.0101878	0.0178703	0.0579869	0.0740992	0.143508	0.514714	0.172636
</S>	0.00531919	5.73509e-05	0.000668151	0.00189	0.000710785	0.0077451	0.00362921	0.0237724	0.0374104	0.0468167	0.216653	0.131848	0.523479
