 	la	femme	a	mis	au	monde	un	albinos	</S>
m	0.952945	0.0407761	0.00206546	0.00196664	0.00166656	0.00025029	0.000201612	5.33345e-05	7.47105e-05
w	0.0120581	0.981801	0.00377153	0.00102971	0.000938532	6.03176e-05	6.42838e-05	3.61162e-06	0.000272758
á	0.0696602	0.927957	0.000759469	0.000865815	0.000579851	7.31491e-05	4.73573e-05	4.13822e-05	1.6266e-05
s	0.875971	0.0757198	0.0249202	0.0137103	0.00590361	0.000387157	0.000774579	0.000157778	0.00245579
í	0.433312	0.193248	0.217485	0.0394062	0.0315265	0.00941295	0.014124	0.0043881	0.0570972
á	0.118721	0.00473413	0.795629	0.0436555	0.0157217	0.00234754	0.00709418	0.00173449	0.0103624
m	0.00988699	0.00458438	0.231649	0.466211	0.195931	0.0662584	0.0126086	0.00442088	0.0084497
i	0.00641229	0.0047318	0.187544	0.267185	0.353199	0.131464	0.0394978	0.00369728	0.00626814
b	0.00228054	0.00116455	0.0107164	0.498261	0.26222	0.165758	0.0255023	0.020727	0.0133701
ó	0.00558553	0.000443994	0.00649057	0.415393	0.38616	0.138105	0.0227526	0.00665668	0.0184128
r	0.00349147	0.000135324	0.00779607	0.589253	0.168414	0.187233	0.0121531	0.0238772	0.00764681
á	0.0725655	0.00100959	0.0327226	0.314299	0.167124	0.144748	0.0517933	0.0475273	0.168211
e	0.0213672	0.00133085	0.0732388	0.0709019	0.375064	0.230149	0.159077	0.0530495	0.0158209
f	0.00278863	0.00087286	0.00208656	0.0235064	0.0799387	0.24576	0.160433	0.452003	0.0326111
ú	0.000580218	3.48428e-05	0.00064496	0.0121889	0.0149817	0.218565	0.0521479	0.686065	0.0147916
ú	0.00178531	5.52643e-05	0.00279698	0.014916	0.0298297	0.244962	0.19229	0.42864	0.0847238
l	0.00220479	2.4735e-05	0.00389998	0.00729042	0.028566	0.0364357	0.298641	0.320574	0.302363
a	0.00356911	4.44522e-05	0.00133638	0.00693609	0.0232392	0.0494549	0.176499	0.214463	0.524459
</S>	0.0252716	0.000409597	0.00638068	0.00306694	0.0171825	0.019636	0.233945	0.184139	0.509968
