 	il	est	allé	au-devant	des	étrangers	</S>
w	0.847366	0.136508	0.00128125	0.00800916	0.00584259	0.000870912	0.000122155
a	0.919947	0.054321	0.000673207	0.0182292	0.00353147	0.00326799	3.02011e-05
a	0.129386	0.797617	0.0604123	0.00640969	0.0025895	0.000414242	0.00317103
d	0.027739	0.65434	0.174955	0.109962	0.017258	0.00361028	0.012136
z	0.00586409	0.432075	0.510023	0.0161091	0.00286671	0.000559749	0.0325023
w	0.0174833	0.103372	0.863172	0.0125512	0.000488409	0.000316129	0.00261678
é	0.015802	0.0584309	0.766328	0.112284	0.00886182	0.0016633	0.0366307
m	0.011749	0.0819052	0.308901	0.396134	0.120779	0.01574	0.0647926
ó	0.00853464	0.037407	0.272715	0.558865	0.0800485	0.00503484	0.0373946
b	0.0078706	0.0294286	0.158344	0.585953	0.0740473	0.114555	0.0298009
o	0.00758028	0.01203	0.012866	0.502366	0.0869184	0.349087	0.0291518
s	0.000224951	0.0023393	0.00942653	0.896561	0.018897	0.0621271	0.0104237
ó	0.00058673	0.00384983	0.0593985	0.399015	0.17354	0.157377	0.206233
b	0.00164074	0.00855432	0.00366602	0.0221504	0.706111	0.130196	0.127682
á	0.116486	0.0237275	0.03512	0.0399099	0.18211	0.144166	0.45848
a	0.00980851	0.00193566	0.0081392	0.0151099	0.144548	0.68111	0.139349
b	0.000731599	0.0051096	0.0101624	0.0151218	0.034846	0.899686	0.0343429
v	0.00109837	0.00615093	0.00323377	0.122042	0.0551066	0.797913	0.0144559
ú	0.000630343	0.00143657	0.000975633	0.068398	0.0339149	0.885055	0.00958983
r	0.000197267	0.00015133	0.000205445	0.0029664	0.0379068	0.78752	0.171053
u	0.00456845	0.00108461	0.0031662	0.0196902	0.205949	0.44781	0.317731
</S>	0.0025341	0.00215413	0.000659453	0.00266297	0.211955	0.0982015	0.681833
