 	attends-moi	j'	arrive	</S>
k	0.808996	0.186652	0.00309259	0.00126005
o	0.989101	0.0101132	0.00051338	0.000272541
n	0.521305	0.349178	0.0296053	0.099912
g	0.0461319	0.844027	0.0255523	0.0842883
á	0.381164	0.519758	0.0425125	0.0565654
á	0.0798308	0.733673	0.139655	0.0468409
n	0.0834101	0.513959	0.292297	0.110334
g	0.000853598	0.990174	0.00286236	0.00611051
á	0.021918	0.932118	0.0139708	0.0319931
é	0.200812	0.245855	0.305038	0.248296
e	0.0683425	0.165781	0.445956	0.31992
w	0.111445	0.0309655	0.64139	0.216199
ú	0.061035	0.0226728	0.493743	0.422549
u	0.0516326	0.0469635	0.112959	0.788445
</S>	0.033476	0.047656	0.113321	0.805547
