 	pendant	la	saison	de	grandes	pluies	la	température	est	souvent	douce	</S>
l	0.278523	0.275859	0.216085	0.129276	0.0395126	0.020419	0.0212771	0.00367783	0.00717452	0.00578569	0.00190866	0.000501043
a	0.268151	0.31727	0.124221	0.0877434	0.0891524	0.0361354	0.0206446	0.0188316	0.0159831	0.00281018	0.017773	0.0012842
t	0.0717167	0.143491	0.164612	0.12739	0.132309	0.126666	0.111726	0.0456332	0.00770665	0.00133738	0.0266815	0.0407307
s	0.0586707	0.107752	0.101987	0.068591	0.0589548	0.292532	0.0265308	0.00619177	0.0277416	0.0523193	0.0622988	0.136431
ó	0.141257	0.181211	0.200597	0.112298	0.0578112	0.156075	0.0451071	0.00370299	0.00681328	0.0130792	0.0227399	0.0593084
n	0.155695	0.162423	0.308448	0.17767	0.0663969	0.0671073	0.0239415	0.00115961	0.00147321	0.00303338	0.00286829	0.0297847
g	0.153061	0.131643	0.173102	0.104668	0.111162	0.081166	0.028344	0.00907588	0.00669547	0.00344043	0.0102612	0.187382
a	0.0747339	0.201839	0.366843	0.211371	0.0837532	0.0213985	0.00802242	0.0215095	0.000680738	0.000230137	0.00147723	0.008142
m	0.0937945	0.0365677	0.143219	0.233916	0.25305	0.0780587	0.0866279	0.0285315	0.0325988	0.00383172	0.000343777	0.00945999
a	0.060056	0.00609414	0.0312458	0.0984115	0.374264	0.134904	0.263821	0.0182785	0.00516421	0.000308147	0.000696848	0.00675572
s	0.0585901	0.0182763	0.0509914	0.113382	0.34958	0.20846	0.129678	0.0413843	0.00598737	0.00114896	0.00431887	0.018202
í	0.0116511	0.00861576	0.0218072	0.0628907	0.331778	0.0559579	0.145814	0.321923	0.0288761	0.000493093	0.00080902	0.00938425
a	0.0170729	0.00695871	0.0442532	0.113304	0.233976	0.0955548	0.259939	0.142391	0.0404512	0.00138284	0.00378269	0.0409329
y	0.00441153	0.00291383	0.00651277	0.0213014	0.0617976	0.0546583	0.142367	0.456061	0.232128	0.0127142	0.000564062	0.00457105
í	0.00757597	0.00385425	0.00755573	0.011341	0.0358968	0.0244161	0.110087	0.604954	0.180734	0.000592141	0.00169343	0.0113002
í	0.00289814	0.00123751	0.0103902	0.018214	0.0375512	0.0169091	0.190922	0.532216	0.149697	0.00242175	0.00243893	0.0351038
á	0.00396034	0.00119152	0.00228014	0.00479057	0.0103746	0.00653588	0.0385958	0.306323	0.555626	0.0385355	0.00224133	0.029545
d	0.00346332	0.00234935	0.00162846	0.00197949	0.00323044	0.00381544	0.00472064	0.0529345	0.526312	0.348182	0.00919887	0.0421852
í	0.00229908	0.000805144	0.000598564	0.00128975	0.00466464	0.00137653	0.00683976	0.153557	0.676479	0.0479334	0.00118957	0.102967
b	0.00162406	0.000399383	0.00106054	0.00164821	0.00304216	0.00275328	0.0163883	0.0519619	0.379061	0.4269	0.0211677	0.0939926
o	0.0112673	0.0123788	0.00341244	0.0067264	0.0155758	0.0107917	0.0202642	0.0485899	0.124536	0.548925	0.177578	0.0199548
l	0.000265024	0.00146984	0.00217818	0.00343337	0.00683031	0.0184575	0.0136941	0.00201098	0.0402139	0.642979	0.176184	0.0922838
i	0.00062773	0.000705473	0.000795583	0.00109062	0.00131081	0.00387996	0.00582909	0.0057656	0.0656384	0.699404	0.13142	0.0835327
b	0.00270641	0.00203155	0.00499803	0.0073182	0.0067992	0.00602078	0.0228949	0.0252437	0.14077	0.230967	0.163852	0.386398
o	0.0107062	0.00880362	0.00685789	0.00606611	0.00447091	0.00481911	0.00466336	0.00324983	0.041113	0.281392	0.579927	0.0479318
l	0.000482884	0.000841242	0.000517391	0.000541865	0.000658852	0.00323077	0.00150366	0.000654595	0.0116003	0.494326	0.361786	0.123856
i	0.000574953	0.00104403	0.000773921	0.00114652	0.00141114	0.00513893	0.00186154	0.00155822	0.057774	0.459552	0.349815	0.11935
</S>	0.00407232	0.00301568	0.00581442	0.00547932	0.00481469	0.0165523	0.0163137	0.00286429	0.0599626	0.122633	0.171785	0.586693
