 	maman	se	réjouit	de	son	enfant	</S>
m	0.650689	0.226669	0.0103309	0.0353218	0.0726364	0.00208828	0.00226449
a	0.326294	0.475779	0.00447001	0.0310244	0.0974298	0.0608468	0.00415635
á	0.0293055	0.616926	0.0228688	0.0332636	0.00453566	0.28401	0.00908962
l	0.142367	0.231679	0.276715	0.0454148	0.0170103	0.0107209	0.276093
á	0.245548	0.114005	0.0590989	0.0968229	0.0236694	0.0101462	0.45071
a	0.0343482	0.505436	0.264827	0.0573094	0.0445071	0.0193798	0.0741921
y	0.0864117	0.157878	0.708209	0.0243191	0.00128471	0.00417567	0.0177214
έ	0.0151763	0.0965806	0.844167	0.0167849	0.0031471	0.00167072	0.0224731
l	0.00333481	0.120589	0.391117	0.0960339	0.0277651	0.00789388	0.353267
έ	0.00717304	0.332236	0.333501	0.12317	0.152637	0.00351118	0.0477709
m	0.0146742	0.173079	0.183181	0.180572	0.379791	0.0319493	0.0367531
w	0.000150975	0.0123121	0.00931444	0.033496	0.0285741	0.891442	0.0247099
á	9.19194e-06	0.00160195	0.00027658	0.00316449	0.00241181	0.992201	0.000334998
n	0.000107203	0.0433514	0.0113755	0.131147	0.251117	0.527804	0.0350985
a	0.00268205	0.043917	0.0543824	0.0961963	0.352169	0.361846	0.0888076
y	0.00701198	0.0782976	0.218642	0.214946	0.33099	0.029422	0.12069
a	0.00130768	0.043142	0.324918	0.27293	0.252559	0.0496205	0.0555223
w	0.00137356	0.0108968	0.0193942	0.107309	0.73649	0.0990851	0.025451
a	0.000368662	0.03225	0.089283	0.292856	0.14251	0.417725	0.025007
</S>	4.70153e-05	0.00818447	0.187262	0.214341	0.0970598	0.0550188	0.438088
