 	cet	homme	blanc-ci	ne	comprend	pas	la	langue	mbochi	</S>
e	0.484373	0.44142	0.00488144	0.00506233	0.00208885	0.00468485	0.025935	0.0287142	0.00177411	0.0010664
b	0.236343	0.662435	0.0149658	0.0103955	0.00997369	0.008254	0.0301787	0.0118921	0.0111205	0.00444148
a	0.0318227	0.904926	0.00584569	0.0161183	0.00699118	0.000699882	0.0146106	0.00227512	0.0135421	0.00316858
a	0.0526481	0.877139	0.0133864	0.00681697	0.00411832	0.00100414	0.0124724	0.00547832	0.00907632	0.01786
m	0.450973	0.104029	0.160515	0.0397839	0.0173829	0.0217543	0.0122971	0.0297943	0.0017725	0.161698
i	0.0738466	0.0543012	0.343275	0.0770508	0.0218621	0.026888	0.0227893	0.0290761	0.0595362	0.291375
y	0.0821229	0.136114	0.481289	0.111989	0.0231074	0.0119241	0.0183307	0.0187276	0.00513657	0.111259
é	0.0878811	0.0101797	0.699829	0.0325126	0.0244774	0.0102652	0.00753144	0.0382818	0.00521943	0.0838227
é	0.0472958	0.0122826	0.531972	0.0569318	0.0261506	0.0146396	0.00795846	0.0283481	0.0099283	0.264492
d	0.00232927	0.00209791	0.12515	0.448281	0.252501	0.0674482	0.0260478	0.0160878	0.00144395	0.0586136
í	0.0018999	0.00101921	0.0913208	0.194547	0.436775	0.101183	0.0262312	0.0109986	0.00208229	0.133943
e	0.00210184	0.00118499	0.0335211	0.23798	0.320541	0.199736	0.085925	0.0323329	0.00605841	0.0806191
m	0.00143364	0.0042062	0.0295278	0.120128	0.205795	0.183469	0.215428	0.0729664	0.0266174	0.140428
b	0.0046813	0.00452348	0.0214429	0.0369478	0.218477	0.0637872	0.0669414	0.0546535	0.286636	0.241909
ω	0.00193121	0.00677961	0.0106485	0.0242096	0.105609	0.0203441	0.120354	0.0702188	0.460068	0.179837
s	0.00367634	0.00409158	0.0425964	0.0836001	0.0359243	0.0504097	0.321144	0.0957556	0.210593	0.152209
í	0.0114133	0.00171423	0.0231223	0.0788001	0.0439058	0.124242	0.288909	0.15917	0.0532305	0.215492
o	0.0011126	0.000488919	0.00963624	0.0346557	0.0618554	0.168534	0.267933	0.303471	0.0488594	0.103453
b	0.00061463	0.00179323	0.00260729	0.0212339	0.0318306	0.0567053	0.339523	0.35664	0.111207	0.0778447
ó	0.00160729	0.00988239	0.00218965	0.0488294	0.0201392	0.0412735	0.426092	0.134822	0.178523	0.136642
n	0.000966585	0.000595768	0.00152079	0.0240547	0.0295791	0.0293107	0.348199	0.111474	0.0493506	0.404949
d	0.00416713	0.0023535	0.00821239	0.0345744	0.0244551	0.098972	0.429168	0.24835	0.0645739	0.0851739
a	0.00523464	0.00619345	0.0102709	0.0132971	0.0207695	0.0783972	0.407734	0.140043	0.0817843	0.236276
k	0.00148769	0.000581197	0.0104421	0.012899	0.00774259	0.086486	0.204544	0.436843	0.101753	0.137221
a	0.00110523	0.00167712	0.00332755	0.0341592	0.0129411	0.0541881	0.317196	0.263583	0.00760629	0.304216
á	0.000306834	0.00036984	0.000504665	0.000972734	0.000923196	0.0039805	0.0581022	0.0479572	0.022475	0.864408
</S>	0.00105315	0.000559288	0.00728516	0.0131159	0.0148725	0.0238762	0.0310466	0.123134	0.0232387	0.761818
