 	la	forêt	qu'	il	nous	a	indiquée	pour	la	chasse	n'	était	pas	giboyeuse	</S>
l	0.254345	0.53664	0.124185	0.0467794	0.00468411	0.00395057	0.000146586	0.0125794	0.00578134	0.00514515	0.0029092	0.000261495	0.00182078	8.87955e-05	0.000683495
a	0.262606	0.488774	0.0715822	0.0402828	0.00433039	0.0598104	0.00418432	0.0163856	0.0160153	0.00441185	0.00361339	0.00299438	0.0174614	0.00189281	0.00565582
á	0.0541785	0.173419	0.135857	0.0836069	0.0043334	0.152511	0.128247	0.0287876	0.0590527	0.0073817	0.0373439	0.0305817	0.005166	0.00434934	0.0951855
l	0.108618	0.0720061	0.224767	0.105517	0.111229	0.0539471	0.026869	0.0223132	0.0261033	0.0104972	0.0270657	0.0210509	0.0064596	0.00298614	0.18057
í	0.0314701	0.00547503	0.0567044	0.0757102	0.0417024	0.158141	0.0271565	0.0236136	0.0645842	0.0125604	0.0281874	0.0200749	0.00701397	0.0213065	0.4263
í	0.0561783	0.0263397	0.191676	0.138822	0.124977	0.0645123	0.0556859	0.0187374	0.0314867	0.00363474	0.0115362	0.00696264	0.00281013	0.0198108	0.24683
d	0.0205486	0.00380121	0.0259873	0.0702852	0.0258976	0.34852	0.350528	0.0131565	0.0147596	0.0122466	0.0141868	0.0282375	0.0105523	0.00319859	0.0580937
z	0.00783639	0.000648378	0.00382269	0.0294584	0.0126369	0.157435	0.616001	0.00533552	0.0142032	0.0089658	0.00774706	0.0414738	0.00531713	0.000580976	0.0885383
u	0.00318458	0.000250472	0.002078	0.0101123	0.000367282	0.188137	0.774205	0.00271641	0.00462314	0.000792317	0.00130926	0.0056583	0.000844146	0.000182025	0.00553908
ú	0.00626094	0.00187474	0.00461927	0.0200123	0.00741992	0.0340513	0.887052	0.00629735	0.00492703	0.00314389	0.00194716	0.0086017	0.00565859	3.87651e-05	0.00809544
w	0.01013	0.00058834	0.0556238	0.146594	0.0406763	0.274351	0.165254	0.130176	0.0752736	0.0326737	0.018789	0.00573929	0.00766676	0.000573943	0.0358904
á	0.00959408	0.010654	0.0388853	0.224937	0.0307616	0.0164121	0.0739694	0.217075	0.120932	0.0547958	0.0247439	0.0097915	0.0307098	0.00196578	0.134772
n	0.00696212	0.00196743	0.0306098	0.118863	0.177818	0.062396	0.0477761	0.249039	0.158276	0.0429522	0.030281	0.00606749	0.00560639	0.00829775	0.0530869
y	0.0194971	0.00210178	0.013233	0.0739195	0.170149	0.0536591	0.0143428	0.140912	0.192081	0.00855192	0.00272085	0.000582487	0.00157212	0.217419	0.0892582
a	0.00683285	0.00111123	0.00227811	0.0145288	0.0108655	0.0251306	0.0271706	0.0444438	0.131449	0.0191112	0.00781155	0.00404521	0.00796089	0.657241	0.04002
m	0.00115655	0.00122312	0.00719963	0.0163361	0.0387619	0.0101002	0.159516	0.140671	0.272186	0.124557	0.0343819	0.0202963	0.0293326	0.0553036	0.0889785
a	0.0121965	0.000953163	0.0170127	0.0179949	0.00759288	0.0119785	0.0271838	0.405506	0.304278	0.121915	0.0139644	0.00634101	0.00581879	0.00936879	0.0378964
í	0.00510422	0.000222527	0.00616911	0.0137889	0.0145785	0.0321265	0.0196303	0.136068	0.175489	0.149088	0.214028	0.0953192	0.0255382	0.00253512	0.110314
d	0.00930015	0.000975426	0.00528544	0.00844991	0.0040705	0.0573441	0.00922267	0.0469709	0.107881	0.165248	0.280001	0.163031	0.0609352	0.0237233	0.057562
z	0.00411291	4.68817e-05	0.00117774	0.00419611	0.0101626	0.0404322	0.00625091	0.0236086	0.0820082	0.0676996	0.117633	0.230915	0.0294951	0.00394122	0.378321
e	0.00478467	0.000101559	0.00165535	0.00870704	0.0019829	0.182139	0.0975655	0.0530893	0.152507	0.0634899	0.0749403	0.202724	0.0206578	0.00191562	0.13374
e	0.00403698	0.000157526	0.00329639	0.0131208	0.017014	0.0132606	0.00606452	0.0669835	0.15582	0.252833	0.138674	0.11219	0.111644	0.0213582	0.0835467
w	0.00156456	0.00062618	0.00035214	0.000981604	0.00166178	0.00493642	0.00908337	0.00905155	0.0331157	0.105611	0.0835345	0.236997	0.166602	0.0685728	0.277309
o	0.00363711	0.0055081	0.00190928	0.0122244	0.0509904	0.000829803	0.00366051	0.013341	0.0753817	0.130702	0.0559413	0.106715	0.262264	0.148776	0.128118
s	0.00022864	2.03774e-05	0.000114994	0.000373864	0.000323204	0.00111928	0.00462244	0.010572	0.0481588	0.118325	0.0921174	0.287498	0.232213	0.00876286	0.19555
o	0.00337632	0.00965288	0.00248053	0.00368836	0.00312067	0.00454284	0.0139528	0.0331245	0.157273	0.221027	0.0509408	0.133264	0.242337	0.037427	0.0837937
</S>	0.00467659	0.000222398	0.0015765	0.00233866	0.00788321	0.00256002	0.00137642	0.0152988	0.032884	0.0308814	0.0846536	0.102291	0.115448	0.0434651	0.554444
