 	attends-moi	j'	arrive	</S>
k	0.930847	0.0481745	0.00544289	0.0155355
o	0.945215	0.0359651	0.0083147	0.0105056
n	0.765811	0.0330626	0.0454808	0.155645
g	0.269275	0.504937	0.125833	0.0999548
á	0.446002	0.402066	0.0932492	0.0586825
á	0.420028	0.366763	0.162796	0.0504129
n	0.0153535	0.901898	0.0580958	0.0246522
g	0.000206336	0.994077	0.00270175	0.00301533
á	0.00026637	0.994518	0.00314226	0.00207343
é	0.0267956	0.160217	0.691097	0.121891
e	0.0437107	0.0363985	0.828867	0.0910238
w	0.0915752	0.00938132	0.63076	0.268283
ú	0.0649439	0.0217661	0.768264	0.145026
u	0.0959951	0.0116813	0.412487	0.479836
</S>	0.0320605	0.00598564	0.274616	0.687337
