 	jésus	était	venu	pour	sauver	tout	le	monde	</S>
y	0.451255	0.531733	0.00958984	0.00489816	0.000617031	0.000930486	0.000876746	6.31188e-05	3.64194e-05
e	0.793785	0.20305	0.00249072	0.000275145	7.04955e-06	6.67132e-05	0.00022623	2.49722e-05	7.48892e-05
s	0.795967	0.20176	0.00194838	0.000175238	3.36206e-05	1.40561e-05	2.63811e-05	2.78445e-05	4.73969e-05
ú	0.829776	0.164572	0.00333464	0.000342589	5.67736e-05	0.000139727	8.72794e-05	0.00011145	0.00157919
á	0.243241	0.660153	0.0416645	0.0171428	0.00133167	0.00578859	0.00522829	0.00179275	0.0236571
y	0.0550816	0.233937	0.553711	0.0850376	0.0158332	0.0124882	0.0184086	0.00485628	0.020647
a	0.25677	0.162957	0.538065	0.0224692	0.00383888	0.00156067	0.00219124	0.000922678	0.0112252
á	0.17461	0.172214	0.426192	0.0665948	0.0109233	0.00725986	0.010144	0.00486289	0.1272
m	0.0641841	0.129434	0.368469	0.346881	0.0167621	0.0299907	0.0198346	0.00217541	0.0222681
í	0.0117754	0.0652131	0.489872	0.269359	0.0900474	0.036694	0.00504254	0.00255612	0.0294406
b	0.00204988	0.022164	0.173526	0.198569	0.443158	0.0702875	0.0149244	0.0182725	0.0570491
h	7.44613e-05	0.00136854	0.0234343	0.0777571	0.850983	0.0257864	0.00362447	0.0108229	0.00614875
o	0.000160051	0.000919649	0.00289502	0.0232605	0.954278	0.00714896	0.00156659	0.00188567	0.00788516
l	0.0017268	0.00344302	0.00408708	0.030088	0.94328	0.0086832	0.00228479	0.00172178	0.00468584
i	0.00343958	0.00343405	0.00422639	0.0344997	0.849556	0.042728	0.00652953	0.00474318	0.0508434
s	0.00486656	0.00725192	0.0955935	0.31965	0.263241	0.221811	0.0303881	0.00574773	0.0514504
a	0.018398	0.0108264	0.0146251	0.422553	0.232251	0.16174	0.0544073	0.0254979	0.0597021
l	0.0392988	0.047812	0.0277045	0.220867	0.141013	0.260895	0.087946	0.102772	0.0716917
á	0.0135561	0.0174845	0.0345472	0.140381	0.103067	0.197991	0.117386	0.104955	0.270632
b	0.0018996	0.00370623	0.00754439	0.145353	0.0560116	0.34607	0.21199	0.152212	0.0752129
a	0.000480577	0.00390848	0.00633275	0.362272	0.146986	0.195615	0.135588	0.133479	0.0153366
r	0.000173798	0.000321525	0.00334179	0.0683306	0.132872	0.282235	0.223042	0.233209	0.0564737
e	0.00053423	0.00233601	0.00500204	0.0904482	0.117286	0.2145	0.241843	0.0681229	0.259928
á	0.00157237	0.00171975	0.00770188	0.0376708	0.010289	0.424628	0.324533	0.110381	0.0815034
t	0.00410082	0.00529484	0.00937533	0.0410553	0.00870081	0.103142	0.475503	0.266983	0.0858446
s	0.000299959	0.000563657	0.00453979	0.0147925	0.0305181	0.0628607	0.174765	0.516255	0.195405
ω	0.000432925	0.000250014	0.00127966	0.0141525	0.0471158	0.107545	0.241652	0.486436	0.101136
</S>	0.000980173	0.000273189	0.00215961	0.0130184	0.00430988	0.104294	0.102046	0.153927	0.618992
