 	il	y	a	une	petite	brouille	entre	eux	</S>
b	0.239213	0.302462	0.132161	0.130613	0.149267	0.00213112	0.0417811	0.00203647	0.000335801
á	0.196865	0.169393	0.0569814	0.0974516	0.0711862	0.00257608	0.169994	0.228609	0.00694349
a	0.175324	0.387396	0.158647	0.0831107	0.0683816	0.00208977	0.0183264	0.0653165	0.0414085
á	0.0459883	0.151946	0.51775	0.130025	0.108767	0.00604571	0.00483726	0.00109597	0.0335442
m	0.00977823	0.04169	0.177874	0.208294	0.292607	0.196693	0.0369209	0.00331932	0.0328232
i	0.0104168	0.0392244	0.0858796	0.176788	0.231445	0.256433	0.129906	0.0104141	0.0594935
t	0.00128596	0.00465879	0.0238573	0.187393	0.227308	0.518966	0.0167941	0.000723889	0.0190133
ó	0.000353065	0.00536788	0.015564	0.177947	0.163511	0.612649	0.0108989	0.000678954	0.0130307
a	0.000562095	0.038365	0.0660506	0.342201	0.212884	0.2818	0.0442492	0.00138481	0.0125032
n	0.00244367	0.00974913	0.0663124	0.073651	0.215456	0.113941	0.438335	0.0420022	0.0381103
g	0.0231987	0.00683984	0.020174	0.0557486	0.0254457	0.3578	0.397249	0.0493992	0.0641445
ó	0.00419553	0.0087886	0.0233779	0.0552843	0.0282248	0.317957	0.496198	0.025886	0.0400879
l	0.00072192	0.00407631	0.0049891	0.0244981	0.00894852	0.169222	0.616043	0.0381874	0.133314
ó	0.00340786	0.00681752	0.0168654	0.0533161	0.0569692	0.250676	0.435287	0.0659403	0.11072
m	0.00184195	0.0077727	0.0181477	0.0199502	0.0474267	0.212138	0.357982	0.161129	0.173612
b	0.00370062	0.00518302	0.013717	0.0304273	0.0399512	0.0683516	0.265718	0.102603	0.470348
é	0.00308897	0.00317373	0.00435189	0.0276509	0.0250815	0.0250866	0.186217	0.601753	0.123596
</S>	0.000788058	0.00228741	0.00542325	0.00910354	0.0143205	0.0203009	0.168584	0.57051	0.208682
