 	il	lui	donna	une	bourrade	amicale	</S>
w	0.633527	0.319797	0.0394783	0.00620625	0.000731004	0.000186213	7.43645e-05
a	0.476961	0.469039	0.026162	0.0267004	0.000356929	0.00074361	3.6458e-05
a	0.257892	0.659119	0.0658576	0.0146672	0.000385241	0.000539936	0.00153924
t	0.0808667	0.346034	0.460418	0.0850792	0.0162196	0.000394589	0.0109884
í	0.00359281	0.0319829	0.789439	0.0832861	0.0590796	0.00110269	0.0315168
n	0.0114447	0.0608621	0.665915	0.0349435	0.124135	0.00238883	0.100311
d	0.0563377	0.095612	0.754092	0.056751	0.0227521	0.00236944	0.0120861
z	0.129981	0.126822	0.634414	0.0664299	0.0129164	0.00448965	0.0249465
í	0.148007	0.124456	0.614261	0.0370971	0.0137877	0.00865464	0.0537368
w	0.131994	0.263238	0.195316	0.337898	0.0245819	0.0142064	0.032765
a	0.0481812	0.0828254	0.169771	0.233686	0.14712	0.0837968	0.234619
l	0.0221101	0.0247176	0.0254444	0.590199	0.19408	0.0327257	0.110723
a	0.012627	0.00391778	0.0157223	0.120413	0.439112	0.0884637	0.319744
n	0.0227341	0.0143376	0.0164351	0.176911	0.354981	0.293952	0.120649
g	0.00619755	0.004604	0.00532774	0.0651032	0.0753384	0.779573	0.063856
ω	0.00068205	0.00107144	0.00187223	0.0163511	0.0121618	0.960929	0.00693272
n	8.04172e-05	0.000173365	0.000427096	0.00672704	0.00506833	0.97376	0.0137641
g	0.00133409	0.0015844	0.00386051	0.0556646	0.165205	0.355521	0.416831
ω	0.000712287	0.000811441	0.00205911	0.00624285	0.0362176	0.776642	0.177315
</S>	0.0017108	0.00236791	0.00248329	0.0577584	0.0292644	0.0858253	0.82059
