 	maintenant	il	a	un	métier	</S>
p	0.751391	0.187216	0.0449335	0.00949625	0.00492946	0.00203379
á	0.80849	0.133399	0.0389259	0.00736316	0.00606163	0.00575999
r	0.267456	0.214574	0.20058	0.0265408	0.00852386	0.282326
á	0.559256	0.151027	0.174481	0.0207405	0.00294187	0.0915537
a	0.237085	0.380912	0.272226	0.071746	0.00987636	0.0281537
d	0.0325704	0.0965445	0.274944	0.406907	0.101379	0.0876553
í	0.00249549	0.0256418	0.202265	0.330491	0.142671	0.296435
b	0.0071549	0.0269293	0.106558	0.305774	0.29736	0.256224
h	0.0876735	0.131098	0.113959	0.158202	0.4199	0.0891669
á	0.177607	0.0385792	0.206724	0.232505	0.110347	0.234239
w	0.0313406	0.0597734	0.225486	0.250329	0.233653	0.199419
a	0.0808384	0.156469	0.446804	0.199443	0.032846	0.0836008
a	0.00751172	0.0215598	0.095061	0.262863	0.333189	0.279815
b	0.00627015	0.0117679	0.10749	0.452025	0.314249	0.108198
h	0.0289765	0.0145333	0.0848463	0.388839	0.304071	0.178734
í	0.0427626	0.00799645	0.0785117	0.380987	0.181382	0.308361
l	0.00275813	0.00645643	0.0524884	0.168562	0.199524	0.570212
a	0.00495652	0.00605519	0.0481624	0.106281	0.223534	0.611011
i	0.0087698	0.0179202	0.0356456	0.0847927	0.263297	0.589575
s	0.0155346	0.0144046	0.0747134	0.21946	0.307429	0.368459
á	0.000308221	0.00381242	0.0173542	0.239704	0.459718	0.279103
l	0.001023	0.00319421	0.009746	0.0852134	0.210678	0.690145
a	0.00245745	0.00462534	0.0173162	0.0410805	0.281839	0.652681
</S>	0.00428703	0.00356275	0.0297998	0.0626152	0.0929174	0.806818
