 	si	tu	blagues	avec	moi	je	vais	te	faire	du	mal	</S>
w	0.974657	0.0151103	0.0011124	0.00460903	0.00298393	0.000654007	0.000130223	0.00024435	7.68776e-05	0.000215293	0.000203279	3.19277e-06
á	0.882859	0.0701808	0.00962198	0.0215852	0.00695231	0.00241289	0.000971142	0.00159224	0.000469485	0.00130238	0.00203788	1.49403e-05
á	0.296452	0.107596	0.0454683	0.0166966	0.0506637	0.0594042	0.13265	0.0906349	0.0308192	0.0267585	0.00710124	0.135755
n	0.222445	0.466055	0.146213	0.018037	0.0179415	0.0210236	0.0162757	0.0149801	0.0169928	0.0121351	0.00579043	0.0421108
ω	0.279464	0.615334	0.0166556	0.00620215	0.0275583	0.0250139	0.0085209	0.0152932	0.00180844	0.000891978	0.0010437	0.00221382
o	0.0445656	0.546231	0.143391	0.0267019	0.0764402	0.0768502	0.0185232	0.0265946	0.00315979	0.00322728	0.00493297	0.0293828
s	0.00291436	0.0483518	0.932517	0.0109964	0.000518502	0.000243729	0.000823713	0.000451968	0.000984031	0.000495362	0.000136826	0.00156594
a	0.00201346	0.0255601	0.956603	0.0099323	0.000650176	0.00048971	0.00198438	0.000275385	0.000417161	0.000409908	0.000147185	0.00151709
n	0.0140937	0.0939652	0.763029	0.0396028	0.00338494	0.0018734	0.00572573	0.00177283	0.00196807	0.00221343	0.00120276	0.071168
í	0.0213457	0.243629	0.543856	0.0810548	0.0171459	0.0100663	0.0062695	0.011858	0.00624676	0.00399343	0.00216623	0.0523689
í	0.0374874	0.496013	0.0635761	0.246847	0.052698	0.0325764	0.0122234	0.0115004	0.0124349	0.0133003	0.0031531	0.0181904
l	0.0221687	0.0744308	0.109938	0.682679	0.0525721	0.0127368	0.0141031	0.00888378	0.00993692	0.00648973	0.00224059	0.00382
a	0.00576701	0.0451275	0.087769	0.435892	0.0797292	0.0449602	0.0393266	0.0416209	0.0391875	0.0246103	0.0111521	0.144858
n	0.000919269	0.0103664	0.00836984	0.648017	0.126495	0.0478742	0.0684041	0.0071015	0.0102348	0.0115992	0.0126852	0.0479339
g	0.0117015	0.134172	0.0181495	0.234972	0.323972	0.139923	0.0439409	0.0472182	0.00811827	0.00501231	0.0141736	0.0186464
á	0.0195134	0.168048	0.00879744	0.216025	0.310622	0.118418	0.0795721	0.0425754	0.0103568	0.00543895	0.0123472	0.00828614
n	0.000192361	0.0138587	0.00322754	0.25422	0.325701	0.190874	0.0892737	0.0208355	0.0279373	0.0247557	0.00780388	0.0413203
g	0.00759443	0.0689483	0.0112572	0.0977976	0.374495	0.230444	0.0677801	0.0661811	0.0147042	0.00962105	0.00870204	0.0424751
á	0.00525552	0.0314987	0.000911122	0.059472	0.424003	0.269386	0.103375	0.0608312	0.00776653	0.00617924	0.01934	0.0119815
l	0.00038251	0.0115814	0.000937361	0.0780789	0.275336	0.258096	0.148379	0.0747153	0.0629089	0.0471178	0.0199773	0.0224901
í	0.00128977	0.0105741	0.00486672	0.0471934	0.27349	0.315128	0.15	0.0482687	0.0403848	0.020891	0.00946465	0.0784496
i	0.000455416	0.011693	0.00108346	0.0650322	0.101818	0.272163	0.27848	0.0585695	0.0849261	0.0672136	0.0216345	0.0369314
w	0.0014567	0.00831429	0.0132116	0.0403284	0.0318605	0.0786984	0.424114	0.0400384	0.177074	0.0725368	0.0206213	0.0917459
ó	0.000135835	0.00124854	0.00643709	0.0282954	0.00777266	0.0152554	0.273059	0.0596399	0.300276	0.140711	0.0708319	0.0963377
s	3.88339e-05	0.000771905	0.00302807	0.0551507	0.036097	0.0871633	0.365192	0.0570705	0.20686	0.0839131	0.0310516	0.0736634
á	2.95531e-05	0.00042126	0.0120613	0.0805641	0.0245187	0.038914	0.15572	0.0533111	0.203564	0.0899001	0.0841308	0.256865
á	0.00018963	0.00409312	0.000403023	0.015485	0.0985992	0.215709	0.137027	0.153235	0.166727	0.159967	0.0255492	0.023016
n	0.0013678	0.00866976	0.00615141	0.0110588	0.0260817	0.0649666	0.0779152	0.145878	0.240125	0.273187	0.0628995	0.0816988
ω	0.00167296	0.0242532	0.00102306	0.00475095	0.123082	0.292206	0.0946705	0.331485	0.0385279	0.0286181	0.0304691	0.0292423
b	0.000237119	0.00142016	0.000904879	0.00515776	0.0238299	0.0517127	0.068355	0.170984	0.353404	0.143618	0.0642959	0.11608
v	0.000120636	0.000303704	0.000594342	0.0304122	0.0191396	0.02482	0.0454888	0.0300655	0.21016	0.228851	0.23349	0.176554
ú	3.74882e-06	0.000135477	0.000337308	0.00679195	0.00447008	0.0103611	0.0275351	0.0340928	0.172685	0.141608	0.506541	0.0954379
a	4.82344e-05	0.000930832	9.54374e-05	0.00531481	0.00713767	0.0118895	0.0345253	0.0910814	0.21603	0.413919	0.0854891	0.133538
</S>	6.91565e-05	0.00241803	0.000483911	0.00322175	0.00535145	0.01351	0.00824439	0.0953045	0.174511	0.31908	0.137105	0.240701
