 	ma	grand-mère	a	pris	de	la	latérite	noire	pour	fabriquer	une	casserole	</S>
k	0.565837	0.172771	0.135383	0.0143261	0.0366598	0.0327891	0.0308662	0.00393966	0.00443771	0.00121631	0.00133403	0.00033135	0.000108641
a	0.0406715	0.934377	0.0103849	0.0033206	0.00131205	0.000842018	0.00378272	0.00251022	0.00147403	0.0010598	0.000211405	2.67174e-05	2.66916e-05
a	0.00738324	0.73961	0.0618019	0.0367677	0.0320988	0.0295727	0.0453024	0.0264057	0.00772794	0.00757884	0.0016856	0.000110303	0.00395442
g	0.261179	0.477314	0.123365	0.0128969	0.0252318	0.012501	0.00492462	0.00240233	0.00599262	0.00232465	0.0046492	0.000357632	0.0668615
h	0.537686	0.0529683	0.210383	0.0156338	0.0196354	0.0167688	0.00953871	0.00503308	0.0154635	0.0114756	0.00579509	0.00189037	0.0977283
á	0.173274	0.256377	0.175863	0.0263651	0.0416759	0.0400017	0.0336778	0.0206919	0.0393803	0.0582294	0.0117845	0.000957627	0.121722
y	0.571012	0.16255	0.15056	0.0246533	0.0210294	0.0115801	0.00449601	0.00416383	0.00626094	0.00336066	0.00786203	0.00553179	0.0269397
a	0.678598	0.156282	0.0944301	0.0223882	0.00850943	0.00564811	0.00176535	0.00353535	0.0047202	0.00212542	0.00281499	0.00171395	0.0174684
n	0.739	0.0517601	0.132853	0.027609	0.0114787	0.00715056	0.00224365	0.00209923	0.00363112	0.00192313	0.00359336	0.000842373	0.0158165
g	0.935819	0.00797136	0.0313735	0.00684879	0.00483013	0.00394767	0.0021127	0.000706594	0.000828486	0.00143483	0.000548103	0.000118886	0.0034599
á	0.767576	0.0472422	0.0634988	0.0253997	0.0206243	0.0155615	0.0181709	0.00960106	0.00797147	0.0138185	0.00387092	0.000120971	0.00654418
y	0.0537861	0.0289048	0.537678	0.105426	0.160639	0.0534982	0.0163186	0.0101306	0.00927315	0.00703305	0.00740494	0.00159271	0.0083152
o	0.325094	0.0382325	0.332833	0.133336	0.0858763	0.0371565	0.00710456	0.00924042	0.00977304	0.00529665	0.00425416	0.00225963	0.00954273
y	0.0996601	0.022396	0.28998	0.194342	0.225458	0.0829272	0.016918	0.0173175	0.0135031	0.00598585	0.0103655	0.00502559	0.0161201
ú	0.326622	0.188325	0.127264	0.166638	0.071026	0.0707142	0.0133173	0.0104715	0.00503359	0.00197684	0.00239535	0.00197329	0.0142438
r	0.156019	0.0311777	0.237289	0.135395	0.160804	0.0855689	0.0175854	0.0240327	0.0267444	0.00879536	0.020384	0.0110755	0.0851288
u	0.233977	0.0353032	0.193184	0.153636	0.132961	0.140331	0.0217402	0.0133871	0.0152211	0.00677799	0.0110326	0.00843253	0.0340155
á	0.0233337	0.0045423	0.212434	0.101982	0.39054	0.17843	0.0343073	0.0194067	0.0117484	0.00425491	0.00907298	0.00240137	0.00754598
k	0.00705449	0.00474408	0.0411145	0.0878246	0.15258	0.516045	0.134736	0.0271977	0.00587732	0.00446976	0.00158118	0.00036317	0.0164118
