 	les	femmes	de	l'	association	folklorique	etouri-ikanga	dansent	avec	des	jupes	de	raphia	</S>
a	0.593296	0.335742	0.0448168	0.0037837	0.00537825	0.00869797	0.00429726	0.00322327	0.000342794	0.000149836	0.000123937	0.000117343	2.76136e-05	2.77363e-06
y	0.0109232	0.921761	0.0363632	0.00252505	0.00674153	0.0187976	9.54686e-05	0.00043148	0.000270294	0.000218897	0.00127304	0.000293702	9.40433e-05	0.000211335
ú	0.199172	0.759551	0.0269917	0.00563521	0.00102382	0.00247036	0.00111557	0.000158503	0.000157713	0.00016014	0.000190373	0.000178549	0.0019012	0.00129312
r	0.805845	0.142722	0.0159971	0.0107928	0.00117684	0.0068791	0.000350954	6.6269e-05	0.000196622	0.000456073	0.000473877	0.000666204	0.00631797	0.0080595
u	0.52946	0.420788	0.0300812	0.00618585	0.000616244	0.00718453	0.000843574	0.000184802	0.000424696	0.000986514	0.000689214	0.000333338	0.000729956	0.00149272
b	0.17122	0.0305612	0.434785	0.213039	0.0777793	0.00964222	0.00958896	0.00391763	0.0156422	0.00909764	0.00329849	0.00810137	0.00104176	0.0122848
e	0.226364	0.00627278	0.138124	0.237319	0.137985	0.00610263	0.0446029	0.0288821	0.0626335	0.0490391	0.00715552	0.0295271	0.00623874	0.0197545
t	0.158307	0.0091487	0.321176	0.305998	0.148744	0.0109895	0.020184	0.00894128	0.00582932	0.00400157	0.00114223	0.00221178	0.000481745	0.00284422
u	0.592341	0.110867	0.0970468	0.0346455	0.0103357	0.0657983	0.043424	0.00205355	0.00556932	0.00702347	0.0261521	0.0018185	0.00118901	0.00173572
r	0.224872	0.160875	0.129795	0.127731	0.0177113	0.256907	0.0126266	0.000550715	0.00322403	0.0053482	0.0215263	0.00225944	0.00117333	0.0354007
i	0.346029	0.0438094	0.2532	0.122461	0.0660073	0.133452	0.00718476	0.000518713	0.00157234	0.00189842	0.00960601	0.000568679	0.000216758	0.0134752
í	0.0444348	0.00104219	0.0983736	0.228555	0.503681	0.0440533	0.048376	0.00451685	0.0115333	0.00366076	0.00159161	0.00593282	0.000544859	0.0037035
k	0.0156058	0.000370612	0.0515063	0.174763	0.498055	0.156176	0.048714	0.0103543	0.0201965	0.00598613	0.00362535	0.00505577	0.00172677	0.00786584
á	0.00111275	0.000212492	0.010763	0.052392	0.380884	0.463722	0.0212479	0.032769	0.0200722	0.00523321	0.00615719	0.00224334	0.000761058	0.00243013
n	0.00708133	0.000957601	0.0145728	0.0718497	0.162022	0.520121	0.102934	0.0325576	0.0149269	0.00706781	0.0144812	0.00505048	0.00435768	0.042019
g	0.0107292	0.000556954	0.0103886	0.0598432	0.161255	0.393199	0.287504	0.0333378	0.0128139	0.00554448	0.00585283	0.003294	0.00698694	0.00869384
a	0.0155842	0.000725105	0.0164736	0.0718815	0.0841728	0.100697	0.630312	0.0436196	0.010976	0.00577368	0.00301814	0.00300568	0.00175232	0.0120082
b	0.0118916	0.000486413	0.0190164	0.0442477	0.0547302	0.0251954	0.464423	0.19486	0.091472	0.0358823	0.00539264	0.0293764	0.00836925	0.0146564
á	0.00623934	0.00245632	0.00358936	0.00353833	0.00331955	0.00788079	0.192586	0.701019	0.0537578	0.016641	0.00518273	0.00138404	0.00164095	0.000765556
a	0.0060941	0.000442501	0.00268604	0.00569959	0.00377111	0.000837388	0.375686	0.56697	0.0243554	0.00877876	0.000522844	0.000957246	0.00178564	0.00141377
b	0.00181357	0.000674307	0.0052813	0.00919766	0.0514145	0.0595122	0.0201685	0.166248	0.381135	0.168967	0.0783988	0.024322	0.00573844	0.0271292
í	0.000299939	0.00111151	0.00501459	0.0109314	0.0228536	0.0225714	0.00416279	0.455376	0.199144	0.0916583	0.171442	0.00864839	0.00177416	0.00501143
n	0.000454676	0.00018962	0.00123138	0.00512234	0.0158909	0.0407553	0.0243763	0.594178	0.11088	0.0466965	0.127043	0.0076913	0.00962307	0.0158675
á	0.00310488	0.000219487	0.00223922	0.00992471	0.0203982	0.0381585	0.0516554	0.351461	0.163696	0.127493	0.0707068	0.0504521	0.0550569	0.0554339
l	0.00915362	0.000106945	0.00261568	0.00744545	0.0107518	0.00371571	0.00930732	0.0401427	0.249291	0.269172	0.103986	0.184282	0.0188926	0.091138
i	0.0122876	0.000715056	0.00371719	0.00686048	0.00892461	0.00734064	0.0041928	0.022122	0.0881956	0.278187	0.219842	0.121305	0.0907129	0.135597
t	0.00229872	0.000335486	0.00170641	0.0018427	0.00172169	0.00553811	0.000421337	0.00330782	0.0510521	0.198804	0.458861	0.104829	0.0658396	0.103442
u	7.078e-05	7.30166e-05	0.000640249	0.000905815	0.00067497	0.00379121	0.000151651	0.000407273	0.0120838	0.0376821	0.910876	0.0158498	0.0060635	0.0107297
b	0.000455019	0.000174307	0.000128774	0.000383247	0.000298162	0.0135233	0.000211222	0.00051053	0.00394676	0.0268175	0.888505	0.00710252	0.00373591	0.0542074
h	0.00611905	0.000481042	0.000379576	0.000793419	0.00144626	0.00806663	0.00144141	0.00774313	0.0200936	0.0417151	0.808087	0.0277028	0.025553	0.050378
a	0.00708121	1.92749e-05	0.0012063	0.00340869	0.00975654	0.00826587	0.00878134	0.0425106	0.0546482	0.0930418	0.508069	0.126908	0.0362137	0.100089
</S>	0.00390133	2.35151e-05	0.00228539	0.00450479	0.0068627	0.00368872	0.00118669	0.00178434	0.0162701	0.0362677	0.0666836	0.399391	0.114936	0.342214
