 	si	tu	attends	encore	un	peu	il	va	venir	</S>
w	0.874806	0.077726	0.021697	0.00581818	0.00610996	0.00856911	0.00317904	0.00121913	0.000803096	7.21201e-05
á	0.620714	0.281381	0.0586467	0.00473864	0.00356572	0.00392971	0.0103812	0.000916115	0.0156098	0.000117298
á	0.129603	0.274008	0.0580223	0.0424607	0.0516292	0.0302847	0.0744839	0.0475011	0.061324	0.230683
n	0.0919244	0.517199	0.240248	0.0330848	0.00584771	0.00411186	0.0102357	0.0053926	0.0385216	0.0534351
ω	0.334914	0.517425	0.0332991	0.0111484	0.00290802	0.00334571	0.0249972	0.00245276	0.0305885	0.0389212
o	0.0287936	0.346486	0.276192	0.0805667	0.0114289	0.0085581	0.0224867	0.00892442	0.037416	0.179147
k	0.00336791	0.0741911	0.696943	0.155711	0.0392296	0.00310412	0.00318467	0.00232224	0.00132273	0.0206234
o	0.000768549	0.0167193	0.901545	0.0405225	0.0214414	0.00361445	0.00226537	0.00113223	0.00106804	0.0109235
n	0.00361056	0.0592732	0.626146	0.111492	0.101815	0.0177253	0.00757291	0.00716558	0.00569786	0.0595008
g	0.0650371	0.121815	0.547455	0.114438	0.0455052	0.0331165	0.0167868	0.00717797	0.000876105	0.0477927
í	0.172477	0.221911	0.380869	0.0769018	0.0211861	0.0535192	0.0268799	0.00779006	0.00404376	0.0344225
í	0.0586518	0.10237	0.0591806	0.243509	0.122222	0.219384	0.12085	0.0472678	0.0087366	0.0178286
o	0.00141345	0.0229728	0.0318499	0.676245	0.127677	0.0347567	0.0240866	0.0151345	0.0422195	0.0236449
t	0.000362815	0.00499736	0.0948469	0.39693	0.26098	0.0599993	0.0247461	0.0336428	0.0123379	0.111158
í	0.000185465	0.00910432	0.0709142	0.19367	0.490266	0.0542773	0.0197393	0.0804649	0.0231746	0.0582038
i	0.000466914	0.0274487	0.0451066	0.202444	0.249464	0.0847069	0.0483343	0.112359	0.0671887	0.162481
s	0.000263742	0.00143748	0.00251392	0.0293619	0.187848	0.258013	0.144909	0.333072	0.0276258	0.0149559
í	0.000366486	0.00260846	0.0515904	0.0597884	0.172586	0.149744	0.22047	0.103047	0.0401152	0.199685
w	0.00188863	0.00237008	0.000598494	0.00597269	0.0211565	0.194323	0.42846	0.243619	0.0699707	0.0316411
a	0.00375287	0.00677443	0.00542728	0.0168063	0.108832	0.235728	0.270649	0.245707	0.0775509	0.0287727
l	0.000522184	0.000533763	0.000412938	0.00532814	0.0218116	0.111008	0.23753	0.409845	0.124244	0.088763
á	0.00261179	0.00683522	0.0119091	0.0396139	0.0302629	0.0217371	0.12204	0.140338	0.302904	0.321748
a	0.000862422	0.00320569	0.00309571	0.00537938	0.0152037	0.0229942	0.134173	0.346506	0.200967	0.267613
y	0.000489257	0.00853731	0.0305341	0.0192985	0.0148878	0.00262375	0.022746	0.089834	0.604524	0.206525
a	7.33132e-05	0.00389663	0.0174652	0.00877427	0.0110493	0.00531199	0.0511598	0.233909	0.356066	0.312295
a	2.4536e-05	0.000311664	0.0017621	0.003789	0.0230048	0.0228441	0.0936508	0.237372	0.0204936	0.596748
w	0.000447035	0.000717516	0.000804776	0.00450071	0.00901452	0.0362616	0.228752	0.216317	0.0909428	0.412242
a	0.00349147	0.00494122	0.00512572	0.00472569	0.0248596	0.10224	0.39445	0.228334	0.133794	0.098038
a	0.000289628	0.000540479	0.000358195	0.00189722	0.00623068	0.02729	0.157931	0.200805	0.073418	0.53124
n	0.000882387	0.00731355	0.00727329	0.0443408	0.0266282	0.0126139	0.0924823	0.104847	0.251487	0.452132
ω	0.00652721	0.0256066	0.00719489	0.00824013	0.0108644	0.018532	0.172552	0.0588432	0.26355	0.42809
ω	0.00013432	0.000719747	0.00269885	0.0035089	0.00959096	0.00832788	0.0715022	0.093374	0.184907	0.625236
p	0.000318268	0.00191948	0.00613071	0.0142869	0.027482	0.0108909	0.0612265	0.0967333	0.00811832	0.772894
ε	0.00019264	0.00210759	0.00992414	0.0102556	0.0322023	0.00987313	0.0371464	0.351032	0.0646052	0.482661
l	0.0011824	0.000494911	0.00185089	0.00195331	0.0117072	0.0231278	0.063949	0.284308	0.0284318	0.582995
í	0.000276388	0.000609198	0.00323558	0.00286534	0.0114609	0.0126717	0.0593787	0.1353	0.143744	0.630458
o	0.000466834	0.00063298	0.000935895	0.00378476	0.00615205	0.0170496	0.118199	0.122068	0.0967774	0.633933
t	0.000157046	0.00604272	0.0181917	0.0540905	0.0427636	0.00898815	0.0585709	0.073693	0.0738502	0.663652
é	7.94045e-05	0.00106725	0.0194596	0.010356	0.0257915	0.00475673	0.0161118	0.139678	0.0315509	0.751149
m	1.72877e-05	0.000150764	0.000790102	0.00197972	0.0059069	0.0051924	0.0197562	0.145204	0.0187571	0.802246
a	7.21951e-05	0.000594337	0.00283043	0.00389736	0.0413835	0.0177447	0.0770416	0.0742652	0.00892935	0.773241
w	0.00159055	0.0020362	0.00214667	0.0118307	0.0172967	0.0505287	0.129589	0.129683	0.0223588	0.632939
a	0.0125216	0.0130746	0.0202011	0.0246336	0.039017	0.0847578	0.140142	0.149281	0.14849	0.367881
l	0.0102333	0.00805303	0.00883644	0.0118833	0.0250393	0.0609275	0.118762	0.173045	0.0879733	0.495247
á	0.00457082	0.0121374	0.0316397	0.0333711	0.0277656	0.0115991	0.0355973	0.0446142	0.146431	0.652274
a	0.000740229	0.00193003	0.0102101	0.0227089	0.0254108	0.0514327	0.139668	0.162952	0.0731312	0.511816
y	0.00027371	0.00414969	0.0107037	0.0325483	0.0248628	0.00556299	0.0298801	0.0528385	0.0566095	0.782571
a	9.66099e-05	0.000544256	0.003157	0.00319424	0.00811539	0.00329737	0.0175219	0.0955998	0.0786927	0.789781
a	0.000115231	0.000173336	0.00140686	0.00370942	0.0110952	0.00882255	0.0281143	0.054576	0.0061279	0.885859
</S>	0.00199772	0.00188303	0.00313654	0.0176754	0.0211396	0.0411047	0.109567	0.0583505	0.0162259	0.728919
