 	sa	mère	l'	a	frappé	parce	qu'	il	a	écarté	les	jambes	de	sa	soeur	</S>
n	0.621537	0.0122715	0.0322234	0.0256571	0.0422225	0.0858014	0.0538688	0.0277129	0.022732	0.00432443	0.0302266	0.00918782	0.012278	0.0136977	0.00494115	0.00131801
g	0.486866	0.482729	0.00847131	0.00329388	0.000907997	0.00397611	0.00154724	0.00373158	0.00344549	0.000131782	0.00246521	4.8511e-05	0.000498269	0.00148078	0.000349895	5.70248e-05
ó	0.1328	0.862019	0.00120878	0.000662242	0.000146	0.000661421	0.000220347	0.000645724	0.000772043	0.00014277	0.00026795	1.93246e-05	9.10158e-05	9.13225e-05	0.000221747	3.01291e-05
o	0.0221577	0.949171	0.0121367	0.00449627	0.00164721	0.0026037	0.00158644	0.00142247	0.0014877	0.000615185	0.000213768	4.86107e-05	0.000114726	0.000398865	0.000844394	0.00105546
á	0.0726241	0.00744654	0.479131	0.217931	0.122106	0.0371092	0.0318455	0.0135469	0.00647704	0.000448631	0.00198753	0.000246931	0.00126604	0.00321185	0.00122314	0.00339809
b	0.0285519	0.0134656	0.0887858	0.246658	0.124162	0.00880795	0.0142038	0.0127551	0.0523046	0.321614	0.012552	0.00853953	0.0202793	0.0132385	0.0033474	0.0307354
έ	0.00392448	0.00045443	0.0184908	0.186984	0.134578	0.0322328	0.043865	0.0296364	0.0830636	0.365726	0.0245886	0.0131389	0.0311642	0.0103057	0.00492575	0.016921
r	0.0502298	0.0283233	0.0816028	0.13458	0.124754	0.0649981	0.0904735	0.0681071	0.099805	0.087791	0.040451	0.012117	0.0311677	0.025815	0.0105544	0.0492301
i	0.171813	0.00290831	0.0648287	0.0748164	0.122581	0.198361	0.169561	0.0490193	0.0331236	0.00604254	0.0240383	0.00585173	0.0109529	0.0376044	0.0122072	0.0162914
w	0.0149849	0.000468691	0.125256	0.0500075	0.071146	0.216973	0.306826	0.139953	0.0426669	0.00585886	0.00795671	0.00117246	0.00139989	0.00481131	0.00221964	0.00829894
a	0.00885316	7.57424e-05	0.0332081	0.0668938	0.0529398	0.357491	0.24899	0.0849655	0.0228484	0.00421375	0.0254337	0.00773493	0.0160316	0.0263482	0.0211417	0.0228302
t	0.0125668	0.000128802	0.0524932	0.0372422	0.0613056	0.269262	0.302018	0.160573	0.0575519	0.00838728	0.0130153	0.00435519	0.00260519	0.00465576	0.00500346	0.00883627
s	0.0039113	6.24043e-05	0.0138528	0.0190463	0.0645065	0.359349	0.283333	0.0426711	0.0140931	0.00654439	0.0186174	0.145147	0.00731017	0.0021661	0.00754304	0.0118467
í	0.000566023	3.07697e-05	0.00638694	0.0109938	0.101929	0.270845	0.306574	0.060151	0.0315493	0.0464854	0.0272467	0.0403541	0.017234	0.0164603	0.0382323	0.0249617
n	0.00189033	0.000726061	0.0326294	0.0312331	0.0919171	0.205938	0.252626	0.108221	0.0763808	0.0427121	0.022103	0.0169666	0.00403514	0.00814418	0.0370159	0.0674615
a	0.0118683	0.00217436	0.0211394	0.0103817	0.00624328	0.161155	0.145401	0.142314	0.0710071	0.0387113	0.00923768	0.00156504	0.00242669	0.013203	0.0178441	0.345328
á	0.000852893	0.000117099	0.0106904	0.00944351	0.00302561	0.0396679	0.122329	0.311371	0.365627	0.0225483	0.0777453	0.00862822	0.005636	0.0131369	0.00161622	0.00756439
k	0.000693405	0.000121485	0.0021709	0.00554421	0.0042269	0.00101879	0.00315228	0.0152546	0.0750327	0.638078	0.0908652	0.0933141	0.0386205	0.0145854	0.00692045	0.0104017
ú	1.46477e-05	1.66235e-05	0.00153796	0.0053647	0.00559175	0.00372929	0.00755452	0.0179319	0.0759391	0.423567	0.0784603	0.132932	0.135758	0.0380761	0.0374015	0.036124
m	0.000654291	0.000142519	0.00225864	0.00184143	0.000712933	0.00331603	0.0047057	0.00967149	0.0354594	0.423949	0.124564	0.200977	0.0972321	0.0173391	0.0129501	0.0642261
u	0.000869876	4.59807e-05	0.00728676	0.00600897	0.000785613	0.0152176	0.0171792	0.041606	0.0773593	0.17218	0.377091	0.0287333	0.0998532	0.103225	0.0152344	0.0373229
b	0.00112943	2.10872e-05	0.00641498	0.00417005	0.00206776	0.00930424	0.0183797	0.0457932	0.0507927	0.0213755	0.178582	0.0588215	0.183053	0.284307	0.0489932	0.0867948
o	0.00107993	1.37984e-05	0.0019213	0.0036982	0.0247915	0.0247536	0.0188121	0.0245769	0.0206447	0.00970298	0.10557	0.030691	0.154996	0.114883	0.40612	0.057744
l	8.40638e-06	8.51416e-06	0.000396271	0.0005381	0.000977095	0.000888577	0.00126762	0.00161274	0.00369225	0.00713591	0.0372684	0.158231	0.270351	0.132795	0.306158	0.078671
a	0.000492498	4.92617e-06	0.000568414	0.00120432	0.00152915	0.00193567	0.00216897	0.00380046	0.00793403	0.0186708	0.0384879	0.216361	0.299302	0.121329	0.0972351	0.188975
a	0.000346486	1.38586e-05	0.00102046	0.000566028	0.00139142	0.00129744	0.0014901	0.00125142	0.00198239	0.00237175	0.0105744	0.0290121	0.178582	0.214187	0.241507	0.314406
k	0.000132595	3.20037e-05	0.0060593	0.00337969	0.00378022	0.00125233	0.00225062	0.00278777	0.00650253	0.012703	0.0117093	0.0172131	0.228304	0.247976	0.144784	0.311133
o	5.42688e-06	6.89134e-06	0.000259359	0.000577154	0.000986289	0.000343845	0.000429532	0.000559584	0.00309284	0.00645807	0.013687	0.102215	0.500353	0.0798295	0.179819	0.111378
o	1.24393e-05	4.7667e-06	9.40389e-05	0.000270679	0.00050138	0.000185148	0.0002036	0.000231708	0.000828291	0.0179809	0.013102	0.340692	0.287836	0.0340696	0.194515	0.109473
</S>	0.000112275	1.20944e-06	0.00106214	0.000803557	0.000329962	0.00101971	0.00105647	0.000964201	0.00202175	0.00230083	0.0182472	0.00444021	0.203602	0.247742	0.0394821	0.476814
