 	les	soldats	ont	assaillli	le	voleur	</S>
a	0.828313	0.156879	0.00941289	0.000904001	0.00344538	0.000934572	0.000111131
m	0.0789325	0.799776	0.0849694	0.0329648	0.00182521	0.000696775	0.000835862
b	0.127788	0.691579	0.136541	0.0165833	0.00613339	0.00256101	0.0188142
ω	0.0122775	0.943996	0.0236328	0.0103427	0.00137514	0.00635927	0.00201613
r	0.0329664	0.771111	0.124731	0.0436738	0.0040534	0.0145102	0.00895416
i	0.0925602	0.734817	0.0903998	0.0361223	0.00569663	0.0008809	0.0395234
á	0.0872751	0.032056	0.811195	0.0544475	0.00775533	0.000258452	0.00701274
k	0.000768821	0.000612421	0.0935164	0.864258	0.0313969	0.00128379	0.00816385
o	0.000399858	0.000805231	0.0421425	0.928168	0.0218979	0.0011066	0.00547973
n	0.0013592	0.00304868	0.0297008	0.917711	0.0367842	0.00148055	0.00991512
y	0.0195944	0.00857863	0.10233	0.765573	0.0629616	0.00432921	0.036633
i	0.00905989	0.00781704	0.0601213	0.689755	0.100617	0.00200474	0.130625
i	0.0524739	0.0109832	0.156992	0.0387918	0.537541	0.10853	0.0946878
m	0.0102088	0.00206535	0.00560534	0.0334013	0.456218	0.330227	0.162274
ú	0.000787598	0.000402321	0.000106588	6.92984e-05	0.020504	0.973599	0.00453158
b	5.77644e-05	4.02834e-05	0.000145066	0.000292565	0.0246444	0.965897	0.0089225
h	0.0120762	0.000651106	0.00538241	0.0236251	0.438011	0.0156986	0.504556
u	0.00636398	0.0032187	0.00120378	0.0254841	0.405637	0.0640755	0.494017
</S>	0.00119293	0.000379067	0.00111483	0.00683891	0.280843	0.0136237	0.696008
