 	le	malade	est	agité	</S>
ω	0.633094	0.293592	0.070217	0.00149627	0.00160047
k	0.0360279	0.929785	0.0151282	0.00946249	0.00959673
ω	0.00358291	0.982602	0.00117481	0.00705462	0.00558517
n	0.000954002	0.993982	0.00155358	0.00309282	0.000417725
í	0.12444	0.780129	0.0162652	0.00702885	0.0721372
b	0.317043	0.0609239	0.566766	0.00457141	0.0506953
ó	0.678747	0.0122718	0.0775718	0.026001	0.205409
m	0.635709	0.00842537	0.281357	0.0474447	0.0270637
ó	0.624478	0.0021735	0.133022	0.0365446	0.203782
o	0.433725	0.026301	0.20807	0.211441	0.120462
n	0.030501	0.0270684	0.106474	0.4355	0.400457
y	0.0328722	0.0484693	0.0614666	0.568841	0.288351
i	0.031854	0.0178168	0.0296176	0.795928	0.124784
á	0.00594355	0.0832708	0.0813533	0.459679	0.369753
n	0.0734768	0.00415475	0.248924	0.353243	0.320202
d	0.0199494	0.0020105	0.0371034	0.757144	0.183792
z	0.00212175	0.00261639	0.00550078	0.711951	0.27781
ó	0.00357524	0.00417935	0.013594	0.394143	0.584509
r	0.00470162	0.0950598	0.0288833	0.240689	0.630666
o	0.0233248	0.0941719	0.041747	0.219421	0.621336
</S>	0.0178259	0.0349418	0.0761103	0.0594916	0.81163
