 	ognama	est	en	train	de	lisser	le	manche	de	la	houe	</S>
o	0.774539	0.155464	0.0273269	0.0276412	0.00878438	1.69778e-05	0.00393194	0.000768534	0.000719137	0.000447913	0.000317776	4.22847e-05
n	0.386954	0.422609	0.126719	0.0286135	0.00714479	0.011889	0.00461782	0.00116336	0.000853477	0.000855254	0.0059499	0.00263057
y	0.306956	0.399169	0.204166	0.0128514	0.00583167	0.0219534	0.0115231	0.00659407	0.00478134	0.00221803	0.0175056	0.00644972
a	0.626	0.31504	0.0361059	0.00212601	0.00137074	0.00877007	0.0033182	0.00165362	0.0014771	0.000355504	0.00186108	0.00192147
m	0.19557	0.315169	0.377049	0.0109483	0.00403068	0.0406117	0.00980307	0.00176843	0.00516062	0.00211215	0.0148255	0.0229522
a	0.288001	0.256095	0.138396	0.0419231	0.129638	0.00348946	0.0395947	0.027151	0.020432	0.00635489	0.00387839	0.0450466
b	0.103704	0.134642	0.169704	0.0233878	0.432042	0.049386	0.0256629	0.00771373	0.0141424	0.00862548	0.00203279	0.0289562
é	0.0814664	0.113761	0.244115	0.0441619	0.373827	0.00667574	0.0449774	0.0100253	0.0345458	0.0261621	0.00415198	0.0161305
l	0.185567	0.15414	0.234765	0.0902091	0.240053	0.0346819	0.0308625	0.00496365	0.00850175	0.00599636	0.00326208	0.00699748
á	0.110243	0.0256069	0.0216421	0.00239255	0.23584	0.272474	0.086595	0.0271026	0.0349821	0.0179373	0.0164306	0.148754
a	0.406079	0.065204	0.0303182	0.00360303	0.257089	0.0577084	0.121368	0.0192214	0.0133843	0.00737929	0.00459662	0.0140485
w	0.00174345	0.00118098	0.000671428	5.63307e-05	0.0142464	0.974808	0.00320885	0.00144293	0.000379951	0.000400526	0.000548187	0.00131283
ώ	0.00787531	0.0148295	0.0100182	0.00198779	0.0158621	0.911607	0.0152315	0.00939642	0.0029183	0.00162933	0.00161885	0.00702519
n	0.00718243	0.00721244	0.0327242	0.00230096	0.0547447	0.64948	0.16046	0.0339852	0.0187186	0.00585277	0.00869404	0.0186449
g	0.0231144	0.0209559	0.0197247	0.000527617	0.158396	0.393962	0.195167	0.135977	0.038614	0.00641869	0.00243717	0.00470552
ώ	0.31652	0.0641261	0.0754037	0.014745	0.0744788	0.0360056	0.267927	0.0638221	0.0466945	0.00374899	0.0153652	0.0211625
p	0.00245123	0.000632774	0.000367415	3.56742e-05	0.00404373	0.00299623	0.40696	0.336631	0.184772	0.0234963	0.031079	0.00653454
á	0.00287938	0.00312571	0.00292469	9.30913e-05	0.00213765	0.00361768	0.0692795	0.859033	0.0441024	0.00307807	0.0016264	0.00810247
n	0.00101663	0.00226386	0.00929069	0.00875448	0.00565451	0.0116887	0.0950868	0.804167	0.0396363	0.00561344	0.00222595	0.0146017
d	0.000775504	0.00101352	0.0039375	0.0002032	0.00631015	0.0598948	0.343244	0.431545	0.0793656	0.0121413	0.0134426	0.0481268
e	0.00205419	0.00321637	0.00938884	0.000397055	0.00495785	0.109277	0.211062	0.359866	0.0950606	0.0077209	0.0373925	0.159606
y	0.00148245	0.00113718	0.00248212	5.706e-05	0.0055958	0.00822345	0.199358	0.186049	0.339894	0.0886825	0.110073	0.0569648
é	0.0225111	0.00784287	0.00450558	7.80594e-05	0.00862709	0.00780594	0.0847691	0.268541	0.295558	0.11899	0.12697	0.0538012
s	0.000476678	0.000455209	0.000420351	2.91209e-05	0.00142538	0.00337386	0.021209	0.0423965	0.101058	0.123434	0.571659	0.134063
έ	0.000419831	0.000340967	0.000111518	1.64696e-06	7.83334e-05	0.00261856	0.00142829	0.00145558	0.00457216	0.0175692	0.945623	0.0257812
έ	0.000537197	0.000123028	0.000199342	1.31124e-05	0.00030709	0.00354218	0.0162522	0.0345032	0.0565284	0.0573859	0.491252	0.339357
</S>	0.000256825	0.000197671	0.000265804	8.74586e-06	0.00153748	0.00107107	0.0117689	0.0111623	0.0517195	0.209062	0.339066	0.373883
