 	la	panthère	a	attrapé	le	cabri	</S>
n	0.797355	0.199107	0.00114529	1.09526e-05	0.000688863	0.00162774	6.56197e-05
g	0.830391	0.168776	0.000689929	4.37284e-07	9.09103e-05	5.11734e-05	9.13931e-07
w	0.085669	0.912759	0.00146662	5.21197e-06	4.70312e-05	4.70142e-05	6.57655e-06
ε	0.768281	0.190735	0.0269417	0.000799215	0.0011205	0.00223538	0.00988813
á	0.366262	0.116164	0.300399	0.0151964	0.016344	0.0015523	0.184082
m	0.00877056	0.00738425	0.791565	0.166863	0.0114216	0.00117661	0.0128189
i	0.00372775	0.000878225	0.816713	0.0844861	0.0646081	0.0017521	0.0278346
p	0.000911207	3.40724e-05	0.0840258	0.897206	0.0120483	0.00185135	0.00392332
i	4.1433e-05	3.27269e-06	0.0266428	0.963067	0.00665315	0.00118192	0.00241023
á	0.000180736	5.92629e-05	0.227417	0.665963	0.0921319	0.00262535	0.011622
m	0.00980575	0.000815409	0.0704181	0.0306053	0.793237	0.0614907	0.033628
b	0.000146208	0.000330113	0.000191915	0.000152302	0.00915543	0.960001	0.0300233
ó	5.03079e-06	7.0015e-06	1.64023e-05	5.7578e-05	0.00153584	0.996127	0.00225074
s	1.63972e-05	4.64086e-05	0.00120894	0.00200372	0.0122975	0.965653	0.0187737
i	0.00117984	0.000411338	0.00357008	0.00140055	0.0259036	0.758525	0.209009
</S>	0.000840236	6.41195e-05	0.0478091	0.00375065	0.14286	0.134942	0.669734
