 	cet	homme	est	impuissant	</S>
i	0.878092	0.12035	0.000491201	0.000259082	0.000807801
b	0.476248	0.513931	0.00688055	0.000763513	0.00217727
a	0.0218967	0.977063	0.000246739	0.00043447	0.000358732
a	0.0391477	0.957089	0.000980472	0.000529489	0.00225348
d	0.879844	0.040403	0.0163051	0.00141236	0.0620352
í	0.137305	0.132644	0.138263	0.00101824	0.59077
í	0.0763713	0.259154	0.387626	0.0166701	0.260179
d	0.0383887	0.0518662	0.685361	0.144972	0.0794123
í	0.00541326	0.033598	0.492669	0.0210269	0.447293
e	0.00559243	0.00856643	0.274097	0.517816	0.193929
y	0.000755881	0.0114164	0.0537486	0.823893	0.110187
e	0.000398812	0.00111431	0.0163575	0.912004	0.0701253
b	0.000632312	0.000659218	0.0153078	0.858606	0.124795
h	0.00124095	0.00697686	0.0432776	0.228165	0.72034
e	0.00797832	0.00531022	0.0200319	0.256338	0.710342
</S>	0.00356812	0.00379739	0.0754594	0.0392357	0.877939
