 	mbongo	avait	retrouvé	les	objets	disparus	sous	le	lit	</S>
m	0.243244	0.632011	0.00612026	0.0508583	0.00482877	0.00199741	0.0382553	0.0204001	0.00224107	4.32551e-05
b	0.406733	0.139952	0.133655	0.0840628	0.0912787	0.01253	0.0180759	0.011303	0.00321593	0.0991937
ω	0.747841	0.0490682	0.0229135	0.155518	0.0214906	0.000564399	0.000194102	0.000679503	0.00147347	0.000257357
n	0.933159	0.0278618	0.026043	0.00477606	0.00103062	0.000258999	0.000302704	0.00115408	0.00390747	0.00150596
g	0.815153	0.0963258	0.0635882	0.00359326	0.00428099	0.00451933	0.00356575	0.00116173	0.00149809	0.00631374
ω	0.685474	0.233237	0.0476522	0.0137753	0.00855389	0.00038889	0.000787217	0.000841266	0.00124747	0.00804312
á	0.0316413	0.505356	0.271639	0.0633675	0.0185078	0.010352	0.0269486	0.0210356	0.010823	0.0403299
k	0.00434762	0.118072	0.679494	0.0440244	0.0467126	0.0442822	0.0361929	0.00736287	0.00277971	0.0167323
ú	0.000446774	0.0319103	0.755903	0.0360393	0.0601856	0.0702934	0.0257737	0.0049785	0.00406936	0.0104
n	0.00337927	0.0105551	0.652247	0.145104	0.0480664	0.0569936	0.0347959	0.00636895	0.00488066	0.0376097
d	0.00838486	0.0327702	0.438654	0.323487	0.116149	0.0304627	0.0252798	0.00646337	0.00282933	0.0155196
á	0.0130532	0.0502765	0.229562	0.523099	0.124741	0.00581017	0.0239867	0.0163164	0.00399064	0.00916512
b	0.00219473	0.0101623	0.0620459	0.589549	0.25542	0.0388161	0.0198007	0.0076136	0.00427426	0.0101237
e	0.000704716	0.0171987	0.057779	0.17265	0.658575	0.041123	0.0241011	0.00957948	0.00914638	0.00914346
a	0.000565896	0.00724335	0.146593	0.344287	0.24694	0.143051	0.0351791	0.0145967	0.0202917	0.0412514
b	0.000454754	0.0138823	0.0726356	0.296892	0.132066	0.249777	0.133342	0.03479	0.0174782	0.0486813
á	0.0018549	0.0284644	0.0275486	0.142834	0.24381	0.31402	0.15804	0.0305909	0.0387261	0.0141108
á	0.00124766	0.0121406	0.0129561	0.225152	0.0809491	0.518652	0.0615041	0.0248602	0.0171539	0.0453841
l	0.000427254	0.00827282	0.0329159	0.0254481	0.0225498	0.541632	0.26586	0.0407473	0.0163873	0.0457597
é	0.000398166	0.00243999	0.0225656	0.0129695	0.00287407	0.4514	0.21429	0.0670912	0.0275322	0.198439
m	0.00040201	0.000971581	0.00971266	0.0426471	0.00352335	0.22489	0.401275	0.148221	0.0314144	0.136943
b	0.000988259	0.000645123	0.0021492	0.0105329	0.00442329	0.167265	0.312979	0.255499	0.0736262	0.171891
á	0.00226057	0.000480033	0.00912535	0.0491207	0.00709506	0.135056	0.128809	0.196845	0.262587	0.20862
ó	0.000561646	0.000168616	0.00386188	0.00621636	0.00147389	0.295044	0.338348	0.15833	0.087848	0.108148
t	4.80759e-05	0.000302198	0.00391632	0.00255683	0.000356169	0.0347668	0.344337	0.28202	0.266691	0.0650053
s	0.000298755	0.0005509	0.00317781	0.00115646	0.000290779	0.0890742	0.46496	0.127052	0.233522	0.0799171
é	0.000121848	6.98301e-05	0.00209907	0.00125639	0.000534789	0.0819751	0.366319	0.136636	0.360943	0.0500448
y	0.000421161	0.000334133	0.00129218	0.006283	0.000661305	0.115128	0.293845	0.117705	0.117939	0.346391
ó	0.000704528	0.000317211	0.00931176	0.00809308	0.00158292	0.0678713	0.201631	0.287192	0.253334	0.169963
b	0.00270217	0.000545413	0.00239255	0.00743367	0.000483339	0.00715409	0.0488363	0.272405	0.516946	0.141102
é	0.00215313	0.00891388	0.00304907	0.0965224	0.00896349	0.00763552	0.0830645	0.116012	0.649365	0.0243208
é	0.000141629	0.000136056	0.000786818	0.00362086	0.000615496	0.0299698	0.126789	0.0834259	0.593905	0.160609
</S>	4.26159e-05	0.00047336	0.00464857	0.00321831	0.000174651	0.00681753	0.0511914	0.16516	0.379186	0.389088
