 	le	pancréas	du	porc	est	gros	</S>
l	0.580644	0.296474	0.0488511	0.0223876	0.0485668	0.000725814	0.00235138
e	0.426808	0.339893	0.111553	0.02475	0.0430474	0.0432727	0.0106759
b	0.154237	0.650812	0.0598397	0.0465928	0.0109769	0.0206964	0.0568452
y	0.0277482	0.897504	0.0547487	0.00785824	0.00355036	0.00168947	0.00690106
ε	0.0255566	0.940188	0.0218335	0.00227757	0.000648436	0.00085824	0.00863808
m	0.0690074	0.705263	0.0421922	0.0600597	0.00569919	0.0197931	0.0979857
ε	0.111634	0.300697	0.398238	0.0933723	0.0256447	0.00339778	0.0670154
l	0.0966353	0.0255697	0.652213	0.161171	0.047282	0.00222259	0.0149059
á	0.128117	0.0221192	0.406565	0.231646	0.0870523	0.00972428	0.114777
n	0.137198	0.0454297	0.314637	0.474997	0.0165193	0.00554914	0.00566941
g	0.00254958	0.00187602	0.0286753	0.960837	0.00253946	0.00239725	0.00112549
u	0.00138843	0.0052576	0.0244692	0.958236	0.00240698	0.0050996	0.00314186
l	0.000989944	0.00292191	0.0597748	0.724543	0.0297162	0.148477	0.0335771
u	0.00484029	0.00963972	0.081449	0.839692	0.0291018	0.0132042	0.0220728
l	0.00709805	0.00537035	0.257481	0.177852	0.359266	0.0694229	0.12351
d	0.0152862	0.00537533	0.24566	0.332802	0.124426	0.100897	0.175554
i	0.000256311	0.000220495	0.025449	0.438124	0.0435294	0.207464	0.284957
i	0.000771703	0.000608126	0.0952902	0.0179389	0.200055	0.26855	0.416786
n	0.0106793	0.00228589	0.0429503	0.0250647	0.240137	0.406063	0.27282
é	0.00589115	0.00265443	0.0512454	0.162987	0.126276	0.42241	0.228536
</S>	0.000672987	0.000754529	0.065331	0.0238921	0.139953	0.262555	0.50684
