 	le	jour	baisse	</S>
i	0.509554	0.488617	0.0013739	0.000454406
k	0.223789	0.688003	0.0854691	0.00273888
á	0.180555	0.359076	0.389513	0.0708557
n	0.11454	0.425666	0.403732	0.0560626
g	0.805296	0.0884665	0.0592005	0.0470375
a	0.883353	0.0534047	0.0206879	0.0425547
í	0.262933	0.151483	0.248461	0.337123
b	0.164037	0.258943	0.505058	0.0719617
h	0.107598	0.473122	0.194198	0.225082
i	0.173842	0.52987	0.148152	0.148136
l	0.12795	0.126028	0.471152	0.27487
í	0.0315877	0.0366074	0.629131	0.302674
i	0.0867429	0.0472413	0.3169	0.549115
d	0.00915067	0.0299461	0.650586	0.310318
w	0.00437166	0.00697963	0.816524	0.172125
á	0.132045	0.068773	0.411219	0.387963
ω	0.00477095	0.00372045	0.0634215	0.928087
b	0.0228522	0.0513874	0.531122	0.394638
v	0.0281996	0.127678	0.587321	0.256801
a	0.0911262	0.0701209	0.484316	0.354437
</S>	0.00883619	0.00602774	0.0976206	0.887515
