 	le	linge	du	voyageur	est	plié	</S>
i	0.585767	0.327693	0.0601782	0.0176384	0.00706908	0.00119852	0.000455695
k	0.0501813	0.933316	0.00339594	0.00963213	0.000319621	0.00259162	0.000563432
á	0.0104113	0.969578	0.00369878	0.012698	0.000233735	0.00197423	0.00140629
n	0.0127069	0.967479	0.00441508	0.00739129	0.000347804	0.00324293	0.00441662
d	0.613679	0.235743	0.0751607	0.0369373	0.00762297	0.00253637	0.0283211
á	0.349265	0.355876	0.0756759	0.0374177	0.0114623	0.00352881	0.166775
m	0.374561	0.108196	0.313635	0.0237371	0.127853	0.00407286	0.0479442
á	0.425613	0.0502402	0.254388	0.122444	0.120622	0.00394054	0.0227514
o	0.750938	0.0345613	0.148654	0.0369687	0.0168713	0.0031401	0.00886654
b	0.0960553	0.129875	0.171085	0.545062	0.0204561	0.0333744	0.00409205
h	0.003193	0.063016	0.0337411	0.889303	0.0035238	0.00513829	0.00208447
é	0.00507552	0.11641	0.0158114	0.855936	0.000967578	0.0048213	0.00097769
m	0.0145583	0.0385817	0.0748794	0.796196	0.0206323	0.028566	0.026586
b	0.0516862	0.0270464	0.236369	0.551683	0.0779213	0.00770204	0.0475911
i	0.0641553	0.0720559	0.169984	0.538166	0.037299	0.013608	0.104731
í	0.0447924	0.00969016	0.396119	0.0452838	0.443116	0.0138149	0.047184
d	0.013533	0.00715309	0.0364537	0.0181066	0.640549	0.253788	0.0304166
í	0.00906906	0.00310307	0.00869836	0.0107994	0.221555	0.203559	0.543215
i	0.011665	0.00229447	0.0254476	0.00389357	0.202519	0.582041	0.172139
f	0.00528928	0.00381112	0.00386508	0.00858784	0.085241	0.71	0.183205
ú	0.000777735	0.00786603	0.0054558	0.00909771	0.0275251	0.882049	0.0672289
r	0.00748201	0.00883283	0.00626914	0.00987485	0.0235081	0.811406	0.132627
á	0.114353	0.0228431	0.0601641	0.0324321	0.0831763	0.509792	0.17724
á	0.0131369	0.0056125	0.0180096	0.00946645	0.153847	0.595204	0.204724
f	0.0535009	0.00936943	0.0657238	0.00921263	0.321879	0.355059	0.185255
u	0.0181515	0.0360208	0.0735176	0.0094192	0.111629	0.547673	0.203589
r	0.00343062	0.00264791	0.0062805	0.000975288	0.0558565	0.416858	0.513951
a	0.0023151	0.00318844	0.0122808	0.0199455	0.033265	0.749461	0.179544
a	0.00520175	0.0022411	0.0117645	0.000966841	0.179513	0.0768611	0.723451
</S>	0.0639709	0.0111564	0.0741733	0.0106075	0.499714	0.105149	0.235229
