 	dans	cette	région	la	terre	est	brune	</S>
s	0.449262	0.511323	0.0239699	0.00664456	0.00752912	0.00115586	2.90782e-05	8.64535e-05
á	0.534267	0.421386	0.0119176	0.00994566	0.00292942	0.00607058	0.00128947	0.0121943
e	0.186841	0.6758	0.112507	0.00686025	0.0102295	0.00125082	0.00460861	0.00190262
k	0.0696408	0.27111	0.563769	0.0554542	0.0152963	0.00940989	0.000722707	0.0145978
y	0.00347756	0.0322257	0.813149	0.0790012	0.0598427	0.00473688	0.00102417	0.0065427
é	0.00946133	0.0627537	0.85246	0.038446	0.0314395	0.00155147	0.00102263	0.00286519
n	0.0198332	0.066413	0.730846	0.0707903	0.031651	0.0117337	0.00336399	0.0653691
á	0.0188395	0.10074	0.729739	0.0756034	0.0441188	0.00767294	0.000526384	0.0227604
á	0.122191	0.0804445	0.197264	0.383227	0.086203	0.107676	0.00270633	0.0202875
y	0.0392122	0.0186647	0.104221	0.444523	0.212221	0.155139	0.0142406	0.0117777
é	0.0357361	0.0133029	0.231316	0.225168	0.257558	0.142379	0.0579829	0.0365569
t	0.0152425	0.0092852	0.0664	0.238012	0.263208	0.2367	0.119222	0.0519306
s	0.00275502	0.00450812	0.112459	0.139831	0.455535	0.110266	0.145976	0.0286705
ε	0.000459144	0.000676701	0.125955	0.0955157	0.662301	0.0237188	0.0772456	0.0141276
n	0.00141097	0.00247977	0.150139	0.110412	0.399255	0.0442545	0.0372791	0.25477
g	0.00198703	0.00342302	0.0768136	0.15501	0.375444	0.20029	0.0966219	0.0904109
ε	0.00405176	0.00647497	0.0750476	0.0857283	0.537144	0.0414884	0.0704607	0.179605
é	0.00813404	0.00466478	0.00950097	0.107173	0.0487384	0.551029	0.0777657	0.192994
d	0.0327616	0.0161492	0.0205573	0.102064	0.0357071	0.375407	0.356898	0.0604552
í	0.02189	0.00660147	0.00271166	0.0194701	0.00513772	0.232688	0.101613	0.609888
t	0.0101966	0.00142465	0.00167996	0.0175268	0.00747838	0.0967787	0.468202	0.396713
s	0.00484954	0.00545639	0.0135336	0.0213303	0.0373223	0.0407967	0.734397	0.142314
ω	0.00184615	0.000595014	0.0109916	0.0101353	0.0473094	0.0126024	0.839621	0.0768991
</S>	0.000218293	0.000241037	0.0072127	0.0153684	0.0487118	0.020276	0.165391	0.742581
