 	les	pêcheurs	ont	rapporté	beaucoup	de	poisson	</S>
a	0.791659	0.19835	0.007745	9.96421e-05	0.000740413	0.00114085	0.000238525	2.65315e-05
l	0.0452612	0.952077	0.00108416	0.000584599	0.000267758	0.000203553	0.000399669	0.00012244
ώ	0.0267428	0.947553	0.00112538	0.00728217	0.00819093	0.000999551	0.000860084	0.00724601
b	0.0667672	0.561646	0.0245013	0.111888	0.0294792	0.0568393	0.0340986	0.11478
h	0.279191	0.243785	0.157889	0.0126419	0.043464	0.0279157	0.0155469	0.219567
i	0.409509	0.408712	0.0570581	0.00329762	0.0149105	0.0203743	0.00490945	0.081229
á	0.0491092	0.0264788	0.823672	0.0380414	0.0163579	0.0193651	0.00828123	0.0186944
y	0.00323145	0.00502485	0.0988048	0.76265	0.0487538	0.0297078	0.0213392	0.0304881
ε	0.00177361	0.000983204	0.006542	0.962008	0.010671	0.00208072	0.00638865	0.009553
ε	0.0140216	0.0213332	0.0972521	0.605938	0.0810436	0.0376634	0.0254975	0.11725
l	0.0139277	0.000885983	0.179797	0.211177	0.268828	0.122276	0.120949	0.0821601
a	0.00665348	0.00254766	0.0889245	0.0731555	0.338963	0.24077	0.105891	0.143094
a	0.00358462	0.000956333	0.0471522	0.0527758	0.228194	0.171202	0.277151	0.218985
s	0.00100193	0.000774786	0.00133201	0.0149574	0.150186	0.214814	0.463377	0.153557
w	0.000397992	0.00016707	0.000156049	0.0562997	0.0606139	0.0562382	0.667399	0.158728
é	0.00078244	5.79446e-05	0.00128231	0.0118723	0.174094	0.091896	0.528653	0.191362
a	0.000185058	5.98361e-05	0.00237191	0.0110057	0.0670912	0.160022	0.262594	0.496671
y	0.00197406	0.000356938	0.00585041	0.00295841	0.120703	0.21371	0.155893	0.498554
í	0.00361675	0.000245127	0.000769183	0.0186327	0.11298	0.095223	0.317819	0.450714
í	0.00310518	8.61984e-05	0.00200663	0.00607648	0.0372055	0.0811533	0.348776	0.521591
</S>	0.00652123	0.00112884	0.0153751	0.0148097	0.0551547	0.110191	0.194	0.602819
