 	les	habitants	de	ce	vil	lage	sont	partis	à	la	chasse	</S>
b	0.570252	0.262736	0.0681969	0.0223262	0.0159021	0.0365977	0.0172112	0.000163648	0.00268489	0.00358415	0.00021825	0.000126758
a	0.207456	0.68481	0.0824847	0.0153195	0.00579095	0.000262945	0.000401641	0.000179124	0.000862058	0.00154003	0.000500677	0.000392438
r	0.0729728	0.663466	0.0895083	0.10068	0.026147	0.00710319	0.00273314	0.013784	0.00778517	0.00251909	0.000551867	0.01275
e	0.323147	0.499039	0.0241782	0.0464226	0.0894575	0.00267657	0.000267439	0.00487614	0.00133932	0.00109439	0.000375886	0.00712546
b	0.20935	0.0952932	0.520172	0.12002	0.01836	0.0107041	0.0127745	0.00135846	0.00356773	0.00167542	0.000325647	0.00639847
á	0.107738	0.0229363	0.389843	0.191294	0.0416593	0.00377537	0.00761472	0.00480791	0.0755332	0.0289817	0.0097745	0.116043
p	0.0563913	0.0115535	0.181774	0.141938	0.1059	0.394212	0.0139042	0.00344216	0.0181718	0.0120148	0.00964492	0.0510544
o	0.022243	0.00992887	0.0640325	0.0897209	0.138055	0.594249	0.00557615	0.0114317	0.0181385	0.00416256	0.0316838	0.0107774
o	0.0211342	0.00428616	0.0887801	0.110644	0.100463	0.625893	0.0354134	0.00498694	0.0023727	0.00100325	0.00176623	0.00325686
y	0.00464842	0.000957171	0.0465289	0.213341	0.11433	0.0948972	0.478245	0.014102	0.0167871	0.00567625	0.000216417	0.0102704
é	0.03493	0.0147175	0.0511413	0.201105	0.194648	0.0555176	0.385802	0.0258837	0.0107198	0.014363	0.00207319	0.00909829
á	0.0165304	0.00142149	0.0334242	0.104564	0.0993461	0.0889235	0.55591	0.0266861	0.0165884	0.029394	0.00251735	0.024695
m	0.00543663	0.00185401	0.0161404	0.0333159	0.01751	0.0449767	0.189659	0.551974	0.0775737	0.0301537	0.00431133	0.0270947
i	0.00655336	0.00420304	0.0178124	0.0750067	0.0215605	0.00181185	0.0331946	0.58086	0.161237	0.0429932	0.00575301	0.0490138
d	0.000265105	0.00019815	0.000654632	0.00292734	0.00345004	0.00136463	0.00170995	0.939168	0.0325235	0.0038269	0.0036025	0.0103094
z	0.000142462	0.000163572	0.000203783	0.00270973	0.000993627	0.000358549	0.000432731	0.953598	0.0265645	0.00369273	0.0037904	0.00734946
w	0.000333293	0.000569201	0.00056565	0.020076	0.0152829	0.00152708	0.00232268	0.941418	0.0124627	0.00133627	0.00071355	0.00339246
á	0.00109222	0.00040421	0.00203756	0.0530484	0.0478286	0.000694521	0.0135279	0.482722	0.220928	0.0492059	0.00415765	0.124353
m	0.00180256	0.00144999	0.0019647	0.0318072	0.0344047	0.0054357	0.0967566	0.18562	0.265736	0.269519	0.0406119	0.0648916
b	0.00702636	0.0164011	0.00728356	0.0591892	0.0471289	0.000200184	0.00467301	0.0583337	0.218855	0.162588	0.083549	0.334772
e	0.00327686	0.0040799	0.0047063	0.0373973	0.0248943	0.00011002	0.000963543	0.0620296	0.20077	0.162655	0.221799	0.277318
n	0.000543928	0.000802315	0.00173803	0.00859378	0.00712965	0.000864796	0.00559726	0.0137668	0.240871	0.158144	0.333924	0.228026
g	0.00226848	0.00336549	0.00545157	0.0165924	0.0166417	0.00123627	0.00896381	0.0166209	0.181411	0.257208	0.259831	0.23041
a	0.00315976	0.00906632	0.0014211	0.012341	0.0663847	0.000564625	0.00377028	0.00270291	0.0776233	0.28439	0.265698	0.272879
y	0.000815434	0.000241933	0.00537902	0.00481237	0.00105097	0.000330237	0.00932851	0.00282364	0.103975	0.252394	0.122693	0.496155
á	0.0083841	0.00173694	0.0172179	0.0335386	0.00490781	0.00144337	0.0215028	0.0191018	0.138432	0.38191	0.291982	0.0798423
n	0.00544679	0.000930241	0.00738326	0.0221288	0.00823336	0.00848392	0.0498517	0.0173019	0.037031	0.217886	0.45185	0.173473
y	0.00795242	0.00235216	0.00372054	0.0209355	0.0167834	0.000555555	0.00536272	0.00307608	0.0283162	0.279672	0.281082	0.350191
a	0.0341939	0.00961165	0.00553567	0.0203652	0.0348312	0.00328247	0.00565582	0.00436202	0.049827	0.270663	0.336857	0.224815
m	0.000218105	0.000200139	0.00032135	0.00103366	0.00150871	0.000174304	0.000239248	0.00492475	0.015305	0.0448526	0.810298	0.120924
a	0.0187438	0.00384168	0.00708824	0.0182027	0.00948048	0.000628904	0.00599074	0.00832978	0.0528953	0.0736873	0.463674	0.337437
</S>	0.00626642	0.000379379	0.00733935	0.00582812	0.00144439	0.000862967	0.0161711	0.0169445	0.0954707	0.162948	0.093561	0.592784
