 	cette	femme	qui	a	quitté	son	mari	a	un	grave	problème	</S>
o	0.904217	0.0573062	0.0151665	0.00798585	0.00361668	0.00936736	0.00035671	0.000498926	0.000686239	0.000631152	0.000137683	2.9606e-05
y	0.179309	0.695165	0.035427	0.0237062	0.0203194	0.00541851	0.0114636	0.00430204	0.00846745	0.00493559	0.00398217	0.00750387
ú	0.855218	0.0464137	0.035143	0.0130242	0.0164026	0.00239069	0.028004	0.000565172	0.000842758	0.00129588	0.000318267	0.000381312
r	0.640535	0.0191192	0.0501981	0.0152704	0.0314563	0.0192816	0.141695	0.010599	0.0206947	0.0251542	0.00587608	0.0201208
u	0.458532	0.0402249	0.0746417	0.0648028	0.138822	0.0467963	0.0176941	0.0237388	0.0575476	0.0264912	0.028257	0.0224519
y	0.0936366	0.165942	0.470255	0.207184	0.0222148	0.0131388	0.00393956	0.005018	0.00232755	0.00558072	0.00342612	0.00733604
e	0.395887	0.131285	0.279748	0.125988	0.0215483	0.0139933	0.0149666	0.00570477	0.0018155	0.00316008	0.00293997	0.00296344
e	0.350781	0.0237243	0.363421	0.191872	0.0310457	0.017647	0.0057667	0.00356981	0.00172292	0.00449888	0.00130361	0.00464723
t	0.00525239	0.0152883	0.0172739	0.191664	0.552053	0.010044	0.135036	0.0175907	0.0228598	0.00349737	0.00409398	0.0253464
ó	0.00335026	0.000651208	0.010488	0.158133	0.575223	0.023608	0.142444	0.0157865	0.0437869	0.00292415	0.00282473	0.0207811
n	0.0075758	0.000573822	0.0158417	0.152951	0.411786	0.0685049	0.297293	0.0106192	0.0156572	0.00718413	0.00178576	0.0102276
í	0.0864993	0.007153	0.13904	0.202093	0.317595	0.124027	0.0242604	0.0127415	0.0140758	0.00428418	0.00348046	0.064751
o	0.0911985	0.004506	0.126993	0.131342	0.0831564	0.476311	0.0265582	0.0274042	0.00775855	0.0143827	0.00494832	0.00544135
l	0.000830767	0.000434272	0.00186834	0.0153943	0.21113	0.0678017	0.632243	0.045196	0.0164588	0.00220168	0.0040846	0.00235611
ó	0.000599982	6.25317e-05	0.00147417	0.00629493	0.0689519	0.0166595	0.84209	0.0122134	0.0208752	0.00470021	0.00777035	0.0183076
m	0.000452667	4.60221e-05	0.00311227	0.00864818	0.0527296	0.0211655	0.865086	0.0138607	0.0119897	0.00720104	0.00445945	0.0112488
i	0.0860966	0.00126512	0.00876	0.0139658	0.0484084	0.110884	0.351475	0.145396	0.110958	0.027047	0.0545186	0.0412248
w	0.0124568	0.0014252	0.0124455	0.0293726	0.0289484	0.130425	0.0510913	0.379543	0.163359	0.1131	0.0302075	0.0476265
ó	0.0108635	0.000622076	0.0169654	0.0256184	0.0466232	0.190807	0.0197339	0.137432	0.24234	0.116451	0.0828861	0.109658
l	0.00462543	0.000521919	0.0034958	0.00314805	0.00722219	0.0551631	0.154133	0.18872	0.160341	0.169912	0.121428	0.131289
á	0.00197997	8.81021e-05	0.00182479	0.00278918	0.00698531	0.0164134	0.0291994	0.105224	0.26123	0.11302	0.154701	0.306546
a	0.00276564	0.00045277	0.00489096	0.00512153	0.00615131	0.0706436	0.00764206	0.104564	0.124363	0.374711	0.24453	0.0541634
b	0.000298358	0.000149508	0.000690664	0.00192104	0.00449472	0.00314047	0.0615925	0.0773841	0.380864	0.2014	0.213913	0.0541513
h	0.000116705	0.000165551	0.000576373	0.00207409	0.00467753	0.00822593	0.0119781	0.0618648	0.666054	0.0528017	0.124817	0.0666483
é	0.000109252	2.861e-05	0.000184114	0.00131041	0.00264192	0.00708069	0.0138366	0.0356293	0.698423	0.0379757	0.0740958	0.128685
m	0.00164952	0.000117499	0.000562853	0.00143909	0.00278856	0.0124254	0.0131239	0.0530305	0.496897	0.0740942	0.0455383	0.298334
b	0.000432042	6.21495e-06	0.000147595	0.000303144	0.000693726	0.00275394	0.000976371	0.0237678	0.247581	0.0445835	0.0786418	0.600112
á	0.0055554	8.25568e-05	0.00181306	0.000576472	0.00239056	0.00938124	0.000979465	0.0266286	0.162727	0.103467	0.173603	0.512797
l	0.00563806	0.000190237	0.00647255	0.00466724	0.00501709	0.0213823	0.000477296	0.0412102	0.0656788	0.225256	0.300877	0.323133
i	0.000683892	0.00010204	0.00177702	0.00169192	0.00838083	0.00633719	0.00243243	0.0196304	0.0604958	0.206666	0.344293	0.347509
b	0.00147133	5.69771e-05	0.0016705	0.000845548	0.00172773	0.00802122	0.00537452	0.0131485	0.0226193	0.187484	0.513949	0.243631
á	0.00200053	0.000329221	0.0053048	0.00189593	0.00118715	0.0259229	0.000960928	0.00852363	0.0225322	0.0578518	0.781347	0.0921438
n	0.00125876	9.2281e-05	0.0017851	0.00074443	0.00177945	0.0105452	0.000307841	0.00500493	0.0256391	0.0694169	0.523564	0.359862
d	0.000954893	3.28466e-05	0.00129872	0.00116234	0.00634026	0.00362642	0.000491234	0.0103712	0.0516486	0.108094	0.217409	0.59857
z	0.00785666	0.000443288	0.0103975	0.00360623	0.0101142	0.0159286	0.0022497	0.0173252	0.0506966	0.250267	0.182222	0.448893
á	0.000398563	4.09465e-05	0.00024991	0.000157258	0.00201614	0.00153377	0.00108277	0.0069735	0.0530411	0.0633404	0.164263	0.706903
</S>	0.00979228	9.83557e-05	0.00150445	0.000764029	0.00115199	0.00353281	0.000241185	0.0138594	0.027921	0.0490914	0.104032	0.788011
