 	il	est	revenu	bredouille	</S>
w	0.904545	0.0671528	0.0278613	7.97358e-05	0.000361108
a	0.950924	0.0434819	0.0053054	2.34663e-05	0.000264792
á	0.0507761	0.41941	0.517272	0.00474425	0.00779825
f	0.0109006	0.325995	0.619923	0.0295423	0.0136396
ú	0.00797589	0.352926	0.448124	0.07802	0.112954
u	0.000912536	0.0695119	0.682786	0.22666	0.0201291
o	0.0601996	0.100648	0.273907	0.23062	0.334625
p	0.00142556	0.0299888	0.178136	0.640848	0.149601
é	0.000304979	0.00945279	0.0635435	0.658638	0.268061
e	0.000814551	0.0307218	0.35311	0.420719	0.194634
</S>	0.00794927	0.0332348	0.0938742	0.03737	0.827572
