 	la	pirogue	a	cassé	ses	amarres	et	part	à	la	dérive	</S>
b	0.334909	0.594081	0.0417412	0.00677543	0.00798672	0.00110306	0.00409524	0.00567935	0.00168208	0.00144625	0.000396297	0.000104513
v	0.0217336	0.937375	0.0149395	0.00304324	0.00965251	0.0004571	0.00148931	0.00882433	0.000756102	0.00147347	0.000112702	0.000143622
á	0.00660588	0.955753	0.00414384	0.0218141	0.0013105	5.63239e-05	0.000628861	0.00772073	0.0013087	0.000373496	0.000236069	4.84371e-05
r	0.0402862	0.889881	0.00673819	0.0268054	0.00311967	4.69192e-05	0.00180127	0.00448161	0.00139424	0.000858424	0.000815296	0.0237719
e	0.311001	0.0883558	0.0665595	0.0406036	0.148944	0.0022679	0.0430987	0.117988	0.0139849	0.00631657	0.000482039	0.160398
ó	0.174402	0.0284418	0.418159	0.0957772	0.0263568	0.00210498	0.0354857	0.0414585	0.0515857	0.0586548	0.010016	0.0575578
m	0.102558	0.0447916	0.414842	0.188148	0.00290428	0.0124184	0.0137057	0.0275262	0.0731458	0.0738786	0.0136372	0.0324447
i	0.0498854	0.0108606	0.36332	0.358666	0.050418	0.0132617	0.0333465	0.0275451	0.0420282	0.0198923	0.000794785	0.0299809
k	0.00941303	0.00692481	0.0807905	0.847418	0.00360271	0.0043505	0.00282745	0.00228418	0.0171268	0.00888423	0.0044259	0.0119518
y	0.00152238	0.00145692	0.0079705	0.919207	0.00190643	0.00108529	0.00431673	0.00133883	0.0136574	0.00336969	0.0200516	0.0241172
é	0.00530478	0.00982626	0.0507669	0.807906	0.0031374	0.0112817	0.0116833	0.0117735	0.0328623	0.00854138	0.019711	0.0272054
n	0.0064751	0.00427937	0.0526225	0.474609	0.0709576	0.00751916	0.0368527	0.0382513	0.0538929	0.0263501	0.0734133	0.154777
a	0.0475242	0.0145894	0.0720922	0.561491	0.152055	0.00394739	0.0366765	0.03551	0.0122638	0.00463583	0.00766313	0.0515512
s	0.00877856	0.00160633	0.0538773	0.0308861	0.498201	0.0223579	0.171305	0.153157	0.03488	0.0166377	0.00169431	0.00661977
i	0.0126923	0.00150634	0.0183826	0.274541	0.425799	0.0906901	0.0520104	0.050577	0.0350985	0.00641247	0.0023463	0.0299435
n	0.00302399	0.00019705	0.0279582	0.0104646	0.287953	0.101513	0.292505	0.146819	0.0753886	0.043595	0.00277922	0.0078022
g	0.00823225	0.000365632	0.00344205	0.0281255	0.0609321	0.615933	0.11317	0.0832419	0.0421535	0.0164022	0.00201936	0.0259822
a	0.000464995	3.41293e-05	0.000874345	0.018527	0.0186946	0.844957	0.0546772	0.0232937	0.0147107	0.00801819	0.0032651	0.0124828
ó	0.00176579	0.000168575	0.0114842	0.013665	0.0339328	0.128144	0.281938	0.170359	0.170797	0.138632	0.0221489	0.0269654
b	0.00668467	0.00110922	0.00980539	0.00668815	0.00372007	0.0168178	0.0805785	0.0579079	0.270026	0.273211	0.217468	0.0559836
h	0.00444807	0.0264408	0.00924129	0.0396983	0.00702786	0.00121544	0.0689138	0.0924802	0.188253	0.135131	0.218139	0.209011
i	0.00246404	0.00235586	0.00292792	0.0220306	0.00932041	0.000249649	0.0464424	0.100094	0.132169	0.118678	0.40157	0.161698
b	0.00210287	0.000487688	0.00202229	0.00416293	0.0380221	0.00245117	0.0569313	0.0821522	0.109516	0.235133	0.311897	0.155121
ó	0.00232643	0.00742931	0.0048015	0.0218801	0.0743002	0.00368759	0.128692	0.155684	0.116977	0.0766038	0.276364	0.131254
o	0.00169998	0.000675274	0.00387873	0.0066802	0.0310813	0.00305479	0.0909074	0.0624974	0.125511	0.195828	0.279523	0.198662
d	0.000391038	0.00144134	0.00526189	0.0102597	0.000466365	0.000527959	0.0105825	0.0120299	0.063976	0.266154	0.441631	0.187278
z	0.000322334	0.000127607	0.00327551	0.00461819	0.000350248	0.000221111	0.00587924	0.0105484	0.0748818	0.309306	0.401548	0.188922
w	0.00112229	0.000301053	0.0109798	0.02161	0.00431791	0.00251254	0.0464642	0.0309097	0.218643	0.245434	0.175036	0.242669
á	0.0191518	0.000664924	0.00863971	0.0114478	0.072629	0.000882552	0.0404198	0.0466421	0.139032	0.205489	0.112377	0.342625
ω	0.00725179	0.000825904	0.00700074	0.0230282	0.0295824	0.00122787	0.0268963	0.0767008	0.05121	0.15926	0.234992	0.382024
t	0.000446509	0.00353159	0.00292033	0.0248259	0.000850604	0.000583627	0.00597443	0.0086801	0.0300292	0.126676	0.625083	0.170399
s	0.000258536	0.000947379	0.00146559	0.0205537	0.000252916	0.000925811	0.00844792	0.00755533	0.0251064	0.049631	0.730154	0.154701
a	0.000280677	0.000145174	0.000222263	0.00263637	0.000960551	9.37516e-05	0.00264889	0.00604837	0.00930797	0.0207759	0.92248	0.0344
</S>	0.00144763	0.000306025	0.000392685	0.00175266	0.00306777	7.504e-05	0.00202308	0.00662438	0.0119155	0.0222071	0.212831	0.737358
