 	les	gens	se	sont	rassemblés	autour	du	malade	</S>
b	0.265519	0.695403	0.0373456	0.000874969	0.00011813	0.000117809	0.000261773	0.000350714	8.86651e-06
a	0.0263441	0.968158	0.00422465	0.000515015	0.000175873	0.00010014	0.00018829	0.000255803	3.76432e-05
r	0.00712609	0.986069	0.00470769	0.00111402	0.000865239	2.79721e-05	5.94162e-06	2.64734e-05	5.74325e-05
e	0.90321	0.0547519	0.0306164	0.00112288	0.00285456	0.00071467	0.000537971	0.00223042	0.0039613
á	0.0610051	0.0483134	0.348029	0.480559	0.0441197	0.00468225	0.00202199	4.88389e-05	0.0112206
m	0.00784785	0.00227068	0.0683313	0.423635	0.343187	0.131886	0.0151961	0.000677842	0.00696766
i	0.0119851	0.00286639	0.0493737	0.450761	0.374539	0.0863302	0.0104293	0.000347743	0.0133672
b	0.000879176	0.000179593	0.00207565	0.0646727	0.767093	0.153359	0.0045909	0.0010538	0.00609649
h	0.00602637	0.000665106	0.00242091	0.0168981	0.924595	0.0414151	0.0012295	0.00151393	0.00523607
í	0.00121771	0.00046173	0.000300765	0.00156697	0.98339	0.01191	0.000184456	0.000530507	0.000437769
n	0.000535151	0.00214324	0.00151027	0.00460497	0.86532	0.0965988	0.00479894	0.00642965	0.0180589
g	0.0280418	0.00213812	0.0146025	0.0253666	0.540241	0.319763	0.0287761	0.00522113	0.0358495
á	0.15419	0.0155286	0.137058	0.0271264	0.180101	0.285733	0.0502353	0.0229432	0.127084
o	0.00405869	0.00117143	0.0124206	0.0144665	0.0111595	0.289837	0.592421	0.0534837	0.0209811
k	0.0094271	0.000965706	0.000552984	0.00125174	0.0195498	0.17278	0.195421	0.573012	0.0270404
ω	0.000249248	0.000261156	7.21046e-05	3.10721e-05	0.00258592	0.0130968	0.043294	0.930633	0.00977645
n	8.74993e-06	4.39774e-05	3.56409e-05	4.78671e-05	0.00252714	0.00614674	0.00638038	0.980671	0.00413905
í	0.00648473	0.00384389	0.00368372	0.00158303	0.0415913	0.0897749	0.0498889	0.591577	0.211573
</S>	0.00441221	0.000375768	0.0031809	0.000739079	0.00160137	0.0346841	0.184069	0.248653	0.522284
