 	cet	enfant	est	trompeur	</S>
m	0.462287	0.532219	0.0032224	0.00171981	0.000551656
w	0.040992	0.955249	0.0029065	0.000301211	0.000551769
á	0.00180903	0.998163	8.58349e-06	1.49559e-05	4.00063e-06
n	0.024753	0.971887	0.000251851	0.000685794	0.00242242
a	0.063062	0.68224	0.0591272	0.0245521	0.171019
w	0.691158	0.189764	0.0812274	0.0124763	0.025375
ó	0.257009	0.102991	0.345214	0.0334276	0.261358
a	0.232471	0.022718	0.399703	0.0343502	0.310758
d	0.00523733	0.00287636	0.908406	0.0371635	0.0463163
í	0.0167258	0.00669572	0.564132	0.113539	0.298907
l	0.0247978	0.00415115	0.221549	0.459664	0.289838
i	0.00431107	0.00135293	0.181147	0.487066	0.326123
k	0.0010076	0.000406204	0.0296911	0.885802	0.083093
u	0.00065185	0.000538546	0.0208897	0.947164	0.0307563
r	0.0121292	0.00121468	0.0214618	0.892949	0.072245
á	0.00561522	0.000299061	0.0111619	0.876862	0.106061
a	0.025846	0.00143749	0.0663723	0.264658	0.641686
</S>	0.0235734	0.00209706	0.213902	0.513521	0.246907
