 	l'	autre	chef	est	en	voyage	</S>
o	0.307007	0.679933	0.00958581	0.0017721	0.000757466	0.000827764	0.000116777
k	0.0457129	0.206968	0.741379	0.00282486	0.000755645	0.00111966	0.00124005
o	0.00721012	0.0464329	0.940617	0.00255521	0.000423804	0.00156473	0.00119618
n	0.00726112	0.0631723	0.913309	0.00511098	0.00236927	0.00526758	0.00350987
d	0.0945034	0.150147	0.741223	0.00331448	0.00115196	0.00332905	0.00633067
z	0.182799	0.329261	0.459748	0.00245364	0.000545773	0.00292602	0.0222679
i	0.123289	0.17051	0.613898	0.00548075	0.0014639	0.00852104	0.0768372
w	0.246309	0.199117	0.0715639	0.372557	0.0787229	0.0111561	0.0205741
o	0.532815	0.12591	0.0966367	0.115512	0.0415661	0.0078336	0.0797267
n	0.375518	0.056565	0.154846	0.362653	0.0287503	0.00124158	0.0204257
á	0.40011	0.15626	0.127907	0.0552825	0.012136	0.0129253	0.235379
á	0.0851982	0.0250444	0.0363336	0.559255	0.240032	0.0319599	0.0221774
m	0.0127514	0.00500304	0.00853381	0.378006	0.418952	0.142159	0.034594
i	0.0132006	0.0032049	0.000820399	0.178757	0.562955	0.130567	0.110494
b	0.0042212	0.000804298	0.00676344	0.11809	0.370531	0.419567	0.0800232
h	0.00187864	0.00188019	0.00527316	0.0201941	0.225909	0.649975	0.09489
é	0.00110108	0.00092992	0.00194034	0.0263062	0.0999808	0.80614	0.0636013
m	0.000479375	0.000403262	0.00275964	0.056907	0.173055	0.630137	0.136259
b	0.00148864	0.000187745	8.12202e-05	0.0259446	0.0994841	0.287322	0.585491
a	0.0123675	0.00248154	0.000526723	0.025824	0.0803115	0.317483	0.561006
</S>	0.00240036	0.00245205	0.000878067	0.0535943	0.214886	0.221211	0.504578
