 	goûte	cette	soupe	s'	il	te	plait	</S>
m	0.632267	0.129008	0.178149	0.0345333	0.0124453	0.0116154	0.00128422	0.000698286
ó	0.31638	0.2265	0.0567642	0.0874688	0.118518	0.0596096	0.0107329	0.124027
m	0.6982	0.177859	0.0270488	0.0442396	0.00628875	0.00464742	0.0342152	0.00750114
e	0.318171	0.178096	0.0536444	0.128237	0.0231057	0.0014917	0.224017	0.0732371
á	0.383842	0.211016	0.0790464	0.190317	0.0237502	0.00391831	0.0375289	0.0705815
s	0.0695351	0.12575	0.572824	0.12736	0.0322352	0.0230065	0.0091956	0.0400933
ú	0.0120768	0.123163	0.281696	0.0663845	0.0801074	0.0435682	0.117021	0.275983
b	0.00994683	0.0677446	0.570275	0.0518939	0.0400305	0.00766404	0.0701936	0.182252
h	0.0246157	0.193947	0.517599	0.0984264	0.0657467	0.0129639	0.057076	0.0296263
u	0.0566203	0.232984	0.443961	0.0979645	0.0549497	0.00742268	0.0256536	0.0804449
l	0.0141719	0.0618599	0.0814072	0.34089	0.246309	0.0837709	0.0582081	0.113383
á	0.00766456	0.070439	0.106925	0.205095	0.15718	0.131745	0.0845213	0.23643
b	0.00435531	0.0118467	0.128087	0.222882	0.124258	0.260191	0.211794	0.0365853
e	0.00997729	0.0364769	0.370206	0.318243	0.0756753	0.00815028	0.164644	0.0166264
a	0.00186517	0.0131488	0.0647564	0.180633	0.116318	0.0314486	0.285415	0.306415
d	0.00636004	0.0118001	0.010314	0.118693	0.215996	0.166837	0.101773	0.368227
í	0.00132833	0.00896712	0.00698841	0.0106904	0.0385112	0.0122133	0.0606568	0.860645
</S>	0.0026879	0.00565612	0.0454343	0.0465182	0.107353	0.0504136	0.0493319	0.692605
