 	le	hanneton	se	tortille	dans	l'	assiette	</S>
l	0.560624	0.221423	0.125427	0.0704757	0.0132485	0.00562223	0.00288073	0.00029895
e	0.353901	0.595799	0.0291223	0.00296821	0.00746558	0.00832023	0.000764152	0.00165877
p	0.0828203	0.872604	0.0240384	0.00242529	0.00795988	0.00301834	0.000935104	0.00619834
ώ	0.0453775	0.772675	0.1034	0.0188472	0.031348	0.0124222	0.00196584	0.0139647
s	0.0881271	0.617032	0.239797	0.018113	0.0116818	0.00252425	0.00024027	0.0224851
i	0.10232	0.643648	0.146826	0.00694886	0.0475261	0.00610167	0.000225185	0.0464045
l	0.0751339	0.0202336	0.694586	0.0367041	0.0786335	0.0195256	0.00137604	0.073807
í	0.0915841	0.0182754	0.270815	0.0922262	0.0637816	0.0272948	0.0122245	0.423798
i	0.111806	0.0111406	0.447771	0.181094	0.0802597	0.0588046	0.0217694	0.0873543
b	0.0105002	0.0133214	0.0450567	0.450977	0.348051	0.0748901	0.00602691	0.0511767
í	0.00487896	0.0010728	0.0249087	0.594336	0.32297	0.0446752	0.00169774	0.00546033
n	0.00154729	0.000837484	0.0281512	0.585384	0.248174	0.0276908	0.00423102	0.103984
á	0.0142518	0.00623351	0.1503	0.335096	0.352836	0.0789149	0.00821469	0.054153
s	0.00389442	0.000554254	0.114799	0.100249	0.340904	0.285707	0.0739186	0.0799731
á	0.0197896	0.00260337	0.0805858	0.0825165	0.249222	0.369556	0.185076	0.0106508
s	0.00719876	0.00231676	0.0602678	0.0393366	0.0934502	0.343237	0.439562	0.0146305
a	0.00132819	0.000153327	0.00256852	0.00414025	0.0267224	0.109347	0.851961	0.00377925
á	0.00253659	0.00036911	0.0473292	0.00773801	0.105408	0.303397	0.361281	0.171941
n	0.00245254	0.000716148	0.0137572	0.01745	0.0718184	0.158465	0.3331	0.402241
i	0.00900333	0.00588938	0.0126389	0.00499136	0.00918637	0.0244486	0.819159	0.114683
</S>	0.00321549	0.00559779	0.011258	0.00308891	0.0510588	0.0614005	0.272704	0.591676
