 	l'	embonpoint	qu'	a	la	chèvre	de	monsieur	oko	cache	sa	grossesse	</S>
m	0.606446	0.295112	0.0476932	0.00533826	0.00744196	0.00198541	0.0118573	0.00714811	0.000593432	0.0096023	0.00658039	0.000186615	1.48562e-05
b	0.192141	0.122593	0.0844708	0.0270166	0.10647	0.352416	0.063844	0.00355079	0.000726168	0.0117834	0.0140318	0.0032965	0.0176603
í	0.0641523	0.473446	0.0220375	0.00668049	0.0572968	0.368331	0.00183874	0.00071799	0.000437624	0.00198463	0.00205315	0.000527976	0.000495831
m	0.22997	0.529076	0.116099	0.0179789	0.035821	0.0198558	0.00654637	0.00238788	0.000934458	0.011928	0.00771511	0.00107146	0.0206163
b	0.274513	0.43325	0.206105	0.0198708	0.0221809	0.00819684	0.00917992	0.00290457	0.000522088	0.00134414	0.00221961	0.00172421	0.0179885
a	0.194917	0.672168	0.0709498	0.0116035	0.0159199	0.00262135	0.00463384	0.00165709	0.000992609	0.00435175	0.00719077	0.0005597	0.0124346
y	0.171798	0.117684	0.457212	0.0715372	0.0347209	0.00264035	0.0176888	0.0102772	0.00925003	0.0108174	0.0119152	0.00531083	0.0791473
é	0.400277	0.130338	0.31562	0.0324571	0.0719749	0.0104657	0.0163487	0.00287905	0.00143104	0.000762014	0.00625137	0.00585058	0.0053447
é	0.173043	0.02649	0.522591	0.0559897	0.16709	0.00926616	0.0152606	0.00502711	0.00140875	0.0011966	0.00764676	0.00355768	0.0114328
d	0.0371156	0.0121567	0.183558	0.494842	0.170278	0.0253887	0.0163824	0.0232969	0.00684115	0.00737485	0.00475014	0.00751127	0.0105043
í	0.00325158	0.00123789	0.0493501	0.485876	0.177139	0.0136897	0.0507988	0.0762832	0.00590393	0.0119736	0.00550446	0.0324024	0.0865897
l	0.00982138	0.00178749	0.0513125	0.196105	0.199771	0.00631598	0.0760177	0.263264	0.0653891	0.0291301	0.0175761	0.0272224	0.0562869
a	0.00316073	0.00367288	0.0488035	0.265315	0.322054	0.00839117	0.155339	0.0288727	0.00761276	0.0116008	0.0190743	0.00416025	0.121943
m	0.0103063	0.0135202	0.0479031	0.159909	0.315624	0.11907	0.119934	0.0338032	0.0157669	0.0183003	0.0277131	0.0117789	0.106371
b	0.00500681	0.00218499	0.0150492	0.020665	0.255846	0.615405	0.0301519	0.0174011	0.0033887	0.00182292	0.00360123	0.0108901	0.018587
