 	sa	jambe	est	enfoncée	dans	la	boue	</S>
i	0.915185	0.053253	0.0209756	0.00153635	0.00452076	0.00420307	0.000287195	3.87031e-05
k	0.0620868	0.914709	0.0171562	0.00157451	0.00178604	0.000790668	0.00160079	0.000296433
o	0.0094153	0.961299	0.0215356	0.00583643	0.000900677	0.000357958	0.000286573	0.000368547
o	0.00350152	0.981851	0.0116708	0.00140823	0.000763531	0.000284806	6.36263e-05	0.000456801
y	0.76703	0.0906741	0.121397	0.00282719	0.00451741	0.00178382	6.03908e-05	0.0117097
á	0.585397	0.0862759	0.0553352	0.0188156	0.0780937	0.0393175	0.00587519	0.13089
w	0.850575	0.0210451	0.0632914	0.0242721	0.0158844	0.016109	0.00235441	0.00646825
a	0.420483	0.0318227	0.154403	0.0464559	0.132712	0.14279	0.0101485	0.061185
é	0.134241	0.0198115	0.611846	0.077572	0.0691977	0.0414991	0.000656163	0.0451766
d	0.00768958	0.0287779	0.512486	0.371211	0.0420258	0.0107867	0.00133123	0.0256924
í	0.0147005	0.00658508	0.273759	0.143608	0.231627	0.0520438	0.00153006	0.276146
e	0.0137961	0.00891186	0.237693	0.289753	0.206375	0.0916924	0.00322664	0.148553
l	0.00419612	0.0063005	0.0600746	0.763425	0.106495	0.02112	0.0146808	0.0237071
ω	0.00382635	0.0135018	0.0931534	0.569564	0.182933	0.032064	0.0277744	0.077183
b	0.00204872	0.0125801	0.13307	0.402617	0.24927	0.0378152	0.075105	0.0874939
h	0.00817458	0.00392944	0.116551	0.724972	0.107931	0.0271153	0.000520849	0.0108057
ώ	0.00560313	0.00355233	0.0800404	0.466422	0.254452	0.0949851	0.0131903	0.0817546
l	0.00637036	0.0013855	0.0192185	0.0416757	0.474939	0.346692	0.0138355	0.0958829
ω	0.009181	0.00264922	0.033425	0.0693607	0.278619	0.205019	0.020298	0.381449
b	0.00395443	0.00134224	0.00765086	0.0157408	0.305537	0.267622	0.235763	0.162389
h	0.0273627	0.00353509	0.0632029	0.0971969	0.304315	0.322987	0.128595	0.0528047
ω	0.00359994	0.00299632	0.0300744	0.239366	0.29674	0.104842	0.199335	0.123047
s	0.000679134	0.000761139	0.00775822	0.0121325	0.317257	0.185181	0.036149	0.440081
á	0.002339	0.00298442	0.0111146	0.0689248	0.324086	0.171707	0.0623022	0.356542
o	0.0304768	0.00595724	0.0130129	0.00951724	0.138419	0.412286	0.209295	0.181035
m	0.00503873	0.0140024	0.0520958	0.0105062	0.134549	0.188521	0.444322	0.150965
b	0.000721696	0.000638488	0.00152933	0.000330277	0.0145709	0.0280026	0.946522	0.00768501
i	8.45801e-05	3.97464e-05	6.47839e-05	0.000144467	0.00244012	0.00264439	0.992131	0.00245099
n	0.000348748	0.000918389	0.00710602	0.00679627	0.0769052	0.0528624	0.718003	0.13706
g	0.00348898	0.00484236	0.00401025	0.00835615	0.0931856	0.0871844	0.422023	0.376909
a	0.0100202	0.00378362	0.0061015	0.0490268	0.141569	0.0774242	0.425451	0.286624
</S>	0.00941515	0.00139316	0.0261196	0.00629001	0.12504	0.129722	0.0293435	0.672676
