 	c'	est	mon	frère	aîné	</S>
é	0.501151	0.419142	0.0605337	0.0126267	0.00424888	0.00229718
d	0.168926	0.674763	0.00970837	0.129586	0.0140127	0.00300453
i	0.255885	0.528263	0.034888	0.126236	0.014027	0.0407013
b	0.245619	0.207566	0.115676	0.116751	0.0533679	0.261019
o	0.027953	0.268454	0.14165	0.201361	0.151182	0.209401
l	0.040751	0.082871	0.0284202	0.248599	0.0614185	0.53794
a	0.322188	0.233639	0.0514767	0.0494673	0.10045	0.242779
b	0.156932	0.0881559	0.221356	0.168301	0.0848038	0.280451
á	0.0962559	0.148805	0.348999	0.184145	0.0954388	0.126357
n	0.0757221	0.162329	0.476574	0.040619	0.0310448	0.213711
g	0.0409714	0.0316003	0.622286	0.0569704	0.107893	0.140279
á	0.0139717	0.0264283	0.808296	0.0202321	0.0958991	0.0351723
b	0.0670022	0.0376504	0.377721	0.20923	0.128971	0.179425
á	0.0715794	0.0625506	0.351411	0.150384	0.0328995	0.331175
b	0.0127624	0.0129692	0.619825	0.0443422	0.054995	0.255106
o	0.0125652	0.0292754	0.172622	0.116605	0.47119	0.197742
s	0.00685054	0.0195346	0.100826	0.133799	0.383685	0.355306
ó	0.0233504	0.0129816	0.174843	0.124549	0.447544	0.216733
</S>	0.00900449	0.00372604	0.0564501	0.0556555	0.180629	0.694535
