 	tu	vends	il	achète	</S>
n	0.946261	0.0460781	0.00706027	0.000113117	0.000487586
ω	0.998109	0.00121954	0.00053743	4.51162e-05	8.88095e-05
l	0.811641	0.154579	0.00789793	0.0163918	0.00949019
ó	0.148656	0.191586	0.0656081	0.0143775	0.579772
o	0.157568	0.388035	0.13563	0.0286057	0.290161
k	0.000597891	0.918487	0.0247115	0.0525073	0.00369632
i	8.04157e-05	0.995901	0.00224153	0.0011392	0.000637744
r	0.000154259	0.983701	0.00946282	0.00126145	0.00542086
a	0.00407301	0.581346	0.131704	0.0077684	0.275109
w	0.028231	0.0255662	0.90797	0.00379506	0.034438
a	0.582574	0.01932	0.349032	0.000393493	0.0486807
l	0.0403397	0.00663036	0.728429	0.00495806	0.219643
á	0.017034	0.0180323	0.169958	0.0364945	0.758482
a	0.0802359	0.0122607	0.610087	0.169251	0.128165
s	0.000222595	0.0167031	0.00910108	0.96917	0.00480322
ó	4.48479e-05	0.00505021	0.00279302	0.984645	0.00746664
m	0.000263683	0.0032438	0.00925329	0.944045	0.0431939
b	0.000340239	0.011818	0.0408348	0.740732	0.206275
a	0.00128608	0.083538	0.022475	0.0838014	0.808899
</S>	0.000504294	0.00534303	0.0273867	0.00227813	0.964488
