 	il	brûlait	de	partir	</S>
w	0.989567	0.00202232	0.00440637	0.00349833	0.000506464
a	0.972663	0.00364087	0.0219002	0.00148805	0.000307939
l	0.323009	0.235336	0.389427	0.0163811	0.0358469
á	0.110687	0.222792	0.266644	0.0310092	0.368868
a	0.285985	0.189701	0.216778	0.0637997	0.243737
w	0.0185526	0.901697	0.0200619	0.0437993	0.015889
á	0.127621	0.608298	0.107429	0.133244	0.0234084
m	0.117458	0.449434	0.147914	0.0497188	0.235476
ó	0.147777	0.720406	0.102597	0.00679519	0.022425
p	0.0843702	0.200218	0.456533	0.0791626	0.179717
ó	0.0417035	0.415729	0.149637	0.240601	0.15233
s	0.019545	0.0353393	0.536773	0.270058	0.138285
á	0.0102192	0.045399	0.207932	0.514341	0.222109
o	0.0876099	0.0134773	0.407454	0.296067	0.195391
d	0.00140893	0.00226176	0.0520313	0.896485	0.0478128
z	0.000345961	0.000378492	0.0372915	0.758775	0.203209
w	0.0026221	0.00414486	0.0421144	0.908274	0.0428451
a	0.00505762	0.0675767	0.274643	0.221775	0.430948
</S>	0.00404435	0.00216175	0.100469	0.0833371	0.809988
