 	otinya	est	un	légume	quelque	peu	amer	</S>
o	0.758829	0.165429	0.0282861	0.0254046	0.0123519	0.00806926	0.00113592	0.000493929
t	0.690242	0.219916	0.0340678	0.0199917	0.00162871	0.00580234	0.0249451	0.00340571
i	0.772848	0.0682017	0.057935	0.0200082	0.000192775	0.00234262	0.0702656	0.00820649
n	0.800678	0.107342	0.0322247	0.0129554	0.00205252	0.0104186	0.00605834	0.0282705
y	0.853431	0.0810995	0.0316619	0.013435	0.00142157	0.00209501	0.00213852	0.0147177
á	0.733848	0.0970125	0.066725	0.039365	0.00801334	0.00421668	0.00795435	0.0428652
ó	0.102064	0.407088	0.24888	0.129313	0.0618377	0.0202105	0.00165083	0.0289551
d	0.0866869	0.400457	0.282292	0.126749	0.0403577	0.0264927	0.00122654	0.0357381
í	0.00395464	0.0801269	0.0881253	0.0525858	0.00642216	0.0384291	0.00258759	0.727769
l	0.00611964	0.0772101	0.162019	0.0766688	0.0605281	0.111774	0.072048	0.433632
a	0.00479776	0.047152	0.118679	0.161089	0.0812178	0.186793	0.00992716	0.390344
y	0.0247292	0.0447118	0.118675	0.237463	0.0356358	0.217356	0.0393412	0.282088
o	0.00744735	0.0172387	0.109217	0.145985	0.0051891	0.137063	0.305909	0.27195
l	0.00171616	0.00368346	0.0230226	0.143274	0.00236543	0.0846672	0.55096	0.190311
o	0.00767322	0.0115359	0.111152	0.157734	0.0473329	0.0838725	0.452819	0.12788
l	0.00150988	0.00463794	0.0339116	0.117432	0.0678447	0.205966	0.446491	0.122206
o	0.00560811	0.00594134	0.0347713	0.0628317	0.0257885	0.10777	0.249936	0.507352
</S>	0.000834827	0.00236332	0.00487217	0.0178727	0.0364288	0.188886	0.175993	0.572749
