 	les	enfants	de	cette	femme	jetaient	les	écorces	d'	arachide	dans	la	poubelle	</S>
b	0.627567	0.31397	0.0394981	0.00919177	0.000925931	0.00267599	0.00284006	0.000271627	0.00195275	0.000187429	0.000334499	0.00055933	5.2023e-06	2.02434e-05
á	0.161706	0.812011	0.0122005	0.00208128	0.00823576	0.000904954	0.00112602	4.15495e-05	0.000590925	7.78896e-05	0.000433054	0.000527211	3.31178e-06	6.06815e-05
n	0.164759	0.723706	0.0333249	0.00746276	0.0247784	0.0235367	0.0102354	0.000925609	0.00637834	0.000334767	0.00291978	0.000709694	0.000135434	0.00079297
a	0.409759	0.457466	0.0328534	0.014253	0.0324421	0.00905557	0.00529328	0.000396061	0.00338492	0.000412556	0.00361297	0.000760749	3.94061e-05	0.0302716
b	0.346409	0.153548	0.261757	0.140171	0.0115729	0.0125876	0.0113243	0.000950888	0.0146099	0.0025531	0.0143174	0.0101533	0.00196341	0.0180816
ó	0.149697	0.152002	0.351547	0.0560467	0.00179489	0.0303592	0.0633862	0.00182191	0.0532574	0.00118417	0.0566808	0.0442724	0.000196154	0.037754
y	0.108328	0.181959	0.338658	0.219428	0.0235895	0.0245905	0.0185059	0.00308644	0.0168363	0.00249337	0.0173077	0.0155552	0.00199275	0.0276694
ú	0.167111	0.0486846	0.165402	0.350343	0.0851591	0.0106174	0.00975079	0.00965617	0.01798	0.0733868	0.0118546	0.00544565	0.0304467	0.0141614
r	0.0882544	0.0300759	0.277354	0.49279	0.0300725	0.00698148	0.0058163	0.00135035	0.0119205	0.0076854	0.00864495	0.00592887	0.00520397	0.0279214
u	0.220713	0.0628882	0.126504	0.508187	0.0165218	0.00223805	0.00501512	0.000423771	0.00708237	0.0245043	0.010244	0.00276684	0.00220655	0.0107052
w	0.0186613	0.00807946	0.448229	0.269082	0.0128785	0.0654682	0.0252936	0.00450289	0.0245906	0.00603528	0.0355689	0.0207038	0.0044214	0.0564846
ó	0.112789	0.038659	0.154496	0.125387	0.0126635	0.128191	0.0487389	0.213492	0.0619853	0.0261315	0.0187117	0.0197315	0.0054806	0.0335419
á	0.0209276	0.00997858	0.29827	0.14623	0.0246184	0.241747	0.0518451	0.0131537	0.0421158	0.0102552	0.0276397	0.0233592	0.00952964	0.0803299
d	0.00607541	0.0041487	0.0666148	0.104372	0.0316985	0.479169	0.112382	0.0248898	0.0178639	0.00501593	0.0261079	0.0260764	0.00727065	0.0883155
z	0.00258637	0.000837781	0.062157	0.0552161	0.048157	0.526435	0.0891866	0.00644815	0.0176014	0.00428977	0.0449846	0.0119103	0.0125347	0.117655
e	0.0064495	0.000412042	0.038512	0.135152	0.554407	0.146722	0.0246819	0.0243373	0.011788	0.0248671	0.00956518	0.00276675	0.0122574	0.00808139
b	0.0115029	0.00271056	0.0993785	0.179871	0.0155593	0.373168	0.139883	0.0290661	0.02884	0.00405895	0.0434484	0.0276544	0.00578074	0.0390786
á	0.0666651	0.0298247	0.165954	0.0801483	0.0129075	0.192609	0.275378	0.0412316	0.0698902	0.00583179	0.0267542	0.011199	0.00041002	0.0211976
a	0.0242071	0.0101703	0.0659573	0.0554169	0.00413805	0.491925	0.199313	0.035054	0.0502346	0.00466038	0.0247354	0.0093254	0.000443296	0.0244198
p	0.00075699	0.00280703	0.00555573	0.00373179	0.00981397	0.319301	0.374389	0.195731	0.0189545	0.0076884	0.00906609	0.00751802	0.00922396	0.0354628
f	7.41596e-05	0.000156304	0.00183808	0.000931199	0.000392137	0.0897552	0.0594281	0.820045	0.00370697	0.00565156	0.000665727	0.000565913	0.00834734	0.00844247
w	0.000767282	0.000124608	0.00267289	0.00185198	0.000125147	0.0708011	0.114043	0.750417	0.0207276	0.0104278	0.00407847	0.00206582	0.00441766	0.0174794
o	0.000671009	0.00015565	0.0055453	0.00441921	0.00113026	0.0888796	0.107135	0.609277	0.0470878	0.0222527	0.0114642	0.00637389	0.00959599	0.0860119
b	0.00172902	0.00059367	0.0132913	0.0152761	0.000204728	0.0813894	0.404319	0.284406	0.134297	0.0151515	0.0149722	0.00736957	0.00106675	0.0259338
h	0.00280035	0.000348528	0.0111028	0.00311925	3.81394e-05	0.0574384	0.150787	0.607036	0.0706524	0.0220196	0.0221879	0.00893074	0.00515727	0.0383814
á	0.00159365	0.00061667	0.00511326	0.00238248	0.000111501	0.0346613	0.274387	0.42769	0.117656	0.0160336	0.0282817	0.00801176	0.00314097	0.0803207
i	0.000838021	0.000303125	0.0052778	0.00691639	0.000223108	0.0498305	0.184436	0.166206	0.398391	0.0262769	0.0629456	0.0293199	0.00345085	0.0655843
p	0.000592142	0.000492486	0.00243036	0.00084104	0.000279469	0.00980068	0.103881	0.295082	0.312196	0.101187	0.0524319	0.0542104	0.0113688	0.0552072
