 	as-tu	des	cartouches	pour	ce	fusil	</S>
n	0.533795	0.258126	0.0829534	0.081217	0.0387014	0.00240744	0.00279984
ω	0.783411	0.184092	0.00746155	0.00368464	0.0201907	0.000942006	0.00021796
o	0.143368	0.689355	0.110896	0.00657652	0.00990822	0.0121631	0.0277328
d	0.0220583	0.29286	0.441579	0.112582	0.0182978	0.0441548	0.0684669
í	0.00155349	0.0465072	0.183231	0.0721784	0.00789023	0.0409541	0.647685
l	0.0103416	0.0181356	0.247982	0.0985817	0.042175	0.0242768	0.558507
a	0.0732144	0.111832	0.283675	0.103091	0.0748834	0.0311417	0.322163
t	0.0630863	0.101454	0.564445	0.0675754	0.0234794	0.0361603	0.143799
s	0.0135564	0.0651119	0.74938	0.0577931	0.00553771	0.0585636	0.0500579
u	0.0163835	0.0453408	0.882106	0.0391419	0.00491022	0.00806882	0.00404827
ω	0.00503861	0.0152419	0.799539	0.0794562	0.0304817	0.0246418	0.0456005
m	0.00977029	0.0123681	0.0716041	0.585709	0.206353	0.0286793	0.0855157
á	0.0160917	0.0160349	0.0692604	0.351678	0.189895	0.0853107	0.27173
l	0.0207647	0.0172914	0.0344866	0.272539	0.190412	0.410372	0.0541341
e	0.00989703	0.0112428	0.011065	0.201538	0.184954	0.429782	0.151522
m	0.00221336	0.0036209	0.0309234	0.0862619	0.100812	0.623339	0.152829
i	0.0105622	0.0170393	0.0351598	0.199777	0.167755	0.399065	0.170641
a	0.00227479	0.00288314	0.0221637	0.117674	0.10465	0.203277	0.547077
d	0.00445178	0.00737928	0.0165199	0.0979821	0.245587	0.114217	0.513863
í	0.000463752	0.00145955	0.00435671	0.0255455	0.0847507	0.19073	0.692694
</S>	0.00258545	0.00173535	0.00390978	0.0341625	0.220978	0.0657321	0.670897
